featureID,feature abbrev
ZDB-ALT-190501-607,sa20297
ZDB-ALT-190501-608,sa20318
ZDB-ALT-190501-609,sa20349
ZDB-ALT-190501-610,sa20367
ZDB-ALT-190501-611,sa20558
ZDB-ALT-190501-612,sa20559
ZDB-ALT-190501-613,sa20599
ZDB-ALT-190501-614,sa20824
ZDB-ALT-190501-615,sa21114
ZDB-ALT-190501-616,sa21115
ZDB-ALT-190501-617,sa21408
ZDB-ALT-190501-618,sa21537
ZDB-ALT-190501-619,sa21710
ZDB-ALT-190501-620,sa21817
ZDB-ALT-190501-621,sa22270
ZDB-ALT-190501-622,sa22732
ZDB-ALT-190501-623,sa22835
ZDB-ALT-190501-624,sa22857
ZDB-ALT-190501-625,sa22918
ZDB-ALT-190501-626,sa22980
ZDB-ALT-190501-627,sa23189
ZDB-ALT-190501-628,sa23335
ZDB-ALT-190501-629,sa23406
ZDB-ALT-190501-630,sa23610
ZDB-ALT-190501-631,sa23840
ZDB-ALT-190501-632,sa23841
ZDB-ALT-190501-633,sa23934
ZDB-ALT-190501-634,sa24064
ZDB-ALT-190501-635,sa24072
ZDB-ALT-190501-636,sa24162
ZDB-ALT-190501-637,sa24257
ZDB-ALT-190501-638,sa24419
ZDB-ALT-190501-639,sa24501
ZDB-ALT-190501-640,sa24573
ZDB-ALT-190501-641,sa24575
ZDB-ALT-190501-642,sa24747
ZDB-ALT-190501-643,sa24763
ZDB-ALT-190501-644,sa24790
ZDB-ALT-190501-645,sa24793
ZDB-ALT-190501-646,sa25545
ZDB-ALT-190501-647,sa26528
ZDB-ALT-190501-648,sa26816
ZDB-ALT-190501-649,sa27599
ZDB-ALT-190501-650,sa28347
ZDB-ALT-190501-651,sa30652
ZDB-ALT-190501-652,sa30688
ZDB-ALT-190501-653,sa30705
ZDB-ALT-190501-654,sa30812
ZDB-ALT-190501-655,sa30824
ZDB-ALT-190501-656,sa30841
ZDB-ALT-190501-657,sa30842
ZDB-ALT-190501-658,sa30881
ZDB-ALT-190501-659,sa31018
ZDB-ALT-190501-660,sa31101
ZDB-ALT-190501-661,sa31244
ZDB-ALT-190501-662,sa31256
ZDB-ALT-190501-663,sa31419
ZDB-ALT-190501-664,sa31519
ZDB-ALT-190501-665,sa31603
ZDB-ALT-190501-666,sa31623
ZDB-ALT-190501-667,sa31686
ZDB-ALT-190501-668,sa31715
ZDB-ALT-190501-669,sa31781
ZDB-ALT-190501-670,sa31850
ZDB-ALT-190501-672,sa32065
ZDB-ALT-190501-673,sa32067
ZDB-ALT-190501-674,sa32116
ZDB-ALT-190501-675,sa32501
ZDB-ALT-190501-676,sa32551
ZDB-ALT-190501-677,sa32560
ZDB-ALT-190501-678,sa32561
ZDB-ALT-190501-679,sa32631
ZDB-ALT-190501-680,sa32776
ZDB-ALT-190501-681,sa32833
ZDB-ALT-190501-682,sa33060
ZDB-ALT-190501-683,sa33073
ZDB-ALT-190501-684,sa33081
ZDB-ALT-190501-685,sa33085
ZDB-ALT-190501-686,sa33295
ZDB-ALT-190501-687,sa33314
ZDB-ALT-190501-688,sa33348
ZDB-ALT-190501-689,sa33490
ZDB-ALT-190501-690,sa33491
ZDB-ALT-190501-691,sa33496
ZDB-ALT-190501-692,sa33497
ZDB-ALT-190501-693,sa33528
ZDB-ALT-190501-694,sa33539
ZDB-ALT-190501-695,sa33556
ZDB-ALT-190501-696,sa33615
ZDB-ALT-190501-697,sa33981
ZDB-ALT-190501-698,sa34179
ZDB-ALT-190501-699,sa34215
ZDB-ALT-190501-700,sa34216
ZDB-ALT-190501-701,sa34222
ZDB-ALT-190501-702,sa34224
ZDB-ALT-190501-703,sa34249
ZDB-ALT-190501-704,sa34258
ZDB-ALT-190501-705,sa34260
ZDB-ALT-190501-706,sa34262
ZDB-ALT-190501-707,sa34263
ZDB-ALT-190501-708,sa34264
ZDB-ALT-190501-709,sa34266
ZDB-ALT-190501-710,sa34406
ZDB-ALT-190501-711,sa34407
ZDB-ALT-190501-712,sa34534
ZDB-ALT-190501-713,sa34536
ZDB-ALT-190501-715,sa34645
ZDB-ALT-190501-716,sa34769
ZDB-ALT-190501-717,sa34771
ZDB-ALT-190501-718,sa34873
ZDB-ALT-190501-719,sa34880
ZDB-ALT-190501-720,sa35028
ZDB-ALT-190501-721,sa35029
ZDB-ALT-190501-722,sa35106
ZDB-ALT-190501-723,sa35159
ZDB-ALT-190501-724,sa35160
ZDB-ALT-190501-725,sa35165
ZDB-ALT-190501-726,sa35199
ZDB-ALT-190501-727,sa35378
ZDB-ALT-190501-728,sa35417
ZDB-ALT-190501-729,sa35509
ZDB-ALT-190501-730,sa35587
ZDB-ALT-190501-731,sa35767
ZDB-ALT-190501-732,sa35970
ZDB-ALT-190501-733,sa36023
ZDB-ALT-190501-734,sa36024
ZDB-ALT-190501-735,sa36241
ZDB-ALT-190501-736,sa36268
ZDB-ALT-190501-737,sa36269
ZDB-ALT-190501-738,sa36281
ZDB-ALT-190501-739,sa36329
ZDB-ALT-190501-740,sa36416
ZDB-ALT-190501-741,sa36713
ZDB-ALT-190501-742,sa36746
ZDB-ALT-190501-743,sa37194
ZDB-ALT-190501-744,sa37205
ZDB-ALT-190501-745,sa37208
ZDB-ALT-190501-746,sa37304
ZDB-ALT-190501-747,sa37396
ZDB-ALT-190501-748,sa37416
ZDB-ALT-190501-749,sa37434
ZDB-ALT-190501-750,sa37543
ZDB-ALT-190501-751,sa37567
ZDB-ALT-190501-752,sa37602
ZDB-ALT-190501-753,sa37603
ZDB-ALT-190501-754,sa37609
ZDB-ALT-190501-755,sa37615
ZDB-ALT-190501-756,sa37668
ZDB-ALT-190501-757,sa37737
ZDB-ALT-190501-758,sa37849
ZDB-ALT-190501-759,sa37953
ZDB-ALT-190501-760,sa38155
ZDB-ALT-190501-761,sa38168
ZDB-ALT-190501-762,sa38173
ZDB-ALT-190501-763,sa38184
ZDB-ALT-190501-764,sa38187
ZDB-ALT-190501-765,sa38191
ZDB-ALT-190501-766,sa38199
ZDB-ALT-190501-767,sa38204
ZDB-ALT-190501-768,sa38217
ZDB-ALT-190501-769,sa38218
ZDB-ALT-190501-770,sa38224
ZDB-ALT-190501-771,sa38225
ZDB-ALT-190501-772,sa38228
ZDB-ALT-190501-773,sa38252
ZDB-ALT-190501-774,sa38363
ZDB-ALT-190501-775,sa38417
ZDB-ALT-190501-776,sa38452
ZDB-ALT-190501-778,sa38491
ZDB-ALT-190501-779,sa38648
ZDB-ALT-190501-780,sa38657
ZDB-ALT-190501-781,sa38659
ZDB-ALT-190501-782,sa38783
ZDB-ALT-190501-783,sa38796
ZDB-ALT-190501-785,sa38911
ZDB-ALT-190501-786,sa39013
ZDB-ALT-190501-787,sa39070
ZDB-ALT-190501-788,sa39126
ZDB-ALT-190501-789,sa39182
ZDB-ALT-190501-790,sa39183
ZDB-ALT-190501-791,sa39412
ZDB-ALT-190501-792,sa39427
ZDB-ALT-190501-793,sa39441
ZDB-ALT-190501-794,sa39465
ZDB-ALT-190501-795,sa39502
ZDB-ALT-190501-796,sa39506
ZDB-ALT-190501-797,sa39511
ZDB-ALT-190501-798,sa39519
ZDB-ALT-190501-799,sa39520
ZDB-ALT-190501-800,sa39523
ZDB-ALT-190501-801,sa39572
ZDB-ALT-190501-802,sa39575
ZDB-ALT-190501-803,sa39641
ZDB-ALT-190501-804,sa39665
ZDB-ALT-190501-805,sa39717
ZDB-ALT-190501-806,sa39718
ZDB-ALT-190501-807,sa39731
ZDB-ALT-190501-808,sa39732
ZDB-ALT-190501-809,sa39753
ZDB-ALT-190501-810,sa39754
ZDB-ALT-190501-811,sa39755
ZDB-ALT-190501-812,sa39878
ZDB-ALT-190501-813,sa39965
ZDB-ALT-190501-814,sa39967
ZDB-ALT-190501-815,sa40038
ZDB-ALT-190501-816,sa40188
ZDB-ALT-190501-817,sa40352
ZDB-ALT-190501-818,sa40357
ZDB-ALT-190501-819,sa40359
ZDB-ALT-190501-820,sa40360
ZDB-ALT-190501-821,sa40379
ZDB-ALT-190501-822,sa40454
ZDB-ALT-190501-823,sa40584
ZDB-ALT-190501-824,sa40588
ZDB-ALT-190501-825,sa40589
ZDB-ALT-190501-826,sa40673
ZDB-ALT-190501-827,sa40803
ZDB-ALT-190501-828,sa40811
ZDB-ALT-190501-829,sa40862
ZDB-ALT-190501-830,sa40863
ZDB-ALT-190501-831,sa40889
ZDB-ALT-190501-832,sa41013
ZDB-ALT-190501-833,sa41046
ZDB-ALT-190501-834,sa41061
ZDB-ALT-190501-835,sa41066
ZDB-ALT-190501-836,sa41075
ZDB-ALT-190501-837,sa41086
ZDB-ALT-190501-838,sa41092
ZDB-ALT-190501-839,sa41094
ZDB-ALT-190501-840,sa41208
ZDB-ALT-190501-841,sa41248
ZDB-ALT-190501-842,sa41301
ZDB-ALT-190501-843,sa41346
ZDB-ALT-190501-846,sa41569
ZDB-ALT-190501-847,sa41592
ZDB-ALT-190501-848,sa41602
ZDB-ALT-190501-849,sa41616
ZDB-ALT-190501-850,sa41623
ZDB-ALT-190501-851,sa41642
ZDB-ALT-190501-852,sa41750
ZDB-ALT-190501-853,sa41921
ZDB-ALT-190501-854,sa41929
ZDB-ALT-190501-855,sa42096
ZDB-ALT-190501-856,sa42311
ZDB-ALT-190501-857,sa42458
ZDB-ALT-190501-858,sa42496
ZDB-ALT-190501-859,sa42634
ZDB-ALT-190501-860,sa42723
ZDB-ALT-190501-861,sa42762
ZDB-ALT-190501-862,sa42815
ZDB-ALT-190501-863,sa42817
ZDB-ALT-190501-864,sa42828
ZDB-ALT-190501-865,sa42836
ZDB-ALT-190501-866,sa42858
ZDB-ALT-190501-867,sa42859
ZDB-ALT-190501-868,sa43001
ZDB-ALT-190501-869,sa43009
ZDB-ALT-190501-870,sa43143
ZDB-ALT-190501-871,sa43161
ZDB-ALT-190501-872,sa43182
ZDB-ALT-190501-873,sa43188
ZDB-ALT-190501-874,sa43194
ZDB-ALT-190501-875,sa43366
ZDB-ALT-190501-876,sa43563
ZDB-ALT-190501-877,sa43564
ZDB-ALT-190501-878,sa43565
ZDB-ALT-190501-879,sa43684
ZDB-ALT-190501-880,sa43742
ZDB-ALT-190501-881,sa43759
ZDB-ALT-190501-882,sa43765
ZDB-ALT-190501-883,sa43833
ZDB-ALT-190501-884,sa43881
ZDB-ALT-190501-885,sa43909
ZDB-ALT-190501-886,sa43940
ZDB-ALT-190501-887,sa43961
ZDB-ALT-190501-888,sa44038
ZDB-ALT-190501-889,sa44048
ZDB-ALT-190501-890,sa44112
ZDB-ALT-190501-891,sa44150
ZDB-ALT-190501-892,sa44195
ZDB-ALT-190501-893,sa44312
ZDB-ALT-190501-894,sa44344
ZDB-ALT-190501-895,sa44372
ZDB-ALT-190501-896,sa44373
ZDB-ALT-190501-897,sa44377
ZDB-ALT-190501-898,sa44380
ZDB-ALT-190501-899,sa44388
ZDB-ALT-190501-900,sa44389
ZDB-ALT-190501-901,sa44396
ZDB-ALT-190501-902,sa44398
ZDB-ALT-190501-903,sa44399
ZDB-ALT-190501-904,sa44400
ZDB-ALT-190501-905,sa44407
ZDB-ALT-190501-906,sa44413
ZDB-ALT-190501-907,sa44424
ZDB-ALT-190501-908,sa44426
ZDB-ALT-190501-909,sa44430
ZDB-ALT-190501-910,sa44431
ZDB-ALT-190501-911,sa44436
ZDB-ALT-190501-918,sa8489
ZDB-ALT-190501-919,sa8494
ZDB-ALT-190501-920,sa8679
ZDB-ALT-190501-921,sa8717
ZDB-ALT-190501-922,sa8729
ZDB-ALT-190501-923,sa8735
ZDB-ALT-190501-924,sa8880
ZDB-ALT-190501-925,sa8928
ZDB-ALT-190501-926,sa8950
ZDB-ALT-190501-927,sa8984
ZDB-ALT-190501-928,sa9152
ZDB-ALT-190501-929,sa9162
ZDB-ALT-190501-930,sa9236
ZDB-ALT-190501-931,sa9244
ZDB-ALT-190612-25,sa32794
ZDB-ALT-190612-26,sa33052
ZDB-ALT-190612-27,sa33289
ZDB-ALT-190612-28,sa33787
ZDB-ALT-190612-29,sa34223
ZDB-ALT-190612-30,sa34983
ZDB-ALT-190612-31,sa35018
ZDB-ALT-190612-32,sa35624
ZDB-ALT-190612-33,sa36103
ZDB-ALT-190612-34,sa36237
ZDB-ALT-190612-35,sa36270
ZDB-ALT-190612-36,sa36554
ZDB-ALT-190612-37,sa36808
ZDB-ALT-190612-38,sa37207
ZDB-ALT-190612-39,sa37397
ZDB-ALT-190612-40,sa37659
