FishmiR Mature ID,Brain_RPM,Gills_RPM,Heart_RPM,Muscle_RPM,Intestine_RPM,Liver_RPM,Ovary_RPM,Testis_RPM,Head-kidney_RPM,Spleen_RPM
FMDANRERM0025,7.98,No_Data,25,No_Data,No_Data,No_Data,100,108,No_Data,No_Data
FMDANRERM0026,3.34,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0027,30.33,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0271,18108.99,No_Data,14,No_Data,No_Data,No_Data,125,81,No_Data,No_Data
FMDANRERM0028,39.06,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0029,13.13,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0272,7.93,No_Data,2,No_Data,No_Data,No_Data,3,6,No_Data,No_Data
FMDANRERM0273,44.87,No_Data,8,No_Data,No_Data,No_Data,6,22,No_Data,No_Data
FMDANRERM0030,30769.36,No_Data,8524,No_Data,No_Data,No_Data,3910,22530,No_Data,No_Data
FMDANRERM0274,17.19,No_Data,5,No_Data,No_Data,No_Data,3,17,No_Data,No_Data
FMDANRERM0275,4.99,No_Data,2,No_Data,No_Data,No_Data,2,4,No_Data,No_Data
FMDANRERM0276,112.42,No_Data,71,No_Data,No_Data,No_Data,29,66,No_Data,No_Data
FMDANRERM0031,96418.58,No_Data,63533,No_Data,No_Data,No_Data,17643,57006,No_Data,No_Data
FMDANRERM0277,2.83,No_Data,4,No_Data,No_Data,No_Data,6,3,No_Data,No_Data
FMDANRERM0032,2239.90,No_Data,4080,No_Data,No_Data,No_Data,1972,1494,No_Data,No_Data
FMDANRERM0033,0.08,No_Data,2,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0034,1885.54,No_Data,17604,No_Data,No_Data,No_Data,6206,5183,No_Data,No_Data
FMDANRERM0278,4956.99,No_Data,20750,No_Data,No_Data,No_Data,34271,26072,No_Data,No_Data
FMDANRERM0279,188.15,No_Data,2501,No_Data,No_Data,No_Data,4661,895,No_Data,No_Data
FMDANRERM0035,208.80,No_Data,15,No_Data,No_Data,No_Data,30,30,No_Data,No_Data
FMDANRERM0036,0.25,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0037,59.38,No_Data,0,No_Data,No_Data,No_Data,0,1,No_Data,No_Data
FMDANRERM0280,9071.57,No_Data,390,No_Data,No_Data,No_Data,314,384,No_Data,No_Data
FMDANRERM0281,296.41,No_Data,1,No_Data,No_Data,No_Data,39,2,No_Data,No_Data
FMDANRERM0282,599.61,No_Data,2,No_Data,No_Data,No_Data,15,4,No_Data,No_Data
FMDANRERM0038,3650.61,No_Data,14,No_Data,No_Data,No_Data,51,49,No_Data,No_Data
FMDANRERM0039,2.68,No_Data,3,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0283,66.65,No_Data,32,No_Data,No_Data,No_Data,129,49,No_Data,No_Data
FMDANRERM0040,70.29,No_Data,53,No_Data,No_Data,No_Data,56,29,No_Data,No_Data
FMDANRERM0284,35.92,No_Data,32,No_Data,No_Data,No_Data,306,24,No_Data,No_Data
FMDANRERM0041,268.86,No_Data,479,No_Data,No_Data,No_Data,269,91,No_Data,No_Data
FMDANRERM0285,68.39,No_Data,50,No_Data,No_Data,No_Data,127,58,No_Data,No_Data
FMDANRERM0042,18.12,No_Data,44,No_Data,No_Data,No_Data,17,21,No_Data,No_Data
FMDANRERM0286,2303.51,No_Data,14,No_Data,No_Data,No_Data,32,297,No_Data,No_Data
FMDANRERM0043,181.80,No_Data,1,No_Data,No_Data,No_Data,4,63,No_Data,No_Data
FMDANRERM0044,1321.21,No_Data,6,No_Data,No_Data,No_Data,23,50,No_Data,No_Data
FMDANRERM0287,196.17,No_Data,3765,No_Data,No_Data,No_Data,90,35,No_Data,No_Data
FMDANRERM0045,20.12,No_Data,161,No_Data,No_Data,No_Data,16,6,No_Data,No_Data
FMDANRERM0288,0.21,No_Data,6,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0289,0.51,No_Data,1,No_Data,No_Data,No_Data,5,8,No_Data,No_Data
FMDANRERM0048,57.22,No_Data,0,No_Data,No_Data,No_Data,28,8,No_Data,No_Data
FMDANRERM0290,114.17,No_Data,0,No_Data,No_Data,No_Data,3,2,No_Data,No_Data
FMDANRERM0049,476.44,No_Data,1,No_Data,No_Data,No_Data,26,83,No_Data,No_Data
FMDANRERM0291,1.01,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0050,629.15,No_Data,1,No_Data,No_Data,No_Data,269,68,No_Data,No_Data
FMDANRERM0292,736.50,No_Data,2,No_Data,No_Data,No_Data,159,13,No_Data,No_Data
FMDANRERM0051,12.68,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0052,2476.92,No_Data,11,No_Data,No_Data,No_Data,30,26,No_Data,No_Data
FMDANRERM0293,15.41,No_Data,14,No_Data,No_Data,No_Data,454,143,No_Data,No_Data
FMDANRERM0053,30.50,No_Data,45,No_Data,No_Data,No_Data,877,333,No_Data,No_Data
FMDANRERM0294,50.39,No_Data,0,No_Data,No_Data,No_Data,2,2,No_Data,No_Data
FMDANRERM0295,7.75,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0296,1.57,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0054,1568.88,No_Data,82,No_Data,No_Data,No_Data,180,245,No_Data,No_Data
FMDANRERM0297,602.45,No_Data,10102,No_Data,No_Data,No_Data,363,151,No_Data,No_Data
FMDANRERM0298,264.94,No_Data,1158,No_Data,No_Data,No_Data,834,530,No_Data,No_Data
FMDANRERM0055,231.14,No_Data,303,No_Data,No_Data,No_Data,991,320,No_Data,No_Data
FMDANRERM0299,75.22,No_Data,9,No_Data,No_Data,No_Data,538,1063,No_Data,No_Data
FMDANRERM0056,0.13,No_Data,0,No_Data,No_Data,No_Data,3,3,No_Data,No_Data
FMDANRERM0300,8.56,No_Data,8,No_Data,No_Data,No_Data,857,108,No_Data,No_Data
FMDANRERM0057,103.02,No_Data,268,No_Data,No_Data,No_Data,2987,764,No_Data,No_Data
FMDANRERM0058,19.74,No_Data,17,No_Data,No_Data,No_Data,836,130,No_Data,No_Data
FMDANRERM0301,1367.19,No_Data,15554,No_Data,No_Data,No_Data,13322,20761,No_Data,No_Data
FMDANRERM0059,7.13,No_Data,95,No_Data,No_Data,No_Data,278,215,No_Data,No_Data
FMDANRERM0302,839.41,No_Data,5448,No_Data,No_Data,No_Data,1051,527,No_Data,No_Data
FMDANRERM0060,21.29,No_Data,101,No_Data,No_Data,No_Data,59,43,No_Data,No_Data
FMDANRERM0303,335.84,No_Data,6028,No_Data,No_Data,No_Data,1698,3769,No_Data,No_Data
FMDANRERM0061,464.43,No_Data,7960,No_Data,No_Data,No_Data,23656,6325,No_Data,No_Data
FMDANRERM0304,2.60,No_Data,3,No_Data,No_Data,No_Data,44,22,No_Data,No_Data
FMDANRERM0062,2306.48,No_Data,2113,No_Data,No_Data,No_Data,52659,15971,No_Data,No_Data
FMDANRERM0305,8.81,No_Data,27,No_Data,No_Data,No_Data,86,84,No_Data,No_Data
FMDANRERM0063,169.53,No_Data,246,No_Data,No_Data,No_Data,5467,1856,No_Data,No_Data
FMDANRERM0306,61.06,No_Data,39,No_Data,No_Data,No_Data,1364,308,No_Data,No_Data
FMDANRERM0064,5.89,No_Data,4,No_Data,No_Data,No_Data,95,17,No_Data,No_Data
FMDANRERM0066,770.77,No_Data,439,No_Data,No_Data,No_Data,516,682,No_Data,No_Data
FMDANRERM0308,53.08,No_Data,33,No_Data,No_Data,No_Data,574,118,No_Data,No_Data
FMDANRERM0067,1.29,No_Data,2,No_Data,No_Data,No_Data,8,1,No_Data,No_Data
FMDANRERM0309,1783.99,No_Data,3,No_Data,No_Data,No_Data,16,18,No_Data,No_Data
FMDANRERM0068,8.88,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0310,3513.74,No_Data,12,No_Data,No_Data,No_Data,461,1062,No_Data,No_Data
FMDANRERM0069,81.65,No_Data,0,No_Data,No_Data,No_Data,4,18,No_Data,No_Data
FMDANRERM0311,1320.53,No_Data,6,No_Data,No_Data,No_Data,31,24,No_Data,No_Data
FMDANRERM0070,13.77,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0312,0.00,No_Data,0,No_Data,No_Data,No_Data,0,1,No_Data,No_Data
FMDANRERM0071,1.55,No_Data,1,No_Data,No_Data,No_Data,112,87,No_Data,No_Data
FMDANRERM0313,2.22,No_Data,0,No_Data,No_Data,No_Data,0,2,No_Data,No_Data
FMDANRERM0072,928.15,No_Data,153,No_Data,No_Data,No_Data,518,663,No_Data,No_Data
FMDANRERM0315,7.13,No_Data,12,No_Data,No_Data,No_Data,34,53,No_Data,No_Data
FMDANRERM0073,11.01,No_Data,13,No_Data,No_Data,No_Data,426,92,No_Data,No_Data
FMDANRERM0316,0.18,No_Data,1,No_Data,No_Data,No_Data,6,4,No_Data,No_Data
FMDANRERM0074,11.68,No_Data,42,No_Data,No_Data,No_Data,187,134,No_Data,No_Data
FMDANRERM0317,0.00,No_Data,0,No_Data,No_Data,No_Data,0,2,No_Data,No_Data
FMDANRERM0075,135.84,No_Data,49,No_Data,No_Data,No_Data,313,185,No_Data,No_Data
FMDANRERM0318,4.96,No_Data,0,No_Data,No_Data,No_Data,1,5,No_Data,No_Data
FMDANRERM0076,4395.48,No_Data,822,No_Data,No_Data,No_Data,949,1890,No_Data,No_Data
FMDANRERM0319,58.63,No_Data,126,No_Data,No_Data,No_Data,80,104,No_Data,No_Data
FMDANRERM0077,1285.32,No_Data,694,No_Data,No_Data,No_Data,1598,1352,No_Data,No_Data
FMDANRERM0321,7.21,No_Data,4,No_Data,No_Data,No_Data,21,22,No_Data,No_Data
FMDANRERM0322,1.37,No_Data,1,No_Data,No_Data,No_Data,7,2,No_Data,No_Data
FMDANRERM0079,955.41,No_Data,292,No_Data,No_Data,No_Data,11679,4459,No_Data,No_Data
FMDANRERM0323,266.72,No_Data,18,No_Data,No_Data,No_Data,161,57,No_Data,No_Data
FMDANRERM0324,42.47,No_Data,13,No_Data,No_Data,No_Data,21,21,No_Data,No_Data
FMDANRERM0325,68.66,No_Data,6,No_Data,No_Data,No_Data,31,11,No_Data,No_Data
FMDANRERM0326,3.22,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0327,40.98,No_Data,26,No_Data,No_Data,No_Data,73,28,No_Data,No_Data
FMDANRERM0080,10400.15,No_Data,1791,No_Data,No_Data,No_Data,6253,1623,No_Data,No_Data
FMDANRERM0328,4.61,No_Data,0,No_Data,No_Data,No_Data,3,1,No_Data,No_Data
FMDANRERM0329,10.99,No_Data,2,No_Data,No_Data,No_Data,3,4,No_Data,No_Data
FMDANRERM0330,17.76,No_Data,1,No_Data,No_Data,No_Data,4,1,No_Data,No_Data
FMDANRERM0081,1682.29,No_Data,65,No_Data,No_Data,No_Data,407,202,No_Data,No_Data
FMDANRERM0331,18.62,No_Data,1,No_Data,No_Data,No_Data,1,2,No_Data,No_Data
FMDANRERM0082,209.07,No_Data,8,No_Data,No_Data,No_Data,38,31,No_Data,No_Data
FMDANRERM0332,1.74,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0083,6.69,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0333,5.01,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0084,90.02,No_Data,5,No_Data,No_Data,No_Data,3,38,No_Data,No_Data
FMDANRERM0334,0.61,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0085,119.69,No_Data,7,No_Data,No_Data,No_Data,6,42,No_Data,No_Data
FMDANRERM0335,18.05,No_Data,1,No_Data,No_Data,No_Data,0,13,No_Data,No_Data
FMDANRERM0336,1971.48,No_Data,14,No_Data,No_Data,No_Data,46,188,No_Data,No_Data
FMDANRERM0087,73.79,No_Data,1,No_Data,No_Data,No_Data,5,16,No_Data,No_Data
FMDANRERM0337,2.61,No_Data,1,No_Data,No_Data,No_Data,8,0,No_Data,No_Data
FMDANRERM0088,40.58,No_Data,2,No_Data,No_Data,No_Data,86,14,No_Data,No_Data
FMDANRERM0338,0.19,No_Data,0,No_Data,No_Data,No_Data,13,0,No_Data,No_Data
FMDANRERM0089,12.33,No_Data,1,No_Data,No_Data,No_Data,40,7,No_Data,No_Data
FMDANRERM0090,4.90,No_Data,2,No_Data,No_Data,No_Data,137,21,No_Data,No_Data
FMDANRERM0340,40.28,No_Data,4,No_Data,No_Data,No_Data,42,18,No_Data,No_Data
FMDANRERM0091,63.95,No_Data,4,No_Data,No_Data,No_Data,52,23,No_Data,No_Data
FMDANRERM0092,0.00,No_Data,0,No_Data,No_Data,No_Data,1,1,No_Data,No_Data
FMDANRERM0341,0.43,No_Data,1,No_Data,No_Data,No_Data,1,5,No_Data,No_Data
FMDANRERM0093,150.57,No_Data,551,No_Data,No_Data,No_Data,1011,1752,No_Data,No_Data
FMDANRERM0342,0.12,No_Data,0,No_Data,No_Data,No_Data,3,3,No_Data,No_Data
FMDANRERM0094,29.76,No_Data,100,No_Data,No_Data,No_Data,952,621,No_Data,No_Data
FMDANRERM0343,0.69,No_Data,6,No_Data,No_Data,No_Data,10,16,No_Data,No_Data
FMDANRERM0095,0.71,No_Data,3,No_Data,No_Data,No_Data,10,11,No_Data,No_Data
FMDANRERM0344,114.59,No_Data,99,No_Data,No_Data,No_Data,82,176,No_Data,No_Data
FMDANRERM0096,3.98,No_Data,2,No_Data,No_Data,No_Data,5,12,No_Data,No_Data
FMDANRERM0097,7.00,No_Data,8,No_Data,No_Data,No_Data,380,173,No_Data,No_Data
FMDANRERM0346,0.11,No_Data,0,No_Data,No_Data,No_Data,6,1,No_Data,No_Data
FMDANRERM0098,0.13,No_Data,0,No_Data,No_Data,No_Data,127,16,No_Data,No_Data
FMDANRERM0347,0.09,No_Data,0,No_Data,No_Data,No_Data,2,16,No_Data,No_Data
FMDANRERM0348,0.07,No_Data,0,No_Data,No_Data,No_Data,5,10,No_Data,No_Data
FMDANRERM0099,0.43,No_Data,0,No_Data,No_Data,No_Data,13,66,No_Data,No_Data
FMDANRERM0349,0.00,No_Data,0,No_Data,No_Data,No_Data,4,10,No_Data,No_Data
FMDANRERM0100,0.26,No_Data,0,No_Data,No_Data,No_Data,8,34,No_Data,No_Data
FMDANRERM0101,0.09,No_Data,0,No_Data,No_Data,No_Data,0,9,No_Data,No_Data
FMDANRERM0350,0.04,No_Data,0,No_Data,No_Data,No_Data,1,5,No_Data,No_Data
FMDANRERM0102,0.00,No_Data,0,No_Data,No_Data,No_Data,2,14,No_Data,No_Data
FMDANRERM0351,288.53,No_Data,995,No_Data,No_Data,No_Data,3574,2614,No_Data,No_Data
FMDANRERM0352,73.21,No_Data,161,No_Data,No_Data,No_Data,661,426,No_Data,No_Data
FMDANRERM0103,362.35,No_Data,922,No_Data,No_Data,No_Data,3735,5613,No_Data,No_Data
FMDANRERM0353,54.53,No_Data,13,No_Data,No_Data,No_Data,4436,377,No_Data,No_Data
FMDANRERM0104,4.36,No_Data,0,No_Data,No_Data,No_Data,8,1,No_Data,No_Data
FMDANRERM0105,0.74,No_Data,0,No_Data,No_Data,No_Data,15,2,No_Data,No_Data
FMDANRERM0106,0.97,No_Data,0,No_Data,No_Data,No_Data,5,1,No_Data,No_Data
FMDANRERM0354,592.83,No_Data,178,No_Data,No_Data,No_Data,12410,1828,No_Data,No_Data
FMDANRERM0355,65.92,No_Data,50,No_Data,No_Data,No_Data,1592,890,No_Data,No_Data
FMDANRERM0107,0.11,No_Data,0,No_Data,No_Data,No_Data,2,1,No_Data,No_Data
FMDANRERM0356,95.80,No_Data,28,No_Data,No_Data,No_Data,710,223,No_Data,No_Data
FMDANRERM0108,0.08,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0357,31.15,No_Data,140,No_Data,No_Data,No_Data,3141,572,No_Data,No_Data
FMDANRERM0109,0.26,No_Data,1,No_Data,No_Data,No_Data,21,4,No_Data,No_Data
FMDANRERM0358,44.36,No_Data,386,No_Data,No_Data,No_Data,3530,511,No_Data,No_Data
FMDANRERM0110,0.07,No_Data,0,No_Data,No_Data,No_Data,4,0,No_Data,No_Data
FMDANRERM0359,74.63,No_Data,10,No_Data,No_Data,No_Data,778,1119,No_Data,No_Data
FMDANRERM0111,0.17,No_Data,0,No_Data,No_Data,No_Data,0,4,No_Data,No_Data
FMDANRERM0360,0.24,No_Data,1,No_Data,No_Data,No_Data,1078,435,No_Data,No_Data
FMDANRERM0112,8.62,No_Data,30,No_Data,No_Data,No_Data,39266,26613,No_Data,No_Data
FMDANRERM0361,20.76,No_Data,6,No_Data,No_Data,No_Data,240,45,No_Data,No_Data
FMDANRERM0362,68.59,No_Data,7,No_Data,No_Data,No_Data,93,214,No_Data,No_Data
FMDANRERM0114,1.76,No_Data,0,No_Data,No_Data,No_Data,1,3,No_Data,No_Data
FMDANRERM0363,0.97,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0365,0.00,No_Data,0,No_Data,No_Data,No_Data,3,0,No_Data,No_Data
FMDANRERM0115,485.45,No_Data,225,No_Data,No_Data,No_Data,4016,807,No_Data,No_Data
FMDANRERM0116,30.53,No_Data,11,No_Data,No_Data,No_Data,25,268,No_Data,No_Data
FMDANRERM0367,20.34,No_Data,8,No_Data,No_Data,No_Data,60,107,No_Data,No_Data
FMDANRERM0368,28.72,No_Data,15,No_Data,No_Data,No_Data,68,37,No_Data,No_Data
FMDANRERM0369,8.52,No_Data,4,No_Data,No_Data,No_Data,43,12,No_Data,No_Data
FMDANRERM0119,777.16,No_Data,214,No_Data,No_Data,No_Data,12384,3599,No_Data,No_Data
FMDANRERM0370,0.00,No_Data,0,No_Data,No_Data,No_Data,1,0,No_Data,No_Data
FMDANRERM0120,10.08,No_Data,7,No_Data,No_Data,No_Data,430,229,No_Data,No_Data
FMDANRERM0371,63.96,No_Data,50,No_Data,No_Data,No_Data,264,150,No_Data,No_Data
FMDANRERM0121,158.63,No_Data,403,No_Data,No_Data,No_Data,134,116,No_Data,No_Data
FMDANRERM0372,216.48,No_Data,0,No_Data,No_Data,No_Data,2,20,No_Data,No_Data
FMDANRERM0122,16520.69,No_Data,117,No_Data,No_Data,No_Data,243,2199,No_Data,No_Data
FMDANRERM0373,126.01,No_Data,375,No_Data,No_Data,No_Data,860,665,No_Data,No_Data
FMDANRERM0123,2.03,No_Data,6,No_Data,No_Data,No_Data,53,25,No_Data,No_Data
FMDANRERM0124,9185.19,No_Data,3328,No_Data,No_Data,No_Data,32707,24431,No_Data,No_Data
FMDANRERM0374,0.18,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0125,1106.04,No_Data,16,No_Data,No_Data,No_Data,39,318,No_Data,No_Data
FMDANRERM0126,530.30,No_Data,7,No_Data,No_Data,No_Data,77,153,No_Data,No_Data
FMDANRERM0375,25.88,No_Data,1,No_Data,No_Data,No_Data,4,3,No_Data,No_Data
FMDANRERM0127,787.69,No_Data,13,No_Data,No_Data,No_Data,317,576,No_Data,No_Data
FMDANRERM0376,0.66,No_Data,1,No_Data,No_Data,No_Data,8,4,No_Data,No_Data
FMDANRERM0128,27.92,No_Data,102,No_Data,No_Data,No_Data,561,544,No_Data,No_Data
FMDANRERM0378,39.21,No_Data,1,No_Data,No_Data,No_Data,8,47,No_Data,No_Data
FMDANRERM0129,35.76,No_Data,2,No_Data,No_Data,No_Data,9,45,No_Data,No_Data
FMDANRERM0130,27.08,No_Data,1,No_Data,No_Data,No_Data,7,33,No_Data,No_Data
FMDANRERM0379,122.35,No_Data,164,No_Data,No_Data,No_Data,29,22,No_Data,No_Data
FMDANRERM0131,379.11,No_Data,2038,No_Data,No_Data,No_Data,450,155,No_Data,No_Data
FMDANRERM0380,5.25,No_Data,3,No_Data,No_Data,No_Data,113,927,No_Data,No_Data
FMDANRERM0132,0.34,No_Data,0,No_Data,No_Data,No_Data,6,58,No_Data,No_Data
FMDANRERM0381,7.11,No_Data,6,No_Data,No_Data,No_Data,3,5,No_Data,No_Data
FMDANRERM0382,3.07,No_Data,4,No_Data,No_Data,No_Data,13,2,No_Data,No_Data
FMDANRERM0133,284.15,No_Data,136,No_Data,No_Data,No_Data,297,115,No_Data,No_Data
FMDANRERM0134,79.11,No_Data,0,No_Data,No_Data,No_Data,3,5,No_Data,No_Data
FMDANRERM0383,1725.30,No_Data,3,No_Data,No_Data,No_Data,15,8,No_Data,No_Data
FMDANRERM0384,103.37,No_Data,1,No_Data,No_Data,No_Data,0,2,No_Data,No_Data
FMDANRERM0135,0.34,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0386,2.18,No_Data,0,No_Data,No_Data,No_Data,0,0,No_Data,No_Data
FMDANRERM0137,392.45,No_Data,0,No_Data,No_Data,No_Data,2,3,No_Data,No_Data
FMDANRERM0391,76.86,No_Data,41,No_Data,No_Data,No_Data,196,135,No_Data,No_Data
FMDANRERM0393,5046.06,No_Data,623,No_Data,No_Data,No_Data,776,460,No_Data,No_Data
FMDANRERM0139,2305.99,No_Data,540,No_Data,No_Data,No_Data,236,391,No_Data,No_Data
FMDANRERM0394,4222.23,No_Data,488,No_Data,No_Data,No_Data,417,409,No_Data,No_Data
FMDANRERM0140,283.54,No_Data,76,No_Data,No_Data,No_Data,121,117,No_Data,No_Data
FMDANRERM0395,15.96,No_Data,14,No_Data,No_Data,No_Data,558,114,No_Data,No_Data
FMDANRERM0141,0.46,No_Data,0,No_Data,No_Data,No_Data,8,3,No_Data,No_Data
FMDANRERM0396,737.98,No_Data,4,No_Data,No_Data,No_Data,10,7,No_Data,No_Data
