ZDB-FISH-150901-10243|rw0130aTg|ZDB-GENOX-070117-337|
ZDB-FISH-151019-1|WT + MO1-zgc:172246|ZDB-GENOX-151019-1|
ZDB-FISH-151019-2|as3Tg + MO1-zgc:172246|ZDB-GENOX-151019-2|
ZDB-FISH-160122-12|mw39Tg; mw63Tg|ZDB-GENOX-160122-13|
ZDB-FISH-160122-13|mw39Tg; mw64Tg|ZDB-GENOX-160122-12|
ZDB-FISH-160122-14|mw39Tg; mw65Tg|ZDB-GENOX-160122-14|
ZDB-FISH-160415-17|ct834Tg|ZDB-GENOX-160415-31|
ZDB-FISH-160715-2|w200Tg|ZDB-GENOX-160715-4|
ZDB-FISH-160816-27|icm21Tg ; s1020tEt|ZDB-GENOX-160816-28|
ZDB-FISH-160816-28|nns18Tg ; icm21Tg|ZDB-GENOX-160816-29|
ZDB-FISH-160816-29|icm21Tg ; icm10Tg|ZDB-GENOX-160816-27|
ZDB-FISH-160816-32|nns20Tg ; icm21Tg|ZDB-GENOX-160816-32|
ZDB-FISH-161115-5|rw0144Tg ; mi1009Tg|ZDB-GENOX-161115-8|
