pub,mrel_mrkr_1_zdb_id,mrel_mrkr_2_zdb_id,mrel_type
ZDB-PUB-130709-68,ZDB-TGCONSTRCT-130925-2,ZDB-GENE-000705-1,promoter of
ZDB-PUB-130709-68,ZDB-TGCONSTRCT-130925-4,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-130709-68,ZDB-TGCONSTRCT-130925-4,ZDB-GENE-000705-1,promoter of
ZDB-PUB-150115-9,ZDB-TGCONSTRCT-150603-1,ZDB-EREGION-130205-1,coding sequence of
ZDB-PUB-150115-9,ZDB-TGCONSTRCT-150603-1,ZDB-GENE-980526-426,promoter of
ZDB-PUB-150115-9,ZDB-TGCONSTRCT-150603-1,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-150115-23,ZDB-TGCONSTRCT-150721-6,ZDB-EREGION-130306-1,coding sequence of
ZDB-PUB-150115-23,ZDB-TGCONSTRCT-150721-6,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-150115-23,ZDB-TGCONSTRCT-150721-6,ZDB-EREGION-070122-1,promoter of
ZDB-PUB-150115-23,ZDB-TGCONSTRCT-150721-6,ZDB-GENE-980526-112,promoter of
ZDB-PUB-150115-23,ZDB-TGCONSTRCT-150721-6,ZDB-EFG-110425-1,coding sequence of
ZDB-PUB-151008-10,ZDB-ETCONSTRCT-151102-2,ZDB-EREGION-111230-3,promoter of
ZDB-PUB-151008-10,ZDB-ETCONSTRCT-151102-2,ZDB-EREGION-111230-3,coding sequence of
ZDB-PUB-150809-9,ZDB-TGCONSTRCT-151231-3,ZDB-GENE-980526-426,promoter of
ZDB-PUB-150809-9,ZDB-TGCONSTRCT-151231-3,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-150809-9,ZDB-TGCONSTRCT-151231-3,ZDB-GENE-041010-140,coding sequence of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-3,ZDB-GENE-040426-2246,promoter of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-3,ZDB-EFG-111118-1,coding sequence of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-4,ZDB-GENE-040426-2246,promoter of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-4,ZDB-EREGION-110816-11,coding sequence of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-4,ZDB-EFG-111118-1,coding sequence of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-5,ZDB-EFG-111118-1,coding sequence of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-5,ZDB-EREGION-130520-1,coding sequence of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-5,ZDB-GENE-040426-2246,promoter of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-5,ZDB-EFG-090219-1,coding sequence of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-2,ZDB-EREGION-110816-11,coding sequence of
ZDB-PUB-151008-1,ZDB-TGCONSTRCT-160122-2,ZDB-GENE-040426-2246,promoter of
ZDB-PUB-151104-9,ZDB-TGCONSTRCT-160226-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-151104-9,ZDB-TGCONSTRCT-160226-1,ZDB-GENE-980526-426,promoter of
ZDB-PUB-151104-9,ZDB-TGCONSTRCT-160226-1,ZDB-EREGION-130205-1,coding sequence of
ZDB-PUB-160106-14,ZDB-TGCONSTRCT-160301-2,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-160106-14,ZDB-TGCONSTRCT-160301-2,ZDB-GENE-011207-1,promoter of
ZDB-PUB-160106-14,ZDB-TGCONSTRCT-160301-3,ZDB-GENE-000322-1,promoter of
ZDB-PUB-160106-14,ZDB-TGCONSTRCT-160301-3,ZDB-GENE-021031-4,coding sequence of
ZDB-PUB-160106-14,ZDB-TGCONSTRCT-160301-3,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-160106-14,ZDB-TGCONSTRCT-160301-2,ZDB-GENE-021031-4,coding sequence of
ZDB-PUB-151121-2,ZDB-TGCONSTRCT-160323-3,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-151121-2,ZDB-TGCONSTRCT-160323-3,ZDB-GENE-980526-426,promoter of
ZDB-PUB-151121-2,ZDB-TGCONSTRCT-160323-3,ZDB-GENE-131127-89,coding sequence of
ZDB-PUB-151216-20,ZDB-TGCONSTRCT-160421-1,ZDB-EREGION-130306-1,coding sequence of
ZDB-PUB-151216-20,ZDB-TGCONSTRCT-160421-1,ZDB-EREGION-070122-1,promoter of
ZDB-PUB-151216-20,ZDB-TGCONSTRCT-160421-1,ZDB-EFG-110425-1,coding sequence of
ZDB-PUB-151216-20,ZDB-TGCONSTRCT-160421-1,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-151216-20,ZDB-TGCONSTRCT-160421-1,ZDB-GENE-980526-112,promoter of
ZDB-PUB-160106-14,ZDB-TGCONSTRCT-160519-2,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-160106-14,ZDB-TGCONSTRCT-160519-2,ZDB-GENE-980526-76,promoter of
ZDB-PUB-160310-12,ZDB-TGCONSTRCT-160609-7,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-160310-12,ZDB-TGCONSTRCT-160609-7,ZDB-GENE-980526-426,promoter of
ZDB-PUB-160310-12,ZDB-TGCONSTRCT-160609-7,ZDB-GENE-130530-689,coding sequence of
ZDB-PUB-160407-4,ZDB-TGCONSTRCT-160620-1,ZDB-GENE-041210-183,promoter of
ZDB-PUB-160407-4,ZDB-TGCONSTRCT-160620-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-160319-9,ZDB-TGCONSTRCT-160628-2,ZDB-GENE-991019-3,promoter of
ZDB-PUB-160319-9,ZDB-TGCONSTRCT-160628-2,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-160319-9,ZDB-TGCONSTRCT-160628-2,ZDB-GENE-020717-1,coding sequence of
ZDB-PUB-160726-3,ZDB-TGCONSTRCT-160726-2,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-160726-3,ZDB-TGCONSTRCT-160726-2,ZDB-EREGION-110816-1,coding sequence of
ZDB-PUB-160726-3,ZDB-TGCONSTRCT-160726-2,ZDB-GENE-980526-426,promoter of
ZDB-PUB-150726-3,ZDB-TGCONSTRCT-160802-2,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-150726-3,ZDB-TGCONSTRCT-160802-2,ZDB-GENE-030131-102,promoter of
ZDB-PUB-160123-15,ZDB-TGCONSTRCT-160803-2,ZDB-GENE-980526-265,promoter of
ZDB-PUB-160123-15,ZDB-TGCONSTRCT-160803-2,ZDB-EFG-080910-1,coding sequence of
ZDB-PUB-160602-7,ZDB-TGCONSTRCT-160804-1,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-160602-7,ZDB-TGCONSTRCT-160804-1,ZDB-GENE-980526-426,promoter of
ZDB-PUB-160521-2,ZDB-TGCONSTRCT-160822-2,ZDB-GENE-050321-1,promoter of
ZDB-PUB-160521-2,ZDB-TGCONSTRCT-160822-2,ZDB-GENE-990415-45,coding sequence of
ZDB-PUB-160521-2,ZDB-TGCONSTRCT-160822-2,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-160521-2,ZDB-TGCONSTRCT-160909-8,ZDB-GENE-020515-2,promoter of
ZDB-PUB-160521-2,ZDB-TGCONSTRCT-160909-8,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-160521-2,ZDB-TGCONSTRCT-160909-8,ZDB-EREGION-110816-14,coding sequence of
ZDB-PUB-160701-6,ZDB-TGCONSTRCT-160915-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-160701-6,ZDB-TGCONSTRCT-160915-1,ZDB-GENE-050411-10,promoter of
ZDB-PUB-160701-6,ZDB-TGCONSTRCT-160915-1,ZDB-EREGION-110816-5,coding sequence of
ZDB-PUB-160701-6,ZDB-TGCONSTRCT-160915-1,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-140710-12,ZDB-TGCONSTRCT-151204-5,ZDB-GENE-050417-26,promoter of
ZDB-PUB-140710-12,ZDB-TGCONSTRCT-151204-5,ZDB-EFG-120320-3,coding sequence of
ZDB-PUB-161103-1,ZDB-TGCONSTRCT-170103-3,ZDB-GENE-980526-362,coding sequence of
ZDB-PUB-161103-1,ZDB-TGCONSTRCT-170103-3,ZDB-EREGION-130520-1,coding sequence of
ZDB-PUB-161103-1,ZDB-TGCONSTRCT-170103-3,ZDB-GENE-991019-3,promoter of
ZDB-PUB-161103-1,ZDB-TGCONSTRCT-170103-3,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-161103-1,ZDB-TGCONSTRCT-170103-3,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-161103-1,ZDB-TGCONSTRCT-170103-3,ZDB-EREGION-070122-1,promoter of
ZDB-PUB-161007-38,ZDB-TGCONSTRCT-170131-5,ZDB-GENE-020717-1,coding sequence of
ZDB-PUB-161007-38,ZDB-TGCONSTRCT-170131-5,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-161007-38,ZDB-TGCONSTRCT-170131-5,ZDB-EFG-080131-4,coding sequence of
ZDB-PUB-161007-38,ZDB-TGCONSTRCT-170131-5,ZDB-EREGION-120127-3,promoter of
ZDB-PUB-161007-38,ZDB-TGCONSTRCT-170131-5,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-161007-38,ZDB-TGCONSTRCT-170131-5,ZDB-GENE-020508-1,promoter of
ZDB-PUB-161102-8,ZDB-TGCONSTRCT-170202-1,ZDB-GENE-980526-426,promoter of
ZDB-PUB-161102-8,ZDB-TGCONSTRCT-170202-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-161102-8,ZDB-TGCONSTRCT-170202-1,ZDB-EREGION-130205-1,coding sequence of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-170215-3,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-170215-3,ZDB-GENE-030131-9167,coding sequence of
ZDB-PUB-160319-7,ZDB-TGCONSTRCT-170224-4,ZDB-GENE-980526-260,promoter of
ZDB-PUB-160319-7,ZDB-TGCONSTRCT-170224-4,ZDB-GENE-980526-112,promoter of
ZDB-PUB-160319-7,ZDB-TGCONSTRCT-170224-4,ZDB-EREGION-130306-1,coding sequence of
ZDB-PUB-160319-7,ZDB-TGCONSTRCT-170224-4,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-170327-2,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-170327-2,ZDB-GENE-040409-1,promoter of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-170424-2,ZDB-GENE-050321-1,promoter of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-170424-2,ZDB-EFG-080131-2,coding sequence of
ZDB-PUB-170330-7,ZDB-TGCONSTRCT-170522-2,ZDB-GENE-980526-426,promoter of
ZDB-PUB-170330-7,ZDB-TGCONSTRCT-170522-2,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-170330-7,ZDB-TGCONSTRCT-170522-3,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-170330-7,ZDB-TGCONSTRCT-170522-3,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-170330-7,ZDB-TGCONSTRCT-170522-3,ZDB-EREGION-130520-1,coding sequence of
ZDB-PUB-170330-7,ZDB-TGCONSTRCT-170522-3,ZDB-GENE-980526-426,promoter of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-170711-8,ZDB-GENE-980526-426,promoter of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-170711-8,ZDB-EREGION-110816-12,coding sequence of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-170711-8,ZDB-EFG-090219-1,coding sequence of
ZDB-PUB-170714-9,ZDB-TGCONSTRCT-170908-8,ZDB-GENE-111117-2,promoter of
ZDB-PUB-170714-9,ZDB-TGCONSTRCT-170908-8,ZDB-EREGION-130306-1,coding sequence of
ZDB-PUB-170714-9,ZDB-TGCONSTRCT-170908-8,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-170714-9,ZDB-TGCONSTRCT-170908-8,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-170714-9,ZDB-TGCONSTRCT-170908-8,ZDB-GENE-991019-3,promoter of
ZDB-PUB-170714-9,ZDB-TGCONSTRCT-170908-14,ZDB-GENE-030813-3,promoter of
ZDB-PUB-170714-9,ZDB-TGCONSTRCT-170908-14,ZDB-GENE-991019-3,promoter of
ZDB-PUB-170714-9,ZDB-TGCONSTRCT-170908-14,ZDB-EREGION-130306-1,coding sequence of
ZDB-PUB-170714-9,ZDB-TGCONSTRCT-170908-14,ZDB-EFG-080319-1,coding sequence of
ZDB-PUB-170714-9,ZDB-TGCONSTRCT-170908-14,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-171204-1,ZDB-GENE-091118-27,coding sequence of
ZDB-PUB-170103-4,ZDB-TGCONSTRCT-171204-1,ZDB-GENE-990415-271,promoter of
ZDB-PUB-170405-8,ZDB-TGCONSTRCT-180125-1,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-020812-1,ZDB-TGCONSTRCT-070117-94,ZDB-GENE-980526-426,promoter of
ZDB-PUB-180105-5,ZDB-TGCONSTRCT-180129-4,ZDB-GENE-030318-3,promoter of
ZDB-PUB-180105-5,ZDB-TGCONSTRCT-180129-4,ZDB-EFG-070117-2,coding sequence of
ZDB-PUB-180105-5,ZDB-TGCONSTRCT-180129-4,ZDB-EREGION-110822-1,coding sequence of
ZDB-PUB-180105-5,ZDB-TGCONSTRCT-180129-4,ZDB-EREGION-130520-1,coding sequence of
ZDB-PUB-170929-5,ZDB-TGCONSTRCT-180207-6,ZDB-GENE-020515-2,promoter of
ZDB-PUB-170929-5,ZDB-TGCONSTRCT-180207-6,ZDB-EFG-110613-3,coding sequence of
ZDB-PUB-170929-5,ZDB-TGCONSTRCT-180207-6,ZDB-MIRNAG-090929-299,coding sequence of
ZDB-PUB-180105-5,ZDB-TGCONSTRCT-180302-2,ZDB-GENE-990604-41,promoter of
ZDB-PUB-180105-5,ZDB-TGCONSTRCT-180302-2,ZDB-EFG-180302-1,coding sequence of
ZDB-PUB-180105-5,ZDB-TGCONSTRCT-180302-2,ZDB-GENE-990604-41,coding sequence of
ZDB-PUB-180105-5,ZDB-TGCONSTRCT-180302-2,ZDB-EFG-120320-2,coding sequence of
ZDB-PUB-180105-5,ZDB-TGCONSTRCT-180302-2,ZDB-GENE-040718-141,coding sequence of
ZDB-PUB-180105-5,ZDB-TGCONSTRCT-180302-2,ZDB-GENE-040718-141,promoter of
ZDB-PUB-170204-7,ZDB-TGCONSTRCT-180323-1,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-170204-7,ZDB-TGCONSTRCT-180323-1,ZDB-GENE-020717-1,coding sequence of
ZDB-PUB-170204-7,ZDB-TGCONSTRCT-180323-1,ZDB-GENE-000329-3,promoter of
ZDB-PUB-171212-5,ZDB-TGCONSTRCT-180511-2,ZDB-GENE-980526-112,promoter of
ZDB-PUB-171212-5,ZDB-TGCONSTRCT-180511-2,ZDB-EREGION-110816-11,coding sequence of
ZDB-PUB-171212-5,ZDB-TGCONSTRCT-180511-2,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-170405-8,ZDB-TGCONSTRCT-180125-1,ZDB-GENE-000329-3,promoter of
ZDB-PUB-020812-1,ZDB-TGCONSTRCT-070117-94,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-050202-4,ZDB-TGCONSTRCT-070117-103,ZDB-EFG-070117-2,coding sequence of
ZDB-PUB-050202-4,ZDB-TGCONSTRCT-070117-104,ZDB-EFG-070117-2,coding sequence of
ZDB-PUB-050202-4,ZDB-TGCONSTRCT-070117-46,ZDB-EFG-070117-2,coding sequence of
ZDB-PUB-020220-18,ZDB-TGCONSTRCT-070117-39,ZDB-GENE-020717-1,promoter of
ZDB-PUB-020220-18,ZDB-TGCONSTRCT-070117-39,ZDB-EFG-070117-2,coding sequence of
ZDB-PUB-070122-19,ZDB-TGCONSTRCT-070531-4,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-070122-19,ZDB-TGCONSTRCT-070531-4,ZDB-GENE-020717-1,promoter of
ZDB-PUB-060703-6,ZDB-TGCONSTRCT-070117-37,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-010705-5,ZDB-TGCONSTRCT-080409-1,ZDB-GENE-050321-1,promoter of
ZDB-PUB-010705-5,ZDB-TGCONSTRCT-080409-1,ZDB-GENE-980526-112,coding sequence of
ZDB-PUB-050513-11,ZDB-TGCONSTRCT-090917-1,ZDB-GENE-980526-112,promoter of
ZDB-PUB-050513-11,ZDB-TGCONSTRCT-090917-1,ZDB-EREGION-070122-1,promoter of
ZDB-PUB-050513-11,ZDB-TGCONSTRCT-090917-1,ZDB-EFG-070117-1,coding sequence of
ZDB-PUB-090616-28,ZDB-TGCONSTRCT-091218-1,ZDB-GENE-020717-1,coding sequence of
ZDB-PUB-090616-28,ZDB-TGCONSTRCT-091218-1,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-090616-28,ZDB-TGCONSTRCT-091218-1,ZDB-GENE-040426-987,promoter of
ZDB-PUB-071023-12,ZDB-TGCONSTRCT-100525-3,ZDB-EFG-081029-1,coding sequence of
ZDB-PUB-071023-12,ZDB-TGCONSTRCT-100525-3,ZDB-GENE-980526-426,promoter of
ZDB-PUB-100223-30,ZDB-TGCONSTRCT-070117-152,ZDB-GENE-980526-426,promoter of
ZDB-PUB-050202-4,ZDB-TGCONSTRCT-070117-45,ZDB-GENE-980526-112,promoter of
ZDB-PUB-050202-4,ZDB-TGCONSTRCT-070117-45,ZDB-EFG-070117-2,coding sequence of
ZDB-PUB-050202-4,ZDB-TGCONSTRCT-070117-103,ZDB-GENE-980526-112,promoter of
ZDB-PUB-100730-2,ZDB-TGCONSTRCT-100923-1,ZDB-EFG-080214-1,coding sequence of
ZDB-PUB-100730-2,ZDB-TGCONSTRCT-100923-1,ZDB-GENE-020717-1,promoter of
ZDB-PUB-050202-4,ZDB-TGCONSTRCT-101103-2,ZDB-EFG-070117-2,coding sequence of
ZDB-PUB-050202-4,ZDB-TGCONSTRCT-101103-2,ZDB-GENE-980526-112,promoter of
