Gene stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID
ENSDARG00000023583		A2AV34
ENSDARG00000038154		F1RBD9
ENSDARG00000061992		A8E7B7
ENSDARG00000098515		A0A0R4IPW3
ENSDARG00000062146		Q05AJ1
ENSDARG00000009470		Q4L1M9
ENSDARG00000098515		A0A0R4IDM7
ENSDARG00000061992		F1Q4W7
ENSDARG00000077057		X1WEK0
ENSDARG00000038154		X1WF43
ENSDARG00000077057		E7FA81
ENSDARG00000062962		F1R9N4
ENSDARG00000074869		B8JMF6
ENSDARG00000062146		A0A0R4IWY3
ENSDARG00000074869		F1QNT6
ENSDARG00000059705		F1QL85
ENSDARG00000074869		F1R0B3
ENSDARG00000016048		Z4YI28
ENSDARG00000104787		A0A0R4IIG7
ENSDARG00000074869		F6PCP4
ENSDARG00000062146		A0A0R4IHA2
ENSDARG00000067781		F1QWF0
ENSDARG00000104787		F1R0T2
ENSDARG00000045145		F1Q6I5
ENSDARG00000013063		Q6AZB2
ENSDARG00000078109	A4FUN7	
ENSDARG00000045145		F1QH60
ENSDARG00000059705		E7F348
ENSDARG00000097071		X1WE53
ENSDARG00000071468	Q1LXI5	
ENSDARG00000094890		A8WHM9
ENSDARG00000017577		F1R7D9
ENSDARG00000094890		A8WHN0
ENSDARG00000086819		A0A0R4IQT2
ENSDARG00000013063		F1REG7
ENSDARG00000097071		X1WET7
ENSDARG00000043492		F1QPF2
ENSDARG00000094890		A8WHM9
ENSDARG00000044338		Q2PRH9
ENSDARG00000013063		B0S6X0
ENSDARG00000006308		B0UYE7
ENSDARG00000086819		A0A0R4IHZ1
ENSDARG00000099866		
ENSDARG00000044338		
ENSDARG00000097071		A0A0R4IG35
ENSDARG00000099866		A0A0G2L0M3
ENSDARG00000063626		F8W540
ENSDARG00000017577		F1QKI3
ENSDARG00000013063		A0A0R4IJ61
ENSDARG00000044338		Q2PRH9
ENSDARG00000086819		E7FFV4
ENSDARG00000071361		F1R3U7
ENSDARG00000060392		F1RAW8
ENSDARG00000063626		B1H1J4
ENSDARG00000071361		E7F3Y2
ENSDARG00000092262		B8JHV2
ENSDARG00000053779		E7FBP1
ENSDARG00000063626		A0A0R4IS93
ENSDARG00000053779		E7FBP1
ENSDARG00000060096		B8A5W2
ENSDARG00000042660	Q6GQN4	
ENSDARG00000060392		E9QI23
ENSDARG00000026582		F1QM53
ENSDARG00000060096		F1Q602
ENSDARG00000041361		F1R3H9
ENSDARG00000041435		Q3B7P7
ENSDARG00000060392		F1QD09
ENSDARG00000026582		E9QGB4
ENSDARG00000100194		A0A0H2UJY6
ENSDARG00000077368		F1R6U1
ENSDARG00000074617		E7F921
ENSDARG00000030108		A5WV65
ENSDARG00000077368		E7F3B9
ENSDARG00000026582		F8W4V5
ENSDARG00000100194		A0A0H2UJN6
ENSDARG00000026806	Q6P0T2	
ENSDARG00000041361		E9QBU7
ENSDARG00000044938		F1Q982
ENSDARG00000078546		E7FC09
ENSDARG00000086819		A0A0R4IHX4
ENSDARG00000078546		A0A0R4IY54
ENSDARG00000044337		Q2PRH8
ENSDARG00000030108		A5WV65
ENSDARG00000033437		F1RAV5
ENSDARG00000030108		U3JB46
ENSDARG00000075282		A0A0R4IKQ9
ENSDARG00000019122		Q1LW01
ENSDARG00000007720		Q6DGP6
ENSDARG00000022319		Q2PRH7
ENSDARG00000033437		K7DY81
ENSDARG00000026806	Q6P0T2	
ENSDARG00000026806		A0A0R4I9Y0
ENSDARG00000033437		F1QYQ1
ENSDARG00000040557		Q1LVM3
ENSDARG00000045160		F1RE60
ENSDARG00000086819		A0A0R4I9M7
ENSDARG00000026806		A0A0R4II79
ENSDARG00000086819		A0A0R4IUM7
ENSDARG00000069280		A5WV68
ENSDARG00000077035		X1WD44
ENSDARG00000019122		Q1LW00
ENSDARG00000086819		A0A0R4I9M7
ENSDARG00000040557		Q1LVM4
ENSDARG00000033437		K7DYC0
ENSDARG00000069280		A5WV68
ENSDARG00000086819		A0A0R4ITD7
ENSDARG00000019122		E7FBC5
ENSDARG00000019122		Q1LW01
ENSDARG00000017398		F1R5E0
ENSDARG00000069804		F1QGR2
ENSDARG00000039522		F1QKY8
ENSDARG00000061873		F1QIT0
ENSDARG00000015905		F1R533
ENSDARG00000017398		A0A0R4ICB5
ENSDARG00000012986		F1R0X5
ENSDARG00000060678		E7F995
ENSDARG00000022418		B0UXY9
ENSDARG00000060678		E7F995
ENSDARG00000012986		F1R0X5
ENSDARG00000029406	Q7ZUY3	
ENSDARG00000097256		X1WCE4
ENSDARG00000075172		Q6TH11
ENSDARG00000037099		F1QHL0
ENSDARG00000022418		F1R212
ENSDARG00000068290		F1QIJ4
ENSDARG00000073944		F1Q7K3
ENSDARG00000075172		E9QCW5
ENSDARG00000073944		F1Q7K3
ENSDARG00000045749		H0WFE9
ENSDARG00000035282	Q6P0F0	
ENSDARG00000045749		A0A0J9YJ57
ENSDARG00000029292		Q803B6
ENSDARG00000099363		Q6TCF5
ENSDARG00000042663		E9QFG2
ENSDARG00000045749		Q5RG05
ENSDARG00000042663		F1QD23
ENSDARG00000102274		A0A0R4IC28
ENSDARG00000042663		X1WFH1
ENSDARG00000071011		Q568S1
ENSDARG00000105357		A0A140LGA5
ENSDARG00000093734		A5WV38
ENSDARG00000000349		I3ITQ2
ENSDARG00000062612		B8JLP0
ENSDARG00000031136	Q5TZ24	
ENSDARG00000011360		F1Q553
ENSDARG00000029292		Q6AZ99
ENSDARG00000104936		A0A0R4IDJ7
ENSDARG00000019498		F1QHM9
ENSDARG00000044914		F1R7X5
ENSDARG00000062612		B8JLP0
ENSDARG00000029292		Q6AZ99
ENSDARG00000040274		F1R1Z1
ENSDARG00000009477		F1Q6C0
ENSDARG00000092473		B8A5M9
ENSDARG00000062060		F1QN94
ENSDARG00000056630		F1QUC4
ENSDARG00000071774		F1QVE4
ENSDARG00000098862		X1WCC7
ENSDARG00000016783		A8DZG2
ENSDARG00000095975		F8W279
ENSDARG00000045733	Q6AZB3	B2GNT9
ENSDARG00000093022		F1Q7W2
ENSDARG00000056180		F1RD30
ENSDARG00000093936		A0A0R4IC84
ENSDARG00000067950		B0V0Y9
ENSDARG00000056630		I3ISY7
ENSDARG00000062060		F6PF83
ENSDARG00000056630		F1QUC4
ENSDARG00000098862		A0A0N5E8A1
ENSDARG00000093022		F1Q7W2
ENSDARG00000062060		F1QN94
ENSDARG00000098862		A0A0N5E8A4
ENSDARG00000067950		F1RAB3
ENSDARG00000088492		F1QF42
ENSDARG00000067950		A0A0R4I9E3
ENSDARG00000042520		A2CEY8
ENSDARG00000016783		A0A0R4ISU1
ENSDARG00000045733		G8JL18
ENSDARG00000088492		A0A0N4SU38
ENSDARG00000099705		A0A0R4IGT2
ENSDARG00000015567		O93311
ENSDARG00000054251		Q66I89
ENSDARG00000057644		E7F6J8
ENSDARG00000073724		E7FDW7
ENSDARG00000031136	Q5TZ24	
ENSDARG00000105714		
ENSDARG00000042178		A0A140LGN7
ENSDARG00000105714		
ENSDARG00000004724		E9QI11
ENSDARG00000031136	Q5TZ24	
ENSDARG00000073724		R4GDQ6
ENSDARG00000042178		E7FER9
ENSDARG00000004078		F1R452
ENSDARG00000057644		F8W3Y8
ENSDARG00000077201		F1QRY5
ENSDARG00000074332		F1R7Z5
ENSDARG00000075170		X1WBB5
ENSDARG00000079391		F1Q839
ENSDARG00000013144		Q9DGL3
ENSDARG00000077201		F1Q6B3
ENSDARG00000053370		F1Q774
ENSDARG00000011334	Q6AXL4	
ENSDARG00000011334	Q6AXL4	
ENSDARG00000002728		F1R5R4
ENSDARG00000011334	Q6AXL4	
ENSDARG00000099705		A0A0R4IHD6
ENSDARG00000105782		
ENSDARG00000005626		E7F7Z2
ENSDARG00000044755		F1QJU4
ENSDARG00000011334	Q6AXL4	
ENSDARG00000044755		F1QJU4
ENSDARG00000041359		F1QIR2
ENSDARG00000002728		A8CAH3
ENSDARG00000004724		Q6P0U5
ENSDARG00000078492		E7FF22
ENSDARG00000099705		A0A0R4IHD6
ENSDARG00000074332		B8K0C7
ENSDARG00000005626		E7F7Z2
ENSDARG00000093997		B8A638
ENSDARG00000074332		F1Q618
ENSDARG00000005626		A0A0R4IH78
ENSDARG00000004724		E9QED3
ENSDARG00000040490		B0S6R2
ENSDARG00000078179		B0S5P9
ENSDARG00000016934		E9QEV5
ENSDARG00000026882		F1R231
ENSDARG00000041359		F1RBD5
ENSDARG00000071007	B3DK16	
ENSDARG00000044525		F1QJT0
ENSDARG00000078179		B0S5P9
ENSDARG00000103871		F1QNC0
ENSDARG00000054253		B8JKJ8
ENSDARG00000044525		F1QJT0
ENSDARG00000016934		E7F9S8
ENSDARG00000079119		F1RBQ2
ENSDARG00000004724		A0A0R4IJ42
ENSDARG00000018619		A0A0R4ID15
ENSDARG00000015628		Q6TGV5
ENSDARG00000026882		E9QIM7
ENSDARG00000054253		A0A0R4INM1
ENSDARG00000018619		E7FCM3
ENSDARG00000063158		
ENSDARG00000027618		F1RD62
ENSDARG00000063158		
ENSDARG00000045864		F1QPI5
ENSDARG00000063158		F1QF65
ENSDARG00000045864		F1Q5L7
ENSDARG00000103254		A0A0R4IV19
ENSDARG00000026882		E7EZT7
ENSDARG00000027618		F1QBX5
ENSDARG00000007856		F1QCS9
ENSDARG00000079994		A0A0R4IPD6
ENSDARG00000010207		Q66HX9
ENSDARG00000027618		A0A0R4IN35
ENSDARG00000100131		A0A0R4IY18
ENSDARG00000090696		A0A140LGG7
ENSDARG00000039392		F1R801
ENSDARG00000079994		A0A0R4IYL3
ENSDARG00000104451		A0A0J9YJ76
ENSDARG00000039392		F1Q7K1
ENSDARG00000063292		E9QJK4
ENSDARG00000090696		A0A140LGV4
ENSDARG00000055563		F1QKS5
ENSDARG00000100360		A0A0R4IKN6
ENSDARG00000100131		A0A0R4IM30
ENSDARG00000094133		F1QJU0
ENSDARG00000039392		F1QTF2
ENSDARG00000028131		F1QPK2
ENSDARG00000086494		X1WDP3
ENSDARG00000039392		F6P1L8
ENSDARG00000062830		E9QHN5
ENSDARG00000058064		E7FF16
ENSDARG00000028131		F1QPK2
ENSDARG00000002355		B0R184
ENSDARG00000086494		X1WDS9
ENSDARG00000039392		F1Q6T6
ENSDARG00000094133		B8A637
ENSDARG00000086494		E7F1I9
ENSDARG00000058064		E7FF16
ENSDARG00000070526		E7F5P9
ENSDARG00000041203		F1R8S0
ENSDARG00000002355		X1WH23
ENSDARG00000062830		A0A0R4IVI3
ENSDARG00000062830		F1QTN4
ENSDARG00000038159		F1QMG3
ENSDARG00000063292		F1QCJ3
ENSDARG00000090696		A0A140LGA0
ENSDARG00000063292		E9QH76
ENSDARG00000003854		F1QDA6
ENSDARG00000075307		B8JIR6
ENSDARG00000028894		E9QJ55
ENSDARG00000027828		Q08CV1
ENSDARG00000003854		F1QDA6
ENSDARG00000063292		A0A0R4IG68
ENSDARG00000031985		A2CF49
ENSDARG00000076121		F8W546
ENSDARG00000038159	Q9YHE8	
ENSDARG00000075307		F1Q6H2
ENSDARG00000028894		Q6PC03
ENSDARG00000104451		A3KPZ7
ENSDARG00000104953		A0A0R4IRD0
ENSDARG00000000551		Q7ZZ28
ENSDARG00000033450		Q6DRM1
ENSDARG00000105279		X1WEM7
ENSDARG00000104953		A0A0R4IR75
ENSDARG00000076512		X1WH28
ENSDARG00000031985		F1QG33
ENSDARG00000031985		E7FGV4
ENSDARG00000028894		E9QH33
ENSDARG00000078856		F1QZR1
ENSDARG00000033450		E7F275
ENSDARG00000000551		D7RVS1
ENSDARG00000039989		A0A0R4IMG9
ENSDARG00000011312	Q7ZUQ3	B2GP54
ENSDARG00000078759		B8A5D8
ENSDARG00000008697		F8W2W5
ENSDARG00000071052		E9QER1
ENSDARG00000078759		F1Q892
ENSDARG00000105279		A0A0N4STS5
ENSDARG00000008697		E7FAJ1
ENSDARG00000000551		Q6DGQ5
ENSDARG00000061527		E9QCN6
ENSDARG00000033450		F1R4A9
ENSDARG00000010516		Q6IQQ0
ENSDARG00000020054		Q1LVZ9
ENSDARG00000089646		E7F3H1
ENSDARG00000075225		B8A468
ENSDARG00000075225		F1QHU6
ENSDARG00000033450		E7F248
ENSDARG00000061527		E9QCN6
ENSDARG00000105450		A0A140LFP4
ENSDARG00000020054		F1Q5R8
ENSDARG00000009862		F1R776
ENSDARG00000074848	A5PLC9	
ENSDARG00000074848		A0A140LG58
ENSDARG00000062508		D2K289
ENSDARG00000061527		A0A140LG28
ENSDARG00000074848		A0A140LGP9
ENSDARG00000104897		A0A0R4IUL2
ENSDARG00000019406	Q6NWH0	
ENSDARG00000039989		F1QCJ2
ENSDARG00000018404	Q7ZTS4	
ENSDARG00000019195		A5WVP1
ENSDARG00000024032		B3DFV8
ENSDARG00000061527		F1QNZ5
ENSDARG00000019406	Q6NWH0	
ENSDARG00000020054		A0A0G2KW58
ENSDARG00000101071		A0A0R4IV55
ENSDARG00000019195		A5WVN9
ENSDARG00000020054		A0A0G2KU15
ENSDARG00000017741		Q6P124
ENSDARG00000040198		F1Q9M7
ENSDARG00000038615	Q32PR0	
ENSDARG00000015931		F6NL35
ENSDARG00000019406		G1K2K0
ENSDARG00000043746		X1WBE7
ENSDARG00000035665		E7F2B2
ENSDARG00000035665		A0A0R4I9L3
ENSDARG00000043746		X1WCH8
ENSDARG00000040198		
ENSDARG00000015931		H0WEA3
ENSDARG00000038615	Q32PR0	
ENSDARG00000035665		F1RES2
