allele,geneid
sa33842,ZDB-GENE-170330-1
sa36209,ZDB-GENE-060607-12
sa41496,ZDB-GENE-030918-5
sa41251,ZDB-GENE-030131-9765
sa42327,ZDB-GENE-140129-2
sa39371,ZDB-GENE-140106-168
sa30277,ZDB-GENE-130530-902
sa37583,ZDB-GENE-130530-929
sa8911,ZDB-GENE-120411-13
sa42877,ZDB-GENE-120207-1
sa34274,ZDB-GENE-141212-314
sa38966,ZDB-GENE-071218-5
sa24726,ZDB-GENE-091013-1
sa38369,ZDB-GENE-030131-212
sa33783,ZDB-GENE-130820-2
sa41319,ZDB-GENE-060328-4
sa39947,ZDB-GENE-060908-2
sa42983,ZDB-GENE-120411-23
sa9354,ZDB-GENE-091204-83
sa31566,ZDB-GENE-050809-79
sa24810,ZDB-GENE-040426-731
sa38867,ZDB-GENE-030131-7067
sa37181,ZDB-GENE-030131-5575
sa41007,ZDB-GENE-161017-76
sa8621,ZDB-GENE-140106-32
sa34759,ZDB-GENE-141006-1
sa44411,ZDB-GENE-140106-260
sa39752,ZDB-GENE-111221-1
sa40804,ZDB-GENE-120913-5
sa35521,ZDB-GENE-030131-2631
sa39073,ZDB-GENE-130530-760
sa9324,ZDB-GENE-080519-4
sa26324,ZDB-GENE-130530-992
sa32821,ZDB-GENE-050517-32
sa43730,ZDB-GENE-030131-6972
sa37993,ZDB-GENE-181119-4
sa44434,ZDB-GENE-131024-3
sa28363,ZDB-GENE-041111-111
sa41728,ZDB-GENE-030131-857
sa8982,ZDB-GENE-080613-3
sa42781,ZDB-GENE-060607-12
sa39300,ZDB-GENE-030131-1583
sa8750,ZDB-GENE-070912-612
sa38150,ZDB-GENE-121109-2
sa40840,ZDB-GENE-130103-4
sa34037,ZDB-GENE-120907-1
sa34092,ZDB-GENE-121101-3
sa39487,ZDB-GENE-130530-902
sa19070,ZDB-GENE-130530-751
sa8721,ZDB-GENE-130530-902
sa9396,ZDB-GENE-041114-147
sa38209,ZDB-GENE-140106-111
sa39312,ZDB-GENE-030131-6997
sa36259,ZDB-GENE-030131-7105
sa42816,ZDB-GENE-130530-884
sa38975,ZDB-GENE-130530-926
sa29947,ZDB-GENE-060223-2
sa40847,ZDB-GENE-160114-58
sa32736,ZDB-GENE-140106-237
sa39089,ZDB-GENE-070103-5
sa38773,ZDB-GENE-130530-725
sa31558,ZDB-GENE-160728-89
sa19154,ZDB-GENE-050419-118
sa8500,ZDB-GENE-070912-325
sa9166,ZDB-GENE-070912-325
sa38713,ZDB-GENE-010126-1
sa35589,ZDB-GENE-120727-18
sa31112,ZDB-GENE-090406-1
sa39192,ZDB-GENE-060503-632
sa39069,ZDB-GENE-100217-1
sa44393,ZDB-GENE-170623-1
sa42246,ZDB-GENE-161230-19
sa38769,ZDB-GENE-091117-38
sa8841,ZDB-GENE-120727-24
sa38829,ZDB-GENE-130530-707
sa9326,ZDB-GENE-151029-1
sa8448,ZDB-GENE-041210-193
sa37800,ZDB-GENE-121116-6
sa38868,ZDB-GENE-030131-7067
sa8581,ZDB-GENE-041210-193
sa38511,ZDB-GENE-140106-108
sa42693,ZDB-GENE-070103-5
sa44394,ZDB-GENE-180312-1
sa41578,ZDB-GENE-140106-238
sa38438,ZDB-GENE-130530-920
sa38865,ZDB-GENE-121031-2
sa30811,ZDB-GENE-111221-1
sa24822,ZDB-GENE-170217-1
sa33240,ZDB-GENE-050517-19
sa8714,ZDB-GENE-090313-44
sa39307,ZDB-GENE-041014-276
sa44326,ZDB-GENE-090406-1
sa34539,ZDB-GENE-140106-160
sa40933,ZDB-GENE-160728-8
sa42729,ZDB-GENE-090730-1
sa40956,ZDB-GENE-080116-3
sa31611,ZDB-GENE-150109-14
sa41752,ZDB-GENE-030131-1633
sa30849,ZDB-GENE-050513-5
sa35600,ZDB-GENE-100721-1
sa43311,ZDB-GENE-060503-555
sa35802,ZDB-GENE-030131-5181
sa39391,ZDB-GENE-100922-114
sa38617,ZDB-GENE-070426-4
sa18746,ZDB-GENE-131121-450
sa43573,ZDB-GENE-030131-6392
sa38355,ZDB-GENE-070912-216
sa24727,ZDB-GENE-091013-1
sa38681,ZDB-GENE-081105-172
sa40344,ZDB-GENE-161017-23
sa33318,ZDB-GENE-060503-811
sa41063,ZDB-GENE-130530-663
sa38950,ZDB-GENE-030131-2631
sa32223,ZDB-GENE-021115-5
sa24025,ZDB-GENE-170601-167
sa39937,ZDB-GENE-081104-411
sa38815,ZDB-GENE-080708-3
sa30818,ZDB-GENE-070912-689
sa40901,ZDB-GENE-031112-8
sa8451,ZDB-GENE-070615-3
sa37946,ZDB-GENE-161227-1
sa36957,ZDB-GENE-051120-33
sa33506,ZDB-GENE-161017-114
sa23831,ZDB-GENE-040426-2263
sa39824,ZDB-GENE-070912-689
sa39501,ZDB-GENE-140106-181
sa39765,ZDB-GENE-121022-1
sa39308,ZDB-GENE-130530-604
sa38524,ZDB-GENE-070705-558
sa19267,ZDB-GENE-091204-83
sa8449,ZDB-GENE-071218-5
sa37182,ZDB-GENE-030131-5575
sa42325,ZDB-GENE-031125-1
sa40104,ZDB-GENE-140106-145
sa8917,ZDB-GENE-041010-118
sa43179,ZDB-GENE-021115-5
sa38661,ZDB-GENE-030131-8004
sa44202,ZDB-GENE-060908-3
sa39383,ZDB-GENE-081031-91
sa30930,ZDB-GENE-111128-1
sa42990,ZDB-GENE-130530-832
sa44439,ZDB-GENE-140106-1
sa42094,ZDB-GENE-100914-6
sa37197,ZDB-GENE-121005-3
sa33993,ZDB-GENE-160728-148
sa44144,ZDB-GENE-050517-26
sa35520,ZDB-GENE-030131-2631
sa35001,ZDB-GENE-030131-1633
sa41060,ZDB-GENE-161213-1
sa34046,ZDB-GENE-050809-79
sa42135,ZDB-GENE-030131-9789
sa39515,ZDB-GENE-140106-112
sa27122,ZDB-GENE-140106-246
sa38149,ZDB-GENE-060508-1
sa19088,ZDB-GENE-101021-4
sa40574,ZDB-GENE-140106-108
sa20912,ZDB-GENE-050809-79
sa38207,ZDB-GENE-061215-142
sa44415,ZDB-GENE-170622-1
sa32110,ZDB-GENE-170530-5
sa33056,ZDB-GENE-130530-810
sa21660,ZDB-GENE-121129-1
sa39204,ZDB-GENE-050419-18
sa41670,ZDB-GENE-050208-41
sa19386,ZDB-GENE-140106-103
sa31077,ZDB-GENE-100922-114
sa42966,ZDB-GENE-170829-1
sa42312,ZDB-GENE-140106-192
sa39517,ZDB-GENE-030131-940
sa21606,ZDB-GENE-111118-1
sa20591,ZDB-GENE-041010-44
sa37157,ZDB-GENE-140811-1
sa9239,ZDB-GENE-000607-49
sa40627,ZDB-GENE-130530-544
sa28787,ZDB-GENE-130530-932
sa30889,ZDB-GENE-160728-8
sa39855,ZDB-GENE-060607-5
sa39525,ZDB-GENE-040426-731
sa36540,ZDB-GENE-100806-2
sa42480,ZDB-GENE-030131-5181
sa38718,ZDB-GENE-130530-715
sa41062,ZDB-GENE-130530-663
sa40949,ZDB-GENE-120419-2
sa44145,ZDB-GENE-050517-26
sa43172,ZDB-GENE-121101-2
sa38320,ZDB-GENE-130530-808
sa44188,ZDB-GENE-130530-737
sa43550,ZDB-GENE-030131-5575
sa43725,ZDB-GENE-030131-960
sa36533,ZDB-GENE-070705-202
sa8900,ZDB-GENE-071218-5
sa35370,ZDB-GENE-100914-6
sa8892,ZDB-GENE-030131-2905
sa41572,ZDB-GENE-111128-1
sa35176,ZDB-GENE-121031-2
sa27540,ZDB-GENE-140106-238
sa9051,ZDB-GENE-100922-114
sa44231,ZDB-GENE-050411-72
sa38746,ZDB-GENE-070912-324
sa38356,ZDB-GENE-140106-265
