ftr1,ftr2,file,xpatexgene,stagestart,superterm,orientation,figlegend
y376Et,s1999Tg,y376s1999Day4-4.jpg,Kaede,Day4,integument,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-4.jpg,Kaede,Day4,fin,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-4.jpg,Kaede,Day4,yolk,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-4.jpg,Kaede,Day4,otic vesicle ,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-5.jpg,Kaede,Day4,integument,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-5.jpg,Kaede,Day4,fin,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-5.jpg,Kaede,Day4,yolk,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y376Et,s1999Tg,y376s1999Day4-5.jpg,Kaede,Day4,otic vesicle ,lateral,"View of larva transgenic for y376Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in integument, fin, yolk and otic vesicle (sensory patches)."
y418Et,s1999Tg,y418s1999Day4-1.jpg,Kaede,Day4,spinal cord ,dorsal,"View of larva transgenic for y418Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in spinal cord (radial glia)."
y418Et,s1999Tg,y418s1999Day4-2.jpg,Kaede,Day4,spinal cord ,dorsal,"View of larva transgenic for y418Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in spinal cord (radial glia)."
y418Et,s1999Tg,y418s1999Day4-3.jpg,Kaede,Day4,spinal cord ,lateral,"View of larva transgenic for y418Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in spinal cord (radial glia)."
y418Et,s1999Tg,y418s1999Day4-4.jpg,Kaede,Day4,spinal cord ,lateral,"View of larva transgenic for y418Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in spinal cord (radial glia)."
y418Et,s1999Tg,y418s1999Day4-5.jpg,Kaede,Day4,spinal cord ,lateral,"View of larva transgenic for y418Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in spinal cord (radial glia)."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,lens,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,medulla oblongata ,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,semicircular canal,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,central canal,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,branchial arches,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,retina,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-1.jpg,Kaede,Day4,spinal cord,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,lens,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,medulla oblongata ,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,semicircular canal,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,central canal,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,branchial arches,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,retina,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-2.jpg,Kaede,Day4,spinal cord,dorsal,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,lens,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,medulla oblongata ,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,semicircular canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,central canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,branchial arches,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,retina,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-3.jpg,Kaede,Day4,spinal cord,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,lens,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,medulla oblongata ,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,semicircular canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,central canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,branchial arches,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,retina,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-4.jpg,Kaede,Day4,spinal cord,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,lens,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,medulla oblongata ,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,semicircular canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,central canal,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,branchial arches,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,retina,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y426Et,s1999Tg,y426s1999Day4-5.jpg,Kaede,Day4,spinal cord,lateral,"View of larva transgenic for y426Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in lens, medulla oblongata (dorsal), semicircular canal, central canal, branchial arches, retina and spinal cord."
y427Et,s1999Tg,y427s1999Day4-1.jpg,Kaede,Day4,neuromasts ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-1.jpg,Kaede,Day4,slow muscle ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-1.jpg,Kaede,Day4,blood ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-2.jpg,Kaede,Day4,neuromasts ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-2.jpg,Kaede,Day4,slow muscle ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-2.jpg,Kaede,Day4,blood ,dorsal,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-3.jpg,Kaede,Day4,neuromasts ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-3.jpg,Kaede,Day4,slow muscle ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-3.jpg,Kaede,Day4,blood ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-4.jpg,Kaede,Day4,neuromasts ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-4.jpg,Kaede,Day4,slow muscle ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-4.jpg,Kaede,Day4,blood ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-5.jpg,Kaede,Day4,neuromasts ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-5.jpg,Kaede,Day4,slow muscle ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y427Et,s1999Tg,y427s1999Day4-5.jpg,Kaede,Day4,blood ,lateral,"View of larva transgenic for y427Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in neuromasts (head), slow muscle (strong) and blood (weak)."
y428Et,s1999Tg,y428s1999Day4-1.jpg,Kaede,Day4,axial vasculature ,dorsal,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-1.jpg,Kaede,Day4,cranial vasculature,dorsal,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-1.jpg,Kaede,Day4,notochord,dorsal,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-2.jpg,Kaede,Day4,axial vasculature ,dorsal,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-2.jpg,Kaede,Day4,cranial vasculature,dorsal,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-2.jpg,Kaede,Day4,notochord,dorsal,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-3.jpg,Kaede,Day4,axial vasculature ,lateral,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-3.jpg,Kaede,Day4,cranial vasculature,lateral,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-3.jpg,Kaede,Day4,notochord,lateral,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-4.jpg,Kaede,Day4,axial vasculature ,lateral,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-4.jpg,Kaede,Day4,cranial vasculature,lateral,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-4.jpg,Kaede,Day4,notochord,lateral,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-5.jpg,Kaede,Day4,axial vasculature ,lateral,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-5.jpg,Kaede,Day4,cranial vasculature,lateral,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y428Et,s1999Tg,y428s1999Day4-5.jpg,Kaede,Day4,notochord,lateral,"View of larva transgenic for y428Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in axial vasculature (intersegmental vessels), cranial vasculature and notochord."
y429Et,s1999Tg,y429s1999Day4-1.jpg,Kaede,Day4,floorplate,dorsal,"View of larva transgenic for y429Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in floorplate, trigeminal ganglion, fast muscle (weak), notochord, weak heart, punctate cells from jaw to yolk extension, blood (weak), retina and spinal cord."
y429Et,s1999Tg,y429s1999Day4-1.jpg,Kaede,Day4,trigeminal ganglion,dorsal,"View of larva transgenic for y429Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in floorplate, trigeminal ganglion, fast muscle (weak), notochord, weak heart, punctate cells from jaw to yolk extension, blood (weak), retina and spinal cord."
y429Et,s1999Tg,y429s1999Day4-1.jpg,Kaede,Day4,fast muscle ,dorsal,"View of larva transgenic for y429Et and Tg(UAS:Kaede)s1999t, which expresses Kaede in floorplate, trigeminal ganglion, fast muscle (weak), notochord, weak heart, punctate cells from jaw to yolk extension, blood (weak), retina and spinal cord."
