allele,geneid
sa45157,ZDB-GENE-100812-4
sa45158,ZDB-GENE-030131-968
sa45159,ZDB-GENE-000403-2
sa45160,ZDB-GENE-040426-2418
sa45161,ZDB-GENE-100812-12
sa45162,ZDB-GENE-050720-4
sa45163,ZDB-GENE-030131-2656
sa45164,ZDB-GENE-980526-87
sa45165,ZDB-GENE-041210-74
sa45166,ZDB-GENE-040718-139
sa45167,ZDB-GENE-041008-175
sa45168,ZDB-GENE-110913-46
sa45169,ZDB-GENE-020213-1
sa45171,ZDB-GENE-041210-118
sa45172,ZDB-GENE-030131-2893
sa45173,ZDB-GENE-041008-9
sa45174,ZDB-GENE-041210-215
sa45175,ZDB-GENE-030131-4120
sa45176,ZDB-GENE-170406-2
sa45177,ZDB-GENE-041210-192
sa45178,ZDB-GENE-041210-200
sa45179,ZDB-GENE-041210-295
sa45180,ZDB-GENE-110913-14
sa45181,ZDB-GENE-080829-3
sa45184,ZDB-GENE-070410-42
sa45185,ZDB-GENE-080721-15
sa45186,ZDB-GENE-130530-849
sa45187,ZDB-GENE-060526-47
sa45188,ZDB-GENE-990415-206
sa45189,ZDB-GENE-070705-181
sa45190,ZDB-GENE-021022-3
sa45191,ZDB-GENE-021022-3
sa45192,ZDB-GENE-070705-263
sa45193,ZDB-GENE-060526-232
sa45194,ZDB-GENE-060526-379
sa45195,ZDB-GENE-040724-201
sa45196,ZDB-GENE-040718-398
sa45197,ZDB-GENE-060531-26
sa45198,ZDB-GENE-060526-194
sa45199,ZDB-GENE-060526-35
sa45200,ZDB-GENE-060526-4
sa45201,ZDB-GENE-050517-1
sa45202,ZDB-GENE-030131-4648
sa45203,ZDB-GENE-060531-162
sa45204,ZDB-GENE-060929-224
sa45205,ZDB-GENE-030829-36
sa45207,ZDB-GENE-050417-334
sa45208,ZDB-GENE-060531-44
sa45209,ZDB-GENE-070705-355
sa45210,ZDB-GENE-040303-1
sa45211,ZDB-GENE-080819-1
sa45212,ZDB-GENE-030131-9447
sa45213,ZDB-GENE-060526-343
sa45214,ZDB-GENE-050320-104
sa45215,ZDB-GENE-070705-190
sa45217,ZDB-GENE-060526-68
sa45218,ZDB-GENE-070705-337
sa45219,ZDB-GENE-990714-11
sa45220,ZDB-GENE-060929-432
sa45221,ZDB-GENE-060526-297
sa45222,ZDB-GENE-050327-58
sa45223,ZDB-GENE-060526-177
sa45224,ZDB-GENE-060526-215
sa45226,ZDB-GENE-060526-233
sa45227,ZDB-GENE-980526-115
sa45228,ZDB-GENE-990708-7
sa45229,ZDB-GENE-100727-3
sa45230,ZDB-GENE-060531-86
sa45231,ZDB-GENE-030131-2535
sa45232,ZDB-GENE-050809-23
sa45233,ZDB-GENE-070705-301
sa45235,ZDB-GENE-070705-156
sa45236,ZDB-GENE-050208-92
sa45237,ZDB-GENE-080917-11
sa45238,ZDB-GENE-081104-137
sa45240,ZDB-GENE-110609-4
sa45241,ZDB-GENE-130530-544
sa45242,ZDB-GENE-050309-106
sa45243,ZDB-GENE-030616-510
sa45244,ZDB-GENE-080425-1
sa45245,ZDB-GENE-030131-4869
sa45246,ZDB-GENE-061027-102
sa45247,ZDB-GENE-100211-1
sa45248,ZDB-GENE-041111-218
sa45249,ZDB-GENE-040704-60
sa45250,ZDB-GENE-040831-3
sa45251,ZDB-GENE-030131-3230
sa45252,ZDB-GENE-090812-4
sa45253,ZDB-GENE-040426-1696
sa45254,ZDB-GENE-041111-244
sa45255,ZDB-GENE-040426-1245
sa45256,ZDB-GENE-120423-1
sa45257,ZDB-GENE-990415-55
sa45258,ZDB-GENE-131127-240
sa45259,ZDB-GENE-030131-8557
sa45260,ZDB-GENE-000607-83
sa45261,ZDB-GENE-030131-2427
sa45262,ZDB-GENE-131127-436
sa45263,ZDB-GENE-040724-117
sa45264,ZDB-GENE-050208-185
sa45265,ZDB-GENE-040426-808
sa45266,ZDB-GENE-131125-40
sa45267,ZDB-GENE-110107-1
sa45268,ZDB-GENE-120215-84
sa45269,ZDB-GENE-130530-903
sa45271,ZDB-GENE-080225-33
sa45272,ZDB-GENE-030131-2614
sa45273,ZDB-GENE-060503-196
sa45274,ZDB-GENE-130530-593
sa45275,ZDB-GENE-030219-43
sa45276,ZDB-GENE-050306-58
sa45277,ZDB-GENE-081120-6
sa45280,ZDB-GENE-040724-263
sa45281,ZDB-GENE-040917-2
sa45282,ZDB-GENE-030328-29
sa45283,ZDB-GENE-050417-218
sa45284,ZDB-GENE-030131-4824
sa45285,ZDB-GENE-030131-9123
sa45286,ZDB-GENE-050517-25
sa45287,ZDB-GENE-090615-2
sa45288,ZDB-GENE-030131-9008
sa45289,ZDB-GENE-030131-9008
sa45290,ZDB-GENE-030131-7797
sa45291,ZDB-GENE-030131-3497
sa45292,ZDB-GENE-040426-1233
sa45293,ZDB-GENE-100319-1
sa45295,ZDB-GENE-061214-5
sa45296,ZDB-GENE-130530-542
sa45297,ZDB-GENE-060616-298
sa45298,ZDB-GENE-040516-11
sa45299,ZDB-GENE-040801-79
sa45300,ZDB-GENE-030911-10
sa45301,ZDB-GENE-040426-1182
sa45302,ZDB-GENE-040426-1144
sa45304,ZDB-GENE-101102-9
sa45305,ZDB-GENE-080808-7
sa45307,ZDB-GENE-081104-236
sa45308,ZDB-GENE-050417-294
sa45309,ZDB-GENE-130530-565
sa45310,ZDB-GENE-030616-61
sa45311,ZDB-GENE-081105-127
sa45312,ZDB-GENE-070725-4
sa45313,ZDB-GENE-081104-526
sa45314,ZDB-GENE-081105-162
sa45316,ZDB-GENE-990415-246
sa45317,ZDB-GENE-081104-165
sa45318,ZDB-GENE-081105-16
sa45319,ZDB-GENE-070605-1
sa45320,ZDB-GENE-050314-4
sa45321,ZDB-GENE-041111-25
sa45322,ZDB-GENE-081022-200
sa45323,ZDB-GENE-010202-2
sa45324,ZDB-GENE-990715-8
sa45325,ZDB-GENE-030424-1
sa45326,ZDB-GENE-040913-1
sa45327,ZDB-GENE-070410-126
sa45328,ZDB-GENE-120727-20
sa45329,ZDB-GENE-040723-3
sa45330,ZDB-GENE-080414-2
sa45331,ZDB-GENE-040801-188
sa45332,ZDB-GENE-091204-448
sa45333,ZDB-GENE-030813-2
sa45334,ZDB-GENE-030131-8546
sa45335,ZDB-GENE-030131-5484
sa45336,ZDB-GENE-081104-375
sa45337,ZDB-GENE-081105-173
sa45338,ZDB-GENE-060809-5
sa45339,ZDB-GENE-061103-505
sa45340,ZDB-GENE-030131-306
sa45344,ZDB-GENE-100922-16
sa45345,ZDB-GENE-081104-83
sa45346,ZDB-GENE-081105-114
sa45347,ZDB-GENE-050309-80
sa45348,ZDB-GENE-070912-147
sa45350,ZDB-GENE-070912-290
sa45351,ZDB-GENE-060810-10
sa45353,ZDB-GENE-030219-193
sa45354,ZDB-GENE-030219-74
sa45355,ZDB-GENE-030219-74
sa45356,ZDB-GENE-081105-126
sa45357,ZDB-GENE-070501-8
sa45359,ZDB-GENE-071015-1
sa45360,ZDB-GENE-070912-347
sa45362,ZDB-GENE-070912-149
sa45363,ZDB-GENE-031001-10
sa45364,ZDB-GENE-070912-268
sa45365,ZDB-GENE-081104-470
sa45366,ZDB-GENE-080512-3
sa45367,ZDB-GENE-080512-3
sa45368,ZDB-GENE-081104-473
sa45369,ZDB-GENE-030918-5
sa45370,ZDB-GENE-030616-413
sa45371,ZDB-GENE-030616-413
sa45372,ZDB-GENE-030616-413
sa45373,ZDB-GENE-030113-2
sa45374,ZDB-GENE-030113-2
sa45375,ZDB-GENE-030113-2
sa45376,ZDB-GENE-030113-2
sa45377,ZDB-GENE-060929-452
sa45378,ZDB-GENE-070410-38
sa45379,ZDB-GENE-030131-6933
sa45380,ZDB-GENE-050517-13
sa45381,ZDB-GENE-120313-6
sa45382,ZDB-GENE-030131-5427
sa45383,ZDB-GENE-081104-106
sa45385,ZDB-GENE-091113-51
sa45386,ZDB-GENE-091116-62
sa45387,ZDB-GENE-030131-4968
sa45388,ZDB-GENE-030131-4968
sa45389,ZDB-GENE-050302-113
sa45390,ZDB-GENE-091113-4
sa45393,ZDB-GENE-090313-384
sa45394,ZDB-GENE-080104-6
sa45395,ZDB-GENE-080213-6
sa45397,ZDB-GENE-030131-5942
sa45398,ZDB-GENE-030131-5942
sa45399,ZDB-GENE-061013-288
sa45400,ZDB-GENE-030131-6129
sa45401,ZDB-GENE-070818-1
sa45402,ZDB-GENE-070818-1
sa45405,ZDB-GENE-050411-41
sa45406,ZDB-GENE-130530-927
sa45407,ZDB-GENE-040426-1288
sa45408,ZDB-GENE-091204-238
sa45410,ZDB-GENE-070627-13
sa45411,ZDB-GENE-040426-761
sa45412,ZDB-GENE-990415-92
sa45413,ZDB-GENE-040426-2045
sa45414,ZDB-GENE-020108-2
sa45415,ZDB-GENE-080402-1
sa45416,ZDB-GENE-040219-12
sa45417,ZDB-GENE-170110-1
sa45418,ZDB-GENE-080204-117
sa45419,ZDB-GENE-031118-126
sa45420,ZDB-GENE-081205-5
sa45422,ZDB-GENE-050517-24
sa45424,ZDB-GENE-030131-5110
sa45425,ZDB-GENE-070424-6
sa45426,ZDB-GENE-091204-162
sa45428,ZDB-GENE-040718-216
sa45429,ZDB-GENE-070912-270
sa45430,ZDB-GENE-061215-112
sa45432,ZDB-GENE-140106-102
sa45433,ZDB-GENE-130422-1
sa45434,ZDB-GENE-130409-1
sa45435,ZDB-GENE-040426-1140
sa45436,ZDB-GENE-060519-13
sa45437,ZDB-GENE-061103-607
sa45438,ZDB-GENE-040426-1112
sa45440,ZDB-GENE-040912-175
sa45441,ZDB-GENE-090109-2
sa45442,ZDB-GENE-121214-1
sa45443,ZDB-GENE-030131-4400
sa45445,ZDB-GENE-030131-7067
sa45446,ZDB-GENE-040718-87
sa45447,ZDB-GENE-060217-1
sa45448,ZDB-GENE-030131-1901
sa45449,ZDB-GENE-050214-1
sa45450,ZDB-GENE-081022-119
sa45451,ZDB-GENE-121214-272
sa45452,ZDB-GENE-040426-2511
sa45453,ZDB-GENE-080215-1
sa45454,ZDB-GENE-121214-84
sa45455,ZDB-GENE-041229-2
sa45457,ZDB-GENE-080215-7
sa45458,ZDB-GENE-030131-13
sa45459,ZDB-GENE-060818-29
sa45460,ZDB-GENE-061013-408
sa45461,ZDB-GENE-980526-291
sa45463,ZDB-GENE-990415-71
sa45464,ZDB-GENE-130531-15
sa45465,ZDB-GENE-060616-224
sa45466,ZDB-GENE-100623-1
sa45467,ZDB-GENE-060810-138
sa45468,ZDB-GENE-030131-4797
sa45469,ZDB-GENE-030131-4797
sa45470,ZDB-GENE-041010-79
sa45471,ZDB-GENE-041212-83
sa45472,ZDB-GENE-100716-2
sa45474,ZDB-GENE-130603-23
sa45475,ZDB-GENE-100812-6
sa45476,ZDB-GENE-131016-1
sa45478,ZDB-GENE-050417-109
sa45479,ZDB-GENE-081107-4
sa45480,ZDB-GENE-990415-47
sa45481,ZDB-GENE-090902-1
sa45482,ZDB-GENE-060503-381
sa45483,ZDB-GENE-030131-3149
sa45484,ZDB-GENE-080424-3
sa45485,ZDB-GENE-090313-170
sa45486,ZDB-GENE-030616-569
sa45488,ZDB-GENE-090312-170
sa45489,ZDB-GENE-040912-52
sa45490,ZDB-GENE-050102-3
sa45492,ZDB-GENE-080723-45
sa45493,ZDB-GENE-030131-9795
sa45494,ZDB-GENE-040426-2857
sa45495,ZDB-GENE-081113-5
sa45496,ZDB-GENE-070725-1
sa45497,ZDB-GENE-090312-118
sa45498,ZDB-GENE-090312-173
sa45499,ZDB-GENE-090312-28
sa45500,ZDB-GENE-040513-7
sa45501,ZDB-GENE-050302-58
sa45502,ZDB-GENE-050419-261
sa45503,ZDB-GENE-040426-1892
sa45506,ZDB-GENE-021010-4
sa45508,ZDB-GENE-030828-12
sa45510,ZDB-GENE-141215-7
sa45511,ZDB-GENE-030131-6705
sa45512,ZDB-GENE-030131-5286
sa45513,ZDB-GENE-000427-3
sa45515,ZDB-GENE-140106-157
sa45516,ZDB-GENE-100514-3
sa45517,ZDB-GENE-061117-1
sa45518,ZDB-GENE-121129-3
sa45519,ZDB-GENE-130828-1
sa45520,ZDB-GENE-000705-1
sa45521,ZDB-GENE-070127-4
sa45522,ZDB-GENE-041212-75
sa45523,ZDB-GENE-040718-368
sa45524,ZDB-GENE-080303-31
sa45525,ZDB-GENE-030131-7293
sa45526,ZDB-GENE-130530-773
sa45528,ZDB-GENE-051120-21
sa45529,ZDB-GENE-030131-1904
sa45530,ZDB-GENE-060503-934
sa45532,ZDB-GENE-050706-128
sa45533,ZDB-GENE-040801-265
sa45534,ZDB-GENE-040426-2038
sa45535,ZDB-GENE-131118-9
sa45536,ZDB-GENE-050208-22
sa45537,ZDB-GENE-130530-807
sa45539,ZDB-GENE-040426-1315
sa45540,ZDB-GENE-040713-2
sa45541,ZDB-GENE-021008-1
sa45542,ZDB-GENE-030131-3810
sa45543,ZDB-GENE-050706-71
sa45544,ZDB-GENE-070806-77
sa45545,ZDB-GENE-060510-3
sa45546,ZDB-GENE-060510-3
sa45547,ZDB-GENE-030131-5697
sa45548,ZDB-GENE-030131-5697
sa45549,ZDB-GENE-010501-5
sa45550,ZDB-GENE-051102-1
sa45551,ZDB-GENE-131125-97
sa45552,ZDB-GENE-131127-632
sa45553,ZDB-GENE-070112-732
sa45557,ZDB-GENE-040426-1825
sa45558,ZDB-GENE-040707-1
sa45560,ZDB-GENE-100922-181
sa45561,ZDB-GENE-060126-7
sa45563,ZDB-GENE-110411-123
sa45564,ZDB-GENE-081022-204
sa45565,ZDB-GENE-100922-51
sa45567,ZDB-GENE-100922-54
sa45568,ZDB-GENE-030131-9889
sa45569,ZDB-GENE-040704-13
sa45570,ZDB-GENE-030131-2140
sa45571,ZDB-GENE-100921-1
sa45572,ZDB-GENE-061013-224
sa45573,ZDB-GENE-100922-124
sa45574,ZDB-GENE-040718-153
sa45575,ZDB-GENE-061218-4
sa45577,ZDB-GENE-030130-1
sa45578,ZDB-GENE-091020-7
sa45580,ZDB-GENE-060503-473
sa45581,ZDB-GENE-030131-1232
sa45582,ZDB-GENE-121116-1
sa45583,ZDB-GENE-100609-3
sa45584,ZDB-GENE-030131-3827
sa45585,ZDB-GENE-030131-7003
sa45586,ZDB-GENE-070112-542
sa45587,ZDB-GENE-030131-3224
sa45588,ZDB-GENE-030131-7050
sa45589,ZDB-GENE-000322-1
sa45591,ZDB-GENE-131121-474
sa45592,ZDB-GENE-090821-3
sa45593,ZDB-GENE-071218-4
sa45594,ZDB-GENE-081028-31
sa45595,ZDB-GENE-120207-1
sa45596,ZDB-GENE-050809-105
sa45597,ZDB-GENE-020506-1
sa45598,ZDB-GENE-040822-3
sa45599,ZDB-GENE-060512-39
sa45600,ZDB-GENE-031001-1
sa45601,ZDB-GENE-100609-5
sa45602,ZDB-GENE-100609-5
sa45603,ZDB-GENE-091202-7
sa45604,ZDB-GENE-091202-7
sa45606,ZDB-GENE-100405-5
sa45607,ZDB-GENE-090428-1
sa45608,ZDB-GENE-131010-1
sa45609,ZDB-GENE-030131-5648
sa45610,ZDB-GENE-040426-1802
sa45611,ZDB-GENE-050913-39
sa45612,ZDB-GENE-030616-115
sa45613,ZDB-GENE-131121-397
sa45614,ZDB-GENE-050314-3
sa45615,ZDB-GENE-070424-43
sa45616,ZDB-GENE-050506-71
sa45617,ZDB-GENE-100419-3
sa45618,ZDB-GENE-080521-2
sa45619,ZDB-GENE-030408-4
sa45620,ZDB-GENE-060825-297
sa45621,ZDB-GENE-040227-1
sa45622,ZDB-GENE-060929-1010
sa45623,ZDB-GENE-040426-1189
sa45625,ZDB-GENE-050309-237
sa45626,ZDB-GENE-050309-237
sa45628,ZDB-GENE-040426-1867
sa45629,ZDB-GENE-030131-7464
sa45630,ZDB-GENE-060503-85
sa45631,ZDB-GENE-030131-8100
sa45633,ZDB-GENE-030131-8325
sa45634,ZDB-GENE-061013-99
sa45635,ZDB-GENE-040718-226
sa45636,ZDB-GENE-040426-2901
sa45637,ZDB-GENE-040624-5
sa45639,ZDB-GENE-090311-28
sa45640,ZDB-GENE-090311-28
sa45641,ZDB-GENE-030131-3539
sa45643,ZDB-GENE-070705-417
sa45644,ZDB-GENE-050419-110
sa45645,ZDB-GENE-060503-675
sa45646,ZDB-GENE-050420-109
sa45647,ZDB-GENE-050417-171
sa45648,ZDB-GENE-050417-440
sa45651,ZDB-GENE-050419-255
sa45654,ZDB-GENE-060503-700
sa45655,ZDB-GENE-020430-1
sa45656,ZDB-GENE-030131-2438
sa45657,ZDB-GENE-060503-777
sa45659,ZDB-GENE-060503-892
sa45660,ZDB-GENE-030131-298
sa45661,ZDB-GENE-060503-145
sa45662,ZDB-GENE-041008-124
sa45663,ZDB-GENE-040426-1682
sa45664,ZDB-GENE-081029-2
sa45665,ZDB-GENE-060503-776
sa45666,ZDB-GENE-011109-2
sa45667,ZDB-GENE-060503-179
sa45668,ZDB-GENE-000308-1
sa45671,ZDB-GENE-111212-11
sa45672,ZDB-GENE-060503-363
sa45673,ZDB-GENE-030131-7626
sa45674,ZDB-GENE-060503-764
sa45676,ZDB-GENE-060503-916
sa45677,ZDB-GENE-070705-539
sa45678,ZDB-GENE-050522-48
sa45680,ZDB-GENE-030131-4486
sa45681,ZDB-GENE-030616-39
sa45682,ZDB-GENE-060503-526
sa45684,ZDB-GENE-040426-1407
sa45685,ZDB-GENE-041001-202
sa45686,ZDB-GENE-040724-244
sa45687,ZDB-GENE-021231-1
sa45688,ZDB-GENE-140106-34
sa45689,ZDB-GENE-060528-1
sa45690,ZDB-GENE-040724-143
sa45691,ZDB-GENE-070705-267
sa45693,ZDB-GENE-011128-3
sa45694,ZDB-GENE-041014-149
sa45695,ZDB-GENE-030131-4212
sa45696,ZDB-GENE-041001-138
sa45697,ZDB-GENE-040120-2
sa45698,ZDB-GENE-040120-1
sa45699,ZDB-GENE-041001-122
sa45700,ZDB-GENE-041001-126
sa45701,ZDB-GENE-031002-10
sa45702,ZDB-GENE-030131-9909
sa45703,ZDB-GENE-030131-8832
sa45704,ZDB-GENE-030131-5060
sa45705,ZDB-GENE-040625-126
sa45706,ZDB-GENE-041210-332
sa45707,ZDB-GENE-041014-367
sa45708,ZDB-GENE-041001-215
sa45709,ZDB-GENE-030131-6410
sa45710,ZDB-GENE-041001-189
sa45711,ZDB-GENE-041001-184
sa45712,ZDB-GENE-030804-11
sa45713,ZDB-GENE-041001-173
sa45714,ZDB-GENE-041014-345
sa45715,ZDB-GENE-061106-5
sa45716,ZDB-GENE-040822-21
sa45717,ZDB-GENE-070424-256
sa45718,ZDB-GENE-070705-4
sa45719,ZDB-GENE-040426-1747
sa45720,ZDB-GENE-980526-476
sa45721,ZDB-GENE-040426-1700
sa45722,ZDB-GENE-030616-420
sa45723,ZDB-GENE-111014-1
sa45724,ZDB-GENE-091204-348
sa45725,ZDB-GENE-041024-3
sa45726,ZDB-GENE-041105-6
sa45727,ZDB-GENE-050706-152
sa45728,ZDB-GENE-091204-164
sa45729,ZDB-GENE-091204-164
sa45730,ZDB-GENE-061013-363
sa45731,ZDB-GENE-051113-60
sa45732,ZDB-GENE-030131-6141
sa45734,ZDB-GENE-040718-436
sa45735,ZDB-GENE-091204-283
sa45736,ZDB-GENE-070112-202
sa45737,ZDB-GENE-040426-896
sa45738,ZDB-GENE-040622-3
sa45739,ZDB-GENE-091112-9
sa45740,ZDB-GENE-070206-5
sa45741,ZDB-GENE-030131-275
sa45742,ZDB-GENE-060503-100
sa45743,ZDB-GENE-060512-339
sa45744,ZDB-GENE-031112-9
sa45745,ZDB-GENE-040426-749
sa45746,ZDB-GENE-091113-48
sa45749,ZDB-GENE-120215-140
sa45750,ZDB-GENE-040426-886
sa45751,ZDB-GENE-070705-204
sa45752,ZDB-GENE-040407-1
sa45754,ZDB-GENE-070912-478
sa45755,ZDB-GENE-040426-2784
sa45756,ZDB-GENE-060616-238
sa45757,ZDB-GENE-060712-1
sa45758,ZDB-GENE-070705-311
sa45759,ZDB-GENE-990714-16
sa45760,ZDB-GENE-070705-209
sa45761,ZDB-GENE-070705-209
sa45762,ZDB-GENE-050417-265
sa45763,ZDB-GENE-050208-608
sa45764,ZDB-GENE-070209-238
sa45765,ZDB-GENE-030131-8265
sa45766,ZDB-GENE-050208-358
sa45768,ZDB-GENE-050208-757
sa45769,ZDB-GENE-030131-1528
sa45770,ZDB-GENE-060503-930
sa45771,ZDB-GENE-050208-748
sa45772,ZDB-GENE-030131-2211
sa45773,ZDB-GENE-050208-359
sa45774,ZDB-GENE-060531-45
sa45775,ZDB-GENE-040808-26
sa45776,ZDB-GENE-021010-1
sa45777,ZDB-GENE-050208-529
sa45778,ZDB-GENE-030722-4
sa45779,ZDB-GENE-040426-810
sa45780,ZDB-GENE-040426-810
sa45781,ZDB-GENE-040426-1814
sa45782,ZDB-GENE-030131-2209
sa45783,ZDB-GENE-040426-779
sa45786,ZDB-GENE-060519-1
sa45787,ZDB-GENE-020806-1
sa45788,ZDB-GENE-090312-205
sa45789,ZDB-GENE-090312-163
sa45790,ZDB-GENE-090313-307
sa45791,ZDB-GENE-030131-6830
sa45792,ZDB-GENE-050314-2
sa45793,ZDB-GENE-090312-117
sa45794,ZDB-GENE-030131-2202
sa45795,ZDB-GENE-090313-341
sa45796,ZDB-GENE-090313-222
sa45797,ZDB-GENE-070424-59
sa45798,ZDB-GENE-030131-1033
sa45799,ZDB-GENE-040426-1158
sa45800,ZDB-GENE-090313-243
sa45801,ZDB-GENE-090313-245
sa45802,ZDB-GENE-040426-1229
sa45804,ZDB-GENE-060223-2
sa45805,ZDB-GENE-020205-1
sa45806,ZDB-GENE-091116-9
sa45807,ZDB-GENE-091116-9
sa45808,ZDB-GENE-060616-305
sa45809,ZDB-GENE-090312-38
sa45810,ZDB-GENE-090521-2
sa45811,ZDB-GENE-130530-683
sa45813,ZDB-GENE-040426-966
sa45816,ZDB-GENE-060929-1250
sa45817,ZDB-GENE-070424-195
sa45818,ZDB-GENE-030131-1132
sa45819,ZDB-GENE-050522-215
sa45820,ZDB-GENE-050522-134
sa45821,ZDB-GENE-060421-4898
sa45822,ZDB-GENE-040724-135
sa45823,ZDB-GENE-040724-135
sa45824,ZDB-GENE-090612-1
sa45826,ZDB-GENE-110614-1
sa45827,ZDB-GENE-040426-2887
sa45828,ZDB-GENE-050311-6
sa45829,ZDB-GENE-060929-100
sa45830,ZDB-GENE-080204-114
sa45831,ZDB-GENE-041111-281
sa45832,ZDB-GENE-060228-5
sa45833,ZDB-GENE-030131-9105
sa45834,ZDB-GENE-040718-335
sa45835,ZDB-GENE-080417-1
sa45836,ZDB-GENE-060228-6
sa45838,ZDB-GENE-040724-165
sa45839,ZDB-GENE-120709-105
sa45840,ZDB-GENE-051114-1
sa45841,ZDB-GENE-030131-271
sa45843,ZDB-GENE-140106-127
sa45845,ZDB-GENE-111104-4
sa45846,ZDB-GENE-030131-3251
sa45847,ZDB-GENE-040801-21
sa45848,ZDB-GENE-091015-4
sa45849,ZDB-GENE-050309-32
sa45850,ZDB-GENE-061221-2
sa45851,ZDB-GENE-100426-3
sa45852,ZDB-GENE-100426-3
sa45853,ZDB-GENE-070628-4
sa45854,ZDB-GENE-030131-624
sa45855,ZDB-GENE-110421-3
sa45856,ZDB-GENE-031222-3
sa45857,ZDB-GENE-041114-143
sa45858,ZDB-GENE-050622-16
sa45862,ZDB-GENE-041010-46
sa45866,ZDB-GENE-060929-856
sa45867,ZDB-GENE-991213-5
sa45870,ZDB-GENE-040426-1413
sa45871,ZDB-GENE-061013-393
sa45109,ZDB-GENE-170601-47
sa45120,ZDB-GENE-060929-704
sa45124,ZDB-GENE-170803-1
sa45142,ZDB-GENE-130530-691
sa45148,ZDB-GENE-121019-1
sa45206,ZDB-GENE-060531-64
sa45225,ZDB-GENE-110223-1
sa45234,ZDB-GENE-030131-340
sa45270,ZDB-GENE-040426-1279
sa45278,ZDB-GENE-040724-145
sa45294,ZDB-GENE-130530-842
sa45303,ZDB-GENE-090908-1
sa45315,ZDB-GENE-081105-162
sa45341,ZDB-GENE-120626-1
sa45343,ZDB-GENE-030430-2
sa45349,ZDB-GENE-130530-982
sa45358,ZDB-GENE-050517-21
sa45361,ZDB-GENE-070912-424
sa45384,ZDB-GENE-091118-26
sa45396,ZDB-GENE-091118-56
sa45409,ZDB-GENE-030616-571
sa45427,ZDB-GENE-030131-6872
sa45439,ZDB-GENE-100519-1
sa45444,ZDB-GENE-030131-7067
sa45456,ZDB-GENE-081104-257
sa45462,ZDB-GENE-030131-9112
sa45473,ZDB-GENE-100716-2
