expid|DBname|DBname|ZECOtermname|zecoid|otherid|CC
ZDB-EXP-050224-3|gata1 MO|gata1 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050225-1|prox1MO|prox1MO|standard conditions|ZECO:0000103||
ZDB-EXP-050228-1|chd MO|chd MO|standard conditions|ZECO:0000103||
ZDB-EXP-050228-2|MO1-her5|MO1-her5|standard conditions|ZECO:0000103||
ZDB-EXP-050228-3|gripNA-her11|gripNA-her11|standard conditions|ZECO:0000103||
ZDB-EXP-050228-4|MO1-her5 + gripNA-her11|MO1-her5 + gripNA-her11|standard conditions|ZECO:0000103||
ZDB-EXP-050228-5|chemical|cyclopamine (CAS: 4449-51-8)|chemical treatment|ZECO:0000102|CHEBI:4021|
ZDB-EXP-050302-1|dlx3b-MO|dlx3b-MO|standard conditions|ZECO:0000103||
ZDB-EXP-050302-2|chemical|other|chemical treatment|ZECO:0000102|CHEBI:84491|
ZDB-EXP-050308-1|MO-kif7|MO-kif7|standard conditions|ZECO:0000103||
ZDB-EXP-050308-2|mo-sufu + mo-kif7|mo-sufu + mo-kif7|standard conditions|ZECO:0000103||
ZDB-EXP-050310-1|rfng MOs|rfng MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050310-2|wnt MO|wnt MO|standard conditions|ZECO:0000103||
ZDB-EXP-050310-3|tcf3b MO|tcf3b MO|standard conditions|ZECO:0000103||
ZDB-EXP-050311-1|ash a-b double KO|ash a-b double KO|standard conditions|ZECO:0000103||
ZDB-EXP-050311-2|chemical|other|chemical treatment|ZECO:0000102|CHEBI:31991|
ZDB-EXP-050311-3|ash a-b and ngn MO combo|ash a-b and ngn MO combo|standard conditions|ZECO:0000103||
ZDB-EXP-050311-5|asha MO|asha MO|standard conditions|ZECO:0000103||
ZDB-EXP-050311-6|dla down|dla down|standard conditions|ZECO:0000103||
ZDB-EXP-050311-7|ashB MO|ashB MO|standard conditions|ZECO:0000103||
ZDB-EXP-050314-1|ngn1 knock-down|ngn1 knock-down|standard conditions|ZECO:0000103||
ZDB-EXP-050314-2|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-050314-3|gcm2-MO|gcm2-MO|standard conditions|ZECO:0000103||
ZDB-EXP-050315-1|gcm2 MO1|gcm2 MO1|standard conditions|ZECO:0000103||
ZDB-EXP-050315-2|gcm2 MO2+MO3|gcm2 MO2+MO3|standard conditions|ZECO:0000103||
ZDB-EXP-050315-3|hoxa3+b3 MO|hoxa3+b3 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050315-5|hoxa3 MO|hoxa3 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050315-6|hoxb3 MO|hoxb3 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050321-1|cxcl12a/cxcr4b MOs|cxcl12a/cxcr4b MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050321-2|chemical|Cadmium chloride (CAS: 10108-64-2)|chemical treatment|ZECO:0000102|CHEBI:35456|
ZDB-EXP-050321-3|chemical|Cadmium chloride (CAS: 10108-64-2)|chemical treatment|ZECO:0000102|CHEBI:35456|
ZDB-EXP-050321-4|chemical|Cadmium chloride (CAS: 10108-64-2)|chemical treatment|ZECO:0000102|CHEBI:35456|
ZDB-EXP-050322-4|MO1wnt4a+MO2wnt11|MO1wnt4a+MO2wnt11|standard conditions|ZECO:0000103||
ZDB-EXP-050322-5|MO1wnt4a+MO1wnt11r|MO1wnt4a+MO1wnt11r|standard conditions|ZECO:0000103||
ZDB-EXP-050322-7|MO2wnt11+MO1wnt11r|MO2wnt11+MO1wnt11r|standard conditions|ZECO:0000103||
ZDB-EXP-050322-8|MO1wnt4a+MO2wnt11+MO1wnt11r|MO1wnt4a+MO2wnt11+MO1wnt11r|standard conditions|ZECO:0000103||
ZDB-EXP-050323-1|sox9b MO|sox9b MO|standard conditions|ZECO:0000103||
ZDB-EXP-050323-2|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:101713|
ZDB-EXP-050324-1|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:101713|
ZDB-EXP-050324-2|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:101713|
ZDB-EXP-050413-1|EphA4MO|EphA4MO|standard conditions|ZECO:0000103||
ZDB-EXP-050413-2|ephrinB2aMO|ephrinB2aMO|standard conditions|ZECO:0000103||
ZDB-EXP-050413-3|EphA4MO;ephrinB2aMO|EphA4MO;ephrinB2aMO|standard conditions|ZECO:0000103||
ZDB-EXP-050419-1|igfbp3 MO|igfbp3 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050420-1|physical|light|lighting conditions|ZECO:0000146||
ZDB-EXP-050420-2|physical|light|lighting conditions|ZECO:0000146||
ZDB-EXP-050420-3|physical|light|lighting conditions|ZECO:0000146||
ZDB-EXP-050420-4|physical|light|lighting conditions|ZECO:0000146||
ZDB-EXP-050426-1|p73l MO|p73l MO|standard conditions|ZECO:0000103||
ZDB-EXP-050426-2|p73 MO|p73 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050427-1|lrdr1 AUG MO-1 KD|lrdr1 AUG MO-1 KD|standard conditions|ZECO:0000103||
ZDB-EXP-050427-2|lrdr1 E2/I2 MO-2 KD|lrdr1 E2/I2 MO-2 KD|standard conditions|ZECO:0000103||
ZDB-EXP-050428-1|physical|radiation|gama ray|ZECO:0000216||
ZDB-EXP-050429-1|prdm1 MO|prdm1 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050504-1|MO1/2-phc2|MO1/2-phc2|standard conditions|ZECO:0000103||
ZDB-EXP-050504-3|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-050504-4|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-050505-2|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050506-1|neurog1MO +olig2 MO|neurog1MO +olig2 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050506-2|her9 MO|her9 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050506-3|her3 MO|her3 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050506-4|MOpolAUG|MOpolAUG|standard conditions|ZECO:0000103||
ZDB-EXP-050506-5|her3 MO + her9 MO|her3 MO + her9 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050508-1|Morph1A|Morph1A|standard conditions|ZECO:0000103||
ZDB-EXP-050509-3|wnt8a MOs (4.2ng)|wnt8a MOs (4.2ng)|standard conditions|ZECO:0000103||
ZDB-EXP-050509-4|wnt3l and wnt8a MOs (4.2)|wnt3l and wnt8a MOs (4.2)|standard conditions|ZECO:0000103||
ZDB-EXP-050510-1|VVV|VVV|standard conditions|ZECO:0000103||
ZDB-EXP-050510-2|cdx MOs (2.1)|cdx MOs (2.1)|standard conditions|ZECO:0000103||
ZDB-EXP-050510-3|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-050510-4|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-050511-1|MO1+2|MO1+2|standard conditions|ZECO:0000103||
ZDB-EXP-050512-1|temperature|heat shock|heat shock|ZECO:0000166||
ZDB-EXP-050512-2|erbb3b MO|erbb3b MO|standard conditions|ZECO:0000103||
ZDB-EXP-050512-3|erbb2 MO|erbb2 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050512-4|temperature|heat shock|heat shock|ZECO:0000166||
ZDB-EXP-050512-5|temperature|heat shock|heat shock|ZECO:0000166||
ZDB-EXP-050512-6|temperature|heat shock|heat shock|ZECO:0000166||
ZDB-EXP-050512-7|Morph1B|Morph1B|standard conditions|ZECO:0000103||
ZDB-EXP-050512-8|temperature|heat shock|heat shock|ZECO:0000166||
ZDB-EXP-050512-9|temperature|heat shock|heat shock|ZECO:0000166||
ZDB-EXP-050513-1|olig3MO|olig3MO|standard conditions|ZECO:0000103||
ZDB-EXP-050513-2|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050513-3|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050513-4|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050513-5|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:2766|
ZDB-EXP-050513-6|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050515-1|chemical|Hormone, growth factors, and endocrine disruptors|chemical treatment|ZECO:0000102|CHEBI:81570|
ZDB-EXP-050517-1|MO1-igfbp2|MO1-igfbp2|standard conditions|ZECO:0000103||
ZDB-EXP-050518-2|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050518-3|MO1-shh+MO1-twhh|MO1-shh+MO1-twhh|standard conditions|ZECO:0000103||
ZDB-EXP-050526-1|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050527-1|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-050527-3|ff1bMO|ff1bMO|standard conditions|ZECO:0000103||
ZDB-EXP-050527-4|ff1bMOlow|ff1bMOlow|standard conditions|ZECO:0000103||
ZDB-EXP-050527-5|MO4-tal1|MO4-tal1|standard conditions|ZECO:0000103||
ZDB-EXP-050531-1|dlc 1:1 MO3, MO4|dlc 1:1 MO3, MO4|standard conditions|ZECO:0000103||
ZDB-EXP-050531-2|dlc 1:2 MO3, MO4|dlc 1:2 MO3, MO4|standard conditions|ZECO:0000103||
ZDB-EXP-050531-4|her7 2:2 MO1, MO2|her7 2:2 MO1, MO2|standard conditions|ZECO:0000103||
ZDB-EXP-050601-1|chemical|other|chemical treatment|ZECO:0000102|CHEBI:68508|
ZDB-EXP-050601-2|chemical|other|chemical treatment|ZECO:0000102|CHEBI:68508|
ZDB-EXP-050601-3|nrf2-MO|nrf2-MO|standard conditions|ZECO:0000103||
ZDB-EXP-050602-1|myh11 MO|myh11 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050604-1|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:41879|
ZDB-EXP-050604-2|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:28077|
ZDB-EXP-050604-3|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:41879|
ZDB-EXP-050604-4|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:28077|
ZDB-EXP-050604-5|chemical|TCDD (2,3,7,8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6)|chemical treatment|ZECO:0000102|CHEBI:28119|
ZDB-EXP-050604-6|chemical|TCDD (2,3,7,8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6)|chemical treatment|ZECO:0000102|CHEBI:28119|
ZDB-EXP-050604-7|ahr2MO|ahr2MO|standard conditions|ZECO:0000103||
ZDB-EXP-050606-2|chemical|17beta-estradiol (CAS: 50-28-2)|chemical treatment|ZECO:0000102|CHEBI:16469|
ZDB-EXP-050606-3|chemical|17beta-estradiol (CAS: 50-28-2)|chemical treatment|ZECO:0000102|CHEBI:16469|
ZDB-EXP-050606-3|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:31638|
ZDB-EXP-050606-5|chemical|17beta-estradiol (CAS: 50-28-2)|chemical treatment|ZECO:0000102|CHEBI:16469|
ZDB-EXP-050606-6|chemical|17beta-estradiol (CAS: 50-28-2)|chemical treatment|ZECO:0000102|CHEBI:16469|
ZDB-EXP-050606-6|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:31638|
ZDB-EXP-050606-7|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:23888|
ZDB-EXP-050607-1|MO1-wnt3l|MO1-wnt3l|standard conditions|ZECO:0000103||
ZDB-EXP-050607-2|MO1-wnt8a|MO1-wnt8a|standard conditions|ZECO:0000103||
ZDB-EXP-050607-3|MO2-sp5l|MO2-sp5l|standard conditions|ZECO:0000103||
ZDB-EXP-050607-4|MO1-wnt3l + MO1-wnt8a|MO1-wnt3l + MO1-wnt8a|standard conditions|ZECO:0000103||
ZDB-EXP-050607-5|MO1|MO1|standard conditions|ZECO:0000103||
ZDB-EXP-050607-6|MO1-wnt3l + MO2-sp5l|MO1-wnt3l + MO2-sp5l|standard conditions|ZECO:0000103||
ZDB-EXP-050609-1|mdka MO|mdka MO|standard conditions|ZECO:0000103||
ZDB-EXP-050609-2|her7 3:3 MO1, MO2|her7 3:3 MO1, MO2|standard conditions|ZECO:0000103||
ZDB-EXP-050610-1|dlc 0.5:0.5 MO3, MO4|dlc 0.5:0.5 MO3, MO4|standard conditions|ZECO:0000103||
ZDB-EXP-050610-2|her7 & dlc :: 2:2:1:2::MO1:2:3:4|her7 & dlc :: 2:2:1:2::MO1:2:3:4|standard conditions|ZECO:0000103||
ZDB-EXP-050614-2|MOChd|MOChd|standard conditions|ZECO:0000103||
ZDB-EXP-050616-1|chemical|Hormone, growth factors, and endocrine disruptors|chemical treatment|ZECO:0000102|CHEBI:37845|
ZDB-EXP-050616-2|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050616-3|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050617-1|chemical|TCDD (2,3,7,8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6)|chemical treatment|ZECO:0000102|CHEBI:28119|
ZDB-EXP-050621-1|temperature|stable|heat shock|ZECO:0000166||
ZDB-EXP-050621-2|chemical|cyclopamine (CAS: 4449-51-8)|chemical treatment|ZECO:0000102|CHEBI:4021|
ZDB-EXP-050621-2|temperature|stable|cold exposure|ZECO:0000162||
ZDB-EXP-050622-3|MO ets1|MO ets1|standard conditions|ZECO:0000103||
ZDB-EXP-050627-1|dpr2 MO3|dpr2 MO3|standard conditions|ZECO:0000103||
ZDB-EXP-050627-2|dpr2 MO4|dpr2 MO4|standard conditions|ZECO:0000103||
ZDB-EXP-050627-3|MO1-hes6 + MO2-hes6|MO1-hes6 + MO2-hes6|standard conditions|ZECO:0000103||
ZDB-EXP-050629-2|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050629-2|temperature|stable|cold exposure|ZECO:0000162||
ZDB-EXP-050630-1|pitx3 MO|pitx3 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050630-2|dlx3b+dlx4b MO|dlx3b+dlx4b MO|standard conditions|ZECO:0000103||
ZDB-EXP-050630-3|pitx3+dlx3b+dlx4b MO|pitx3+dlx3b+dlx4b MO|standard conditions|ZECO:0000103||
ZDB-EXP-050701-1|pitx3MOlow|pitx3MOlow|standard conditions|ZECO:0000103||
ZDB-EXP-050705-1|Scube2 MO|Scube2 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050708-1|gdf6a MO|gdf6a MO|standard conditions|ZECO:0000103||
ZDB-EXP-050708-10|EGFP MO|EGFP MO|standard conditions|ZECO:0000103||
ZDB-EXP-050708-11|MO1-per2|MO1-per2|standard conditions|ZECO:0000103||
ZDB-EXP-050708-2|Bmp4 MO|Bmp4 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050708-8|physical|light|lighting conditions|ZECO:0000146||
ZDB-EXP-050708-9|physical|light|lighting conditions|ZECO:0000146||
ZDB-EXP-050714-1|dnah9 MO|dnah9 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050714-2|aldh1a2 MO|aldh1a2 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050714-4|chemical|other|chemical treatment|ZECO:0000102|CHEBI:52289|
ZDB-EXP-050714-5|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:7772|
ZDB-EXP-050714-6|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050714-7|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-050715-1|physical|light|lighting conditions|ZECO:0000146||
ZDB-EXP-050715-1|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-050715-3|chemical|SU5402|chemical treatment|ZECO:0000102|CHEBI:63449|
ZDB-EXP-050718-1|scrib atgMO|scrib atgMO|standard conditions|ZECO:0000103||
ZDB-EXP-050721-1|wnt8 MO|wnt8 MO|standard conditions|ZECO:0000103||
ZDB-EXP-050721-2|chemical|other|chemical treatment|ZECO:0000102|CHEBI:18243|
ZDB-EXP-050721-3|chemical|other|chemical treatment|ZECO:0000102|CHEBI:75401|
ZDB-EXP-050721-4|chemical|other|chemical treatment|ZECO:0000102|CHEBI:131802|
ZDB-EXP-050722-1|LZIC MO1|LZIC MO1|standard conditions|ZECO:0000103||
ZDB-EXP-050723-1|blfMO2|blfMO2|standard conditions|ZECO:0000103||
ZDB-EXP-050725-1|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:49662|
ZDB-EXP-050725-2|Zebb302MO|Zebb302MO|standard conditions|ZECO:0000103||
ZDB-EXP-050725-3|Zebb302aMO|Zebb302aMO|standard conditions|ZECO:0000103||
ZDB-EXP-050725-4|cox1-MO|cox1-MO|standard conditions|ZECO:0000103||
ZDB-EXP-050726-1|temperature|heat shock|heat shock|ZECO:0000166||
ZDB-EXP-050726-2|temperature|heat shock|heat shock|ZECO:0000166||
ZDB-EXP-050726-3|hsp70-MO1|hsp70-MO1|standard conditions|ZECO:0000103||
ZDB-EXP-050726-4|runx1MO|runx1MO|standard conditions|ZECO:0000103||
ZDB-EXP-050727-2|chemical|cyclopamine (CAS: 4449-51-8)|chemical treatment|ZECO:0000102|CHEBI:4021|
ZDB-EXP-050728-1|MO1-invs|MO1-invs|standard conditions|ZECO:0000103||
ZDB-EXP-050728-2|chemical|Metal|chemical treatment|ZECO:0000102|CHEBI:16170 |
ZDB-EXP-050728-3|s-mo|s-mo|standard conditions|ZECO:0000103||
ZDB-EXP-050728-4|chemical|cyclopamine (CAS: 4449-51-8)|chemical treatment|ZECO:0000102|CHEBI:4021|
ZDB-EXP-050728-5|t-mo|t-mo|standard conditions|ZECO:0000103||
ZDB-EXP-050728-6|s-mo-100|s-mo-100|standard conditions|ZECO:0000103||
ZDB-EXP-050728-7|chemical|other|chemical treatment|ZECO:0000102|CHEBI:65207|
ZDB-EXP-050728-8|chemical|other|chemical treatment|ZECO:0000102||
ZDB-EXP-050801-1|Cav3MO|Cav3MO|standard conditions|ZECO:0000103||
ZDB-EXP-050801-2|Cav3UTRMO|Cav3UTRMO|standard conditions|ZECO:0000103||
ZDB-EXP-050802-1|ap2b MO|ap2b MO|standard conditions|ZECO:0000103||
ZDB-EXP-050802-2|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:45980 |
ZDB-EXP-050802-3|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:8107 |
ZDB-EXP-050802-4|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:5855 |
ZDB-EXP-050802-5|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:28748 |
ZDB-EXP-050804-2|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:7565|
ZDB-EXP-050805-1|chemical|Metal|chemical treatment|ZECO:0000102|CHEBI:78291|
ZDB-EXP-050811-1|chemical|TCDD (2,3,7,8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6)|chemical treatment|ZECO:0000102|CHEBI:28119|
ZDB-EXP-050812-1|acvr2aMO (4)|acvr2aMO (4)|standard conditions|ZECO:0000103||
ZDB-EXP-050812-2|acvr2bMO (4)|acvr2bMO (4)|standard conditions|ZECO:0000103||
ZDB-EXP-050815-1|chemical|17beta-estradiol (CAS: 50-28-2)|chemical treatment|ZECO:0000102|CHEBI:16469|
ZDB-EXP-050815-2|chemical|other|chemical treatment|ZECO:0000102|CHEBI:17963|
ZDB-EXP-050815-3|chemical|other|chemical treatment|ZECO:0000102|CHEBI:17963|
ZDB-EXP-050815-3|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:50217|
ZDB-EXP-050815-4|chemical|other|chemical treatment|ZECO:0000102|CHEBI:641|
ZDB-EXP-050816-1|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:50673|
ZDB-EXP-050816-2|chemical|Hormone, growth factors, and endocrine disruptors|chemical treatment|ZECO:0000102|CHEBI:60311|
ZDB-EXP-050816-3|chemical|Hormone, growth factors, and endocrine disruptors|chemical treatment|ZECO:0000102|CHEBI:60311|
ZDB-EXP-050816-3|chemical|Pharmaceutical drug|chemical treatment|ZECO:0000102|CHEBI:50673|
ZDB-EXP-050816-4|jag-MOs|jag-MOs|standard conditions|ZECO:0000103||
ZDB-EXP-050817-1|chemical|Ethanol|chemical treatment|ZECO:0000102|CHEBI:16236|
ZDB-EXP-050819-1|Sox32 morpholino|Sox32 morpholino|standard conditions|ZECO:0000103||
ZDB-EXP-050819-2|neurog1 MO|neurog1 MO|standard conditions|ZECO:0000103||
