expid,DBname,DBname,ZECOtermname,zecoid,otherid,CC
ZDB-EXP-050621-1,temperature,stable,heat shock,ZECO:0000166,,
ZDB-EXP-050621-2,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-050621-2,temperature,stable,cold exposure,ZECO:0000162,,
ZDB-EXP-050629-2,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050629-2,temperature,stable,cold exposure,ZECO:0000162,,
ZDB-EXP-050708-8,physical,light,lighting conditions,ZECO:0000146,,
ZDB-EXP-050708-9,physical,light,lighting conditions,ZECO:0000146,,
ZDB-EXP-050714-4,chemical,other,chemical treatment,ZECO:0000102,CHEBI:52289,
ZDB-EXP-050714-5,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:7772,
ZDB-EXP-050714-6,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050714-7,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050715-1,physical,light,lighting conditions,ZECO:0000146,,
ZDB-EXP-050715-1,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050715-3,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050721-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:18243,
ZDB-EXP-050721-3,chemical,other,chemical treatment,ZECO:0000102,CHEBI:75401,
ZDB-EXP-050721-4,chemical,other,chemical treatment,ZECO:0000102,CHEBI:131802,
ZDB-EXP-050725-1,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:49662,
ZDB-EXP-050726-1,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050726-2,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050727-2,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-050728-2,chemical,Metal,chemical treatment,ZECO:0000102,CHEBI:16170 ,
ZDB-EXP-050728-4,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-050728-7,chemical,other,chemical treatment,ZECO:0000102,CHEBI:65207,
ZDB-EXP-050728-8,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050802-2,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:45980 ,
ZDB-EXP-050802-3,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:8107 ,
ZDB-EXP-050802-4,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:5855 ,
ZDB-EXP-050802-5,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:28748 ,
ZDB-EXP-050804-2,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:7565,
ZDB-EXP-050805-1,chemical,Metal,chemical treatment,ZECO:0000102,CHEBI:78291,
ZDB-EXP-050811-1,chemical,TCDD (2sierra3sierra7sierra8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6),chemical treatment,ZECO:0000102,CHEBI:28119,
ZDB-EXP-050815-1,chemical,17beta-estradiol (CAS: 50-28-2),chemical treatment,ZECO:0000102,CHEBI:16469,
ZDB-EXP-050815-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:17963,
ZDB-EXP-050815-3,chemical,other,chemical treatment,ZECO:0000102,CHEBI:17963,
ZDB-EXP-050815-3,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:50217,
ZDB-EXP-050815-4,chemical,other,chemical treatment,ZECO:0000102,CHEBI:641,
ZDB-EXP-050816-1,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:50673,
ZDB-EXP-050816-2,chemical,Hormonesierra growth factorssierra and endocrine disruptors,chemical treatment,ZECO:0000102,CHEBI:60311,
ZDB-EXP-050816-3,chemical,Hormonesierra growth factorssierra and endocrine disruptors,chemical treatment,ZECO:0000102,CHEBI:60311,
ZDB-EXP-050816-3,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:50673,
ZDB-EXP-050817-1,chemical,Ethanol,chemical treatment,ZECO:0000102,CHEBI:16236,
ZDB-EXP-050819-3,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050826-1,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050830-3,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:3764,
ZDB-EXP-050830-4,chemical,other,chemical treatment,ZECO:0000102,CHEBI:16581,
ZDB-EXP-050831-2,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050831-3,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050831-6,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050901-5,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-050901-5,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-050920-2,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:86193,
ZDB-EXP-050922-3,chemical,bromodeoxyuridine:59-14-3,chemical treatment,ZECO:0000102,CHEBI:472552,
ZDB-EXP-050923-1,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:4031,
ZDB-EXP-050923-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:17051,
ZDB-EXP-050926-1,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-050926-2,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-050927-4,chemical,all-trans retinoic acid (CAS: 302-79-4),chemical treatment,ZECO:0000102,CHEBI:15367,
ZDB-EXP-050929-1,chemical,17beta-estradiol (CAS: 50-28-2),chemical treatment,ZECO:0000102,CHEBI:16469,
ZDB-EXP-051013-3,chemical,all-trans retinoic acid (CAS: 302-79-4),chemical treatment,ZECO:0000102,CHEBI:15367,
ZDB-EXP-051014-1,chemical,thalidomide,chemical treatment,ZECO:0000102,CHEBI:9513,
ZDB-EXP-051014-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:17761 ,
ZDB-EXP-051014-3,chemical,thalidomide,chemical treatment,ZECO:0000102,CHEBI:9513,
ZDB-EXP-051014-4,temperature,stable,cold exposure,ZECO:0000162,,
ZDB-EXP-051017-1,chemical,other,chemical treatment,ZECO:0000102,CHEBI:37550,
ZDB-EXP-051017-1,chemical,thalidomide,chemical treatment,ZECO:0000102,CHEBI:9513,
ZDB-EXP-051017-2,temperature,stable,cold exposure,ZECO:0000162,,
ZDB-EXP-051018-1,chemical,TCDD (2sierra3sierra7sierra8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6),chemical treatment,ZECO:0000102,CHEBI:28119,
ZDB-EXP-051018-6,chemical,other,chemical treatment,ZECO:0000102,CHEBI:78886,
ZDB-EXP-051019-1,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-051027-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:42471,
ZDB-EXP-051031-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:9516,
ZDB-EXP-051031-8,chemical,other,chemical treatment,ZECO:0000102,CHEBI:9516,
ZDB-EXP-051101-1,physiological,regeneration/healing,physical alteration,ZECO:0000229,ZFA:0000108,
ZDB-EXP-051101-2,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-051101-2,physiological,regeneration/healing,physical alteration,ZECO:0000229,ZFA:0000108,
ZDB-EXP-051101-3,physiological,regeneration/healing,amputation,ZECO:0000172,,
ZDB-EXP-051101-3,temperature,stable,cold exposure,ZECO:0000162,,
ZDB-EXP-051101-4,physiological,regeneration/healing,amputation,ZECO:0000172,,
ZDB-EXP-051101-4,temperature,stable,cold exposure,ZECO:0000162,,
ZDB-EXP-051101-5,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-051101-5,temperature,stable,cold exposure,ZECO:0000162,,
ZDB-EXP-051101-6,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-051101-6,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-051101-7,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-051101-7,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-051102-4,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-051102-5,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-051102-6,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-051102-7,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-051102-8,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-051102-8,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-051103-3,chemical,other,chemical treatment,ZECO:0000102,CHEBI:27563,
ZDB-EXP-051103-4,physiological,viral infection,viral treatment,ZECO:0000110,103603,
ZDB-EXP-051103-5,chemical,other,chemical treatment,ZECO:0000102,CHEBI:27563,
ZDB-EXP-051103-5,physiological,viral infection,viral treatment,ZECO:0000110,103603,
ZDB-EXP-051104-3,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-051108-1,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-051110-1,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-051110-2,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-051111-1,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-051111-4,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-051117-4,physiological,regeneration/healing,transection,ZECO:0000181,ZFA:0000075,
ZDB-EXP-051130-1,physical,hypoxia,hypoxia,ZECO:0000189,,
ZDB-EXP-051202-3,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-051205-1,chemical,other,chemical treatment,ZECO:0000102,CHEBI:86194,
ZDB-EXP-051205-3,chemical,all-trans retinoic acid (CAS: 302-79-4),chemical treatment,ZECO:0000102,CHEBI:15367,
ZDB-EXP-051205-6,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-051205-7,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-051205-8,chemical,other,chemical treatment,ZECO:0000102,CHEBI:86194,
ZDB-EXP-051206-1,chemical,all-trans retinoic acid (CAS: 302-79-4),chemical treatment,ZECO:0000102,CHEBI:15367,
ZDB-EXP-051206-1,chemical,other,chemical treatment,ZECO:0000102,CHEBI:86194,
ZDB-EXP-051209-2,chemical,all-trans retinoic acid (CAS: 302-79-4),chemical treatment,ZECO:0000102,CHEBI:15367,
ZDB-EXP-051220-5,chemical,cyclopamine (CAS: 4449-51-8),chemical treatment,ZECO:0000102,CHEBI:4021,
ZDB-EXP-051220-6,physiological,organ culture,organ culture,ZECO:0000144,ZFA:0001110,
ZDB-EXP-051220-6,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-051220-7,chemical,Hormonesierra growth factorssierra and endocrine disruptors,chemical treatment,ZECO:0000102,,
ZDB-EXP-051220-7,physiological,organ culture,organ culture,ZECO:0000144,ZFA:0001110,
ZDB-EXP-051220-8,chemical,Hormonesierra growth factorssierra and endocrine disruptors,chemical treatment,ZECO:0000102,,
ZDB-EXP-051220-8,physiological,organ culture,organ culture,ZECO:0000144,ZFA:0001110,
ZDB-EXP-051220-8,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-051228-1,physiological,organ culture,organ culture,ZECO:0000144,ZFA:0000093,
ZDB-EXP-051228-2,physiological,organ culture,organ culture,ZECO:0000144,ZFA:0000093,
ZDB-EXP-060104-4,chemical,PAH,chemical treatment,ZECO:0000102,CHEBI:28851,
ZDB-EXP-060104-5,chemical,PAH,chemical treatment,ZECO:0000102,CHEBI:23681,
ZDB-EXP-060104-6,chemical,PAH,chemical treatment,ZECO:0000102,,
ZDB-EXP-060105-1,chemical,PAH,chemical treatment,ZECO:0000102,CHEBI:39106,
ZDB-EXP-060105-5,chemical,PAH,chemical treatment,ZECO:0000102,CHEBI:51687,
ZDB-EXP-060105-6,chemical,Environmental contaminants,chemical treatment,ZECO:0000102,,
ZDB-EXP-060105-6,chemical,PAH,chemical treatment,ZECO:0000102,,
ZDB-EXP-060105-9,chemical,PAH,chemical treatment,ZECO:0000102,,
ZDB-EXP-060109-1,chemical,PAH,chemical treatment,ZECO:0000102,CHEBI:39106,
ZDB-EXP-060109-2,chemical,PAH,chemical treatment,ZECO:0000102,CHEBI:51687,
ZDB-EXP-060109-3,chemical,PAH,chemical treatment,ZECO:0000102,CHEBI:51687,
ZDB-EXP-060109-4,chemical,PAH,chemical treatment,ZECO:0000102,CHEBI:51687,
ZDB-EXP-060109-5,chemical,PAH,chemical treatment,ZECO:0000102,CHEBI:51687,
ZDB-EXP-060111-2,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-060112-1,physiological,regeneration/healing,amputation,ZECO:0000172,,
ZDB-EXP-060112-2,physiological,regeneration/healing,amputation,ZECO:0000172,,
ZDB-EXP-060112-3,physiological,regeneration/healing,amputation,ZECO:0000172,,
ZDB-EXP-060112-4,physiological,regeneration/healing,amputation,ZECO:0000172,,
ZDB-EXP-060113-2,temperature,stable,cold exposure,ZECO:0000162,,
ZDB-EXP-060113-3,chemical,other,chemical treatment,ZECO:0000102,CHEBI:48607,
ZDB-EXP-060118-2,chemical,Environmental contaminants,chemical treatment,ZECO:0000102,,
ZDB-EXP-060118-2,chemical,PAH,chemical treatment,ZECO:0000102,,
ZDB-EXP-060118-3,chemical,Environmental contaminants,chemical treatment,ZECO:0000102,,
ZDB-EXP-060118-3,chemical,PAH,chemical treatment,ZECO:0000102,,
ZDB-EXP-060118-4,chemical,Environmental contaminants,chemical treatment,ZECO:0000102,,
ZDB-EXP-060118-4,chemical,PAH,chemical treatment,ZECO:0000102,,
ZDB-EXP-060123-1,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-060123-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:90623,
ZDB-EXP-060123-3,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-060124-1,chemical,other,chemical treatment,ZECO:0000102,CHEBI:17963,
ZDB-EXP-060124-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:17963,
ZDB-EXP-060124-2,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:9087,
ZDB-EXP-060124-3,chemical,other,chemical treatment,ZECO:0000102,CHEBI:17963,
ZDB-EXP-060124-5,chemical,other,chemical treatment,ZECO:0000102,CHEBI:17963,
ZDB-EXP-060124-5,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:47781,
ZDB-EXP-060124-6,chemical,other,chemical treatment,ZECO:0000102,CHEBI:17963,
ZDB-EXP-060124-6,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:116225,
ZDB-EXP-060126-1,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-060126-2,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-060126-2,chemical,TCDD (2sierra3sierra7sierra8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6),chemical treatment,ZECO:0000102,CHEBI:28119,
ZDB-EXP-060201-2,chemical,other,chemical treatment,ZECO:0000102,CHEBI:86195,
ZDB-EXP-060201-3,chemical,all-trans retinoic acid (CAS: 302-79-4),chemical treatment,ZECO:0000102,CHEBI:15367,
ZDB-EXP-060201-4,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-060201-5,chemical,other,chemical treatment,ZECO:0000102,CHEBI:17898,
ZDB-EXP-060201-6,chemical,other,chemical treatment,ZECO:0000102,CHEBI:27641,
ZDB-EXP-060201-7,chemical,all-trans retinoic acid (CAS: 302-79-4),chemical treatment,ZECO:0000102,CHEBI:15367,
ZDB-EXP-060201-7,chemical,other,chemical treatment,ZECO:0000102,CHEBI:27641,
ZDB-EXP-060206-1,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-060207-3,chemical,PTU,chemical treatment,ZECO:0000102,CHEBI:46261,
ZDB-EXP-060208-1,physiological,regeneration/healing,transection,ZECO:0000181,ZFA:0000435,
ZDB-EXP-060209-1,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-060209-2,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-060210-2,chemical,DNA replication inhibitors,chemical treatment,ZECO:0000102,,
ZDB-EXP-060210-3,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-060210-4,chemical,other,chemical treatment,ZECO:0000102,,
ZDB-EXP-060216-2,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-060216-2,chemical,TCDD (2sierra3sierra7sierra8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6),chemical treatment,ZECO:0000102,CHEBI:28119,
ZDB-EXP-060216-4,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-060216-4,chemical,TCDD (2sierra3sierra7sierra8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6),chemical treatment,ZECO:0000102,CHEBI:28119,
ZDB-EXP-060222-1,physiological,regeneration/healing,amputation,ZECO:0000172,,
ZDB-EXP-060222-1,temperature,stable,heat exposure,ZECO:0000163,,
ZDB-EXP-060222-2,physiological,regeneration/healing,amputation,ZECO:0000172,,
ZDB-EXP-060222-2,temperature,stable,heat exposure,ZECO:0000163,,
ZDB-EXP-060222-3,physiological,regeneration/healing,amputation,ZECO:0000172,,
ZDB-EXP-060222-3,temperature,stable,heat exposure,ZECO:0000163,,
ZDB-EXP-060228-4,chemical,Hormonesierra growth factorssierra and endocrine disruptors,chemical treatment,ZECO:0000102,CHEBI:15551,
ZDB-EXP-060228-5,chemical,Hormonesierra growth factorssierra and endocrine disruptors,chemical treatment,ZECO:0000102,CHEBI:15551,
ZDB-EXP-060311-2,chemical,TCDD (2sierra3sierra7sierra8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6),chemical treatment,ZECO:0000102,CHEBI:28119,
ZDB-EXP-060311-4,chemical,Cadmium chloride (CAS: 10108-64-2),chemical treatment,ZECO:0000102,CHEBI:35456,
ZDB-EXP-060311-4,chemical,TCDD (2sierra3sierra7sierra8-tetrachlorodibenzo-p-dioxin) (CAS: 1746-01-6),chemical treatment,ZECO:0000102,CHEBI:28119,
ZDB-EXP-060315-4,chemical,other,chemical treatment,ZECO:0000102,CHEBI:26536,
ZDB-EXP-060315-5,physiological,bacterial infection,bacterial treatment,ZECO:0000106,1781,
ZDB-EXP-060317-1,chemical,Metal,chemical treatment,ZECO:0000102,CHEBI:29105,
ZDB-EXP-060317-2,chemical,Metal,chemical treatment,ZECO:0000102,CHEBI:29105,
ZDB-EXP-060317-3,chemical,Metal,chemical treatment,ZECO:0000102,CHEBI:29105,
ZDB-EXP-060321-3,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-060322-1,temperature,heat shock,heat shock,ZECO:0000166,,
ZDB-EXP-060322-1,physiological,regeneration/healing,physical alteration,ZECO:0000229,,
ZDB-EXP-060331-4,chemical,DAPT,chemical treatment,ZECO:0000102,CHEBI:86193,
ZDB-EXP-060407-10,physical,light,constant dark,ZECO:0000149,,
ZDB-EXP-060407-11,physical,light,constant light,ZECO:0000150,,
ZDB-EXP-060407-12,physical,light,lighting conditions,ZECO:0000146,,
ZDB-EXP-060407-3,physical,light,constant dark,ZECO:0000149,,
ZDB-EXP-060407-4,physical,light,constant dark,ZECO:0000149,,
ZDB-EXP-060407-5,physical,light,constant dark,ZECO:0000149,,
ZDB-EXP-060407-6,physical,light,constant dark,ZECO:0000149,,
ZDB-EXP-060407-7,physical,light,constant dark,ZECO:0000149,,
ZDB-EXP-060407-8,physical,light,constant dark,ZECO:0000149,,
ZDB-EXP-060407-9,physical,light,constant dark,ZECO:0000149,,
ZDB-EXP-060411-1,chemical,all-trans retinoic acid (CAS: 302-79-4),chemical treatment,ZECO:0000102,CHEBI:15367,
ZDB-EXP-060411-3,chemical,all-trans retinoic acid (CAS: 302-79-4),chemical treatment,ZECO:0000102,CHEBI:15367,
ZDB-EXP-060418-2,chemical,SU5402,chemical treatment,ZECO:0000102,CHEBI:63449,
ZDB-EXP-060420-1,chemical,other,chemical treatment by injection,ZECO:0000237,,
ZDB-EXP-060420-2,chemical,Pharmaceutical drug,chemical treatment,ZECO:0000102,CHEBI:23888,
