Line|Allele|ZFIN ZDB ID|Gene|ZDB-ALT|Vector|ZDB-Construct|Genbank|ZDB-Geno|ZIRC needs
GBT0129|mn0129GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0130|mn0130GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0134|mn0134GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0141|mn0141GT|ZDB-GENE-030710-9|gpm6ba; glycoprotein M6Ba|ZDB-ALT-111118-13|RP2|ZDB-GTCONSTRCT-111117-2|HQ335170| ZDB-GENO-111118-28 |het on AB
GBT0142|mn0142GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0147|mn0147GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0148|mn0148GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0149|mn0149GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0156|mn0156GT|ZDB-GENE-060526-68|fras1; Fraser syndrome 1|ZDB-ALT-111118-16|RP2|ZDB-GTCONSTRCT-111117-2|HQ335170|ZDB-GENO-111118-31 |het on AB
GBT0160|mn0160GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0168|mn0168GT|ZDB-GENE-041114-101|fgf13a; fibroblast growth factor 13a|ZDB-ALT-111118-18|RP2|ZDB-GTCONSTRCT-111117-2|HQ335170|ZDB-GENO-111118-33 |het on AB
GBT0171|mn0171GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0173|mn0173GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0174|mn0174GT|ZDB-GENE-091204-365|LOC100538116; gamma-aminobutyric acid receptor subunit alpha-3-like; gabra||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
GBT0175|mn0175GT|ZDB-GENE-080225-17|arhgef25b; Rho guanine nucleotide exchange factor (GEF) 25b|ZDB-ALT-111118-19|RP2|ZDB-GTCONSTRCT-111117-2|HQ335170|ZDB-GENO-111118-34 |het on AB
GBT0176|mn0176GT||||RP2|ZDB-GTCONSTRCT-111117-2|HQ335170||het on AB
