Line|Allele|Vector|"ZFIN ZDB ID"|"Gene Abbr."|"Full Gene Name"
GBT0343|Gt(GBT-RP2)mn0343|RP2|||
GBT0344|Gt(GBT-RP2)mn0344|RP2|||
GBT0345|Gt(GBT-RP2)mn0345|RP2|||
GBT0347|Gt(GBT-RP2)mn0347|RP2|||
GBT0350|Gt(GBT-RP2)mn0350|RP2|||
GBT0359|Gt(GBT-RP2)mn0359|RP2|||
GBT0365|xu0365GT|RP2|ZDB-GENE-050522-235|sncgb|synuclein, gamma b (breast cancer-specific protein 1)
GBT0367|Gt(GBT-RP2)mn0367|RP2|||
GBT0369|Gt(GBT-RP2)mn0369|RP2|||
GBT0373|Gt(GBT-RP2)mn0373|RP2|||
GBT0374|Gt(GBT-RP2)mn0374|RP2|||
GBT0376|Gt(GBT-RP2)mn0376|RP2|||
GBT0377|Gt(GBT-RP2)mn0377|RP2|||
GBT0378|Gt(GBT-RP2)mn0378|RP2|||
GBT0380|Gt(GBT-RP2)mn0380|RP2|||
GBT0382|Gt(GBT-RP2)mn0382|RP2|||
GBT0385|Gt(GBT-RP2)mn0385|RP2|||
GBT0386|Gt(GBT-RP2)mn0386|RP2|||
GBT0387|Gt(GBT-RP2)mn0387|RP2|||
GBT0391|Gt(GBT-RP2)mn0391|RP2|||
GBT0392|Gt(GBT-RP2)mn0392|RP2|||
GBT0396|Gt(GBT-RP2)mn0396|RP2|||
GBT0426|xu0426GT|RP2|||
GBT0438|Gt(GBT-RP8)mn0438|RP8|||
GBT0439|Gt(GBT-RP8)mn0439|RP8|||
GBT0505|Gt(GBT-RP2)mn0505|RP2|||
GBT0506|Gt(GBT-RP2)mn0506|RP2|||
GBT0510|Gt(GBT-RP2)mn0510|RP2|||
GBT0511|Gt(GBT-RP2)mn0511|RP2|||
GBT0512|Gt(GBT-RP2)mn0512|RP2|||
GBT0514|Gt(GBT-RP2)mn0514|RP2|||
GBT0518|Gt(GBT-RP2)mn0518|RP2|||
GBT0519|Gt(GBT-RP2)mn0519|RP2|||
GBT0520|Gt(GBT-RP2)mn0520|RP2|||
GBT0522|Gt(GBT-RP2)mn0522|RP2|||
GBT0523|Gt(GBT-RP2)mn0523|RP2|||
GBT0525|Gt(GBT-RP8)mn0525|RP8|||
GBT0526|Gt(GBT-RP8)mn0526|RP8|||
GBT0527|Gt(GBT-RP8)mn0527|RP8|||
GBT0533|Gt(GBT-RP2)mn0533|RP2|||
GBT0534|Gt(GBT-RP2)mn0534|RP2|||
GBT0536|Gt(GBT-RP2)mn0536|RP2|||
GBT0538|Gt(GBT-RP2)mn0538|RP2|||
GBT0541|Gt(GBT-RP2)mn0541|RP2|||
GBT0544|Gt(GBT-RP2)mn0544|RP2|||
GBT0545|Gt(GBT-RP2)mn0545|RP2|||
GBT0549|Gt(GBT-RP2)mn0549|RP2|||
GBT0561|Gt(GBT-RP2)mn0561|RP2|||
GBT0572|Gt(GBT-RP2)mn0572|RP2|||
GBT0575|Gt(GBT-RP2)mn0575|RP2|||
GBT0583|Gt(GBT-RP2)mn0583|RP2|||
GBT0585|Gt(GBT-RP2)mn0585|RP2|||
GBT0590|Gt(GBT-RP2)mn0590|RP2|||
GBT0591|Gt(GBT-RP2)mn0591|RP2|||
GBT0592|Gt(GBT-RP2)mn0592|RP2|||
GBT0596|Gt(GBT-RP8)mn0596|RP8|||
GBT0700|Gt(GBT-RP8)mn0700|RP8|||
GBT0701|Gt(GBT-RP2)mn0701|RP2|||
GBT0703|Gt(GBT-RP2)mn0703|RP2|||
GBT0706|Gt(GBT-RP2)mn0706|RP2|||
GBT0709|Gt(GBT-RP2)mn0709|RP2|||
GBT0710|Gt(GBT-RP2)mn0710|RP2|||
GBT0711|Gt(GBT-RP2)mn0711|RP2|||
GBT0712|Gt(GBT-RP2)mn0712|RP2|||
GBT0714|Gt(GBT-RP2)mn0714|RP2|||
GBT0717|Gt(GBT-RP2)mn0717|RP2|||
GBT0719|Gt(GBT-RP2)mn0719|RP2|||
GBT0726|Gt(GBT-RP8)mn0726|RP8|||
GBT0731|Gt(GBT-RP2)mn0731|RP2|||
GBT0733|Gt(GBT-RP2)mn0733|RP2|||
GBT0734|Gt(GBT-RP2)mn0734|RP2|||
