ZDB-FISH-000215-8,Necrotic death in head. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-020426-1,day 1: abnormal midbrain/hindbrain boundary} day 2: short body; day 3-5: short body} head a bit smaller} ears lack otoliths} odd shaped. Mendelian recessive.
ZDB-FISH-020426-10,short body} cystic kidney
ZDB-FISH-020426-11,CNS necrosis} dorsally bent body.
ZDB-FISH-020426-12,day 2: less pigment} funny shaped yolk} some pericardial edema} body bent down} slightly smaller head; day 3: enlarged atrium} pericardial edema increases} notochord is widened at anterior end} otoliths are small and close together} small pectoral fins; day 5: small head and eyes} eyes too close together} no jaw} pericardial edema} grey swollen yolk} short trunk} sometimes body is degenerating.<p>Phenotype less severe in outcross lines with either an AB or Tuebingen background (Coverdale et al} 2004). Mendelian recessive.
ZDB-FISH-020426-13,mild cns necrosis} small head and eyes} body bent dorsally or S-shaped
ZDB-FISH-020426-14,CNS necrosis} thin/no yolk extension.
ZDB-FISH-020426-15,day 5: mouth agape} very little motility or touch response. Mendelian recessive.
ZDB-FISH-020426-16,cns necrosis} small head and eyes} pericardial edema
ZDB-FISH-020426-17,small head and eyes
ZDB-FISH-020426-18,CNS necrosis.
ZDB-FISH-020426-19,mild cns necrosis} small head and eyes
ZDB-FISH-020426-2,day 1: variable penetrance} variable severity of cyclopia; still alive and normal body size at day 5 but usually fail to hatch from chorion} variably narrow head with eyes closer together or slightly fused. Mendelian recessive.
ZDB-FISH-020426-20,S-shaped body} narrow head and small eyes
ZDB-FISH-020426-21,Severe brain necrosis at 24h.
ZDB-FISH-020426-22,slightly smaller head and eyes} slightly underdeveloped liver/gut. 
ZDB-FISH-020426-23,cns necrosis} small head and eyes
ZDB-FISH-020426-24,mild cns necrosis} small head and eyes} pericardial edema
ZDB-FISH-020426-25,cns necrosis} small head} very small eyes
ZDB-FISH-020426-26,day 2: begin to see kidney cysts; day 4-5 kidney cyst} pericardial edema} underdeveloped liver/gut} slightly smaller head/eyes. Mendelian recessive.
ZDB-FISH-020426-27,small head and eyes
ZDB-FISH-020426-28,day 2: no/less body pigment; day 5: less body pigment (melanophores and iridophores)} slightly underdeveloped gut. Mendelian recessive.
ZDB-FISH-020426-29,Degeneration of retinal pigment epithelium
ZDB-FISH-020426-3,day 1: short body} somites somewhat U-shaped} wavy notochord; later days - really short trunk} a bit smaller head. Mendelian recessive.
ZDB-FISH-020426-30,day 4-5: small head and eye} a bit of pericardial edema} underdeveloped liver and gut
ZDB-FISH-020426-33,cns necrosis} inflated hindbrain ventricle 36 hpf
ZDB-FISH-020426-34,thinner} pointy head} small eyes} slight pericardial edema} underdeveloped liver/gut
ZDB-FISH-020426-35,Ventrally curved tail; cystic kidney
ZDB-FISH-020426-36,day 5: sb- with slightly smaller head and eyes and very little movement/touch response (capable of spontaneous movements). Mendelian recessive.
ZDB-FISH-020426-38,mild cns necrosis} small head and eyes
ZDB-FISH-020426-39,narrower head
ZDB-FISH-020426-4,day 1: short body; later days - short and maybe bent trunk. Mendelian recessive.
ZDB-FISH-020426-40,Reduced pigmentation} cns necrosis after 4 dpf
ZDB-FISH-020426-41,day 1: brain folds are irregular} forebrain too large; day 2: brain and neural tube disorganized - cells too round and loosely packed} bit smaller eyes} bumpy head} a bit of pc edema} round yolk; day 5: body curled dorsally} tiny eyes} small head with thick jaw. Mendelian recessive.
ZDB-FISH-020426-42,small head and eyes} slight pericardial edema} underdeveloped liver/gut.
ZDB-FISH-020426-44,cns necrosis} small head and eyes
ZDB-FISH-020426-45,Stomach epithelium abnormal} small liver.
ZDB-FISH-020426-46,CNS necrosis.
ZDB-FISH-020426-48,cns necrosis} inflated hindbrain ventricle 36 hpf
ZDB-FISH-020426-49,thinner/pointy head} small eyes} slight pericardial edema
ZDB-FISH-020426-5,mild cns necrosis} small head and eyes
ZDB-FISH-020426-50,cns necrosis
ZDB-FISH-020426-51,small head and eyes} slight pericardial edema} underdeveloped liver/gut.
ZDB-FISH-020426-52,slightly smaller and rounder head} slightly smaller eyes} posterior arches reduced or missing} slightly underdeveloped liver/gut. 
ZDB-FISH-020426-53,Disorganized muscle striations} reduced circulation in tail.
ZDB-FISH-020426-6,cns necrosis} small head and eyes} pericardial edema
ZDB-FISH-020426-7,slightly smaller head and eyes} reduced touch sensitivity/motility
ZDB-FISH-020426-8,day 5: slightly smaller and rounder head} looks blockheaded (jaw does not extend anterior to the eyes); Alcian blue does not stain cartilage well} and cartilages are a bit shortened. Mendelian recessive.
ZDB-FISH-020426-9,day 3: stubby pectoral fins} day 5: a bit smaller head/jaw} stubby pectoral fins; Alcian blue staining reveals cartilages rough edged and shortened} especially Meckel's cartilage. Mendelian recessive.
ZDB-FISH-020430-1,cns necrosis} small head and eyes} pericardial edema
ZDB-FISH-020430-10,day 3-4: small head and eyes} body may curve dorsally} pericardial edema may develop; day 5: small head and eye} some anterior arch structures reduced} underdeveloped liver/guts} pericardial edema} body often bent dorsally. Mendelian recessive.
ZDB-FISH-020430-11,Small head/eyes.
ZDB-FISH-020430-12,mild cns necrosis} small head and eyes} pericardial edema} body bent or S-shaped
ZDB-FISH-020430-13,CNS necrosis; inflated hindbrain ventricle.
ZDB-FISH-020430-14,day 5: a bit rounder/smaller head; cartilage stains very poorly with Alcian blue. Mendelian recessive.
ZDB-FISH-020430-15,small head and eyes} pericardial edema
ZDB-FISH-020430-16,CNS necrosis} thin/no yolk extension.
ZDB-FISH-020430-17,small head and eyes} pericardial edema
ZDB-FISH-020430-19,Small head/eyes.
ZDB-FISH-020430-2,cns necrosis} small head and eyes
ZDB-FISH-020430-20,CNS necrosis} dorsally bent body.
ZDB-FISH-020430-21,small head and eyes
ZDB-FISH-020430-22,CNS necrosis} inflated hindbrain ventricle.
ZDB-FISH-020430-23,CNS necrosis} inflated hindbrain ventricle.
ZDB-FISH-020430-24,cns necrosis} small head and eyes
ZDB-FISH-020430-25,CNS necrosis.
ZDB-FISH-020430-26,cns necrosis
ZDB-FISH-020430-27,small head and eyes} pericardial edema
ZDB-FISH-020430-3,day 2: no pigment and a little cns necrosis; d5: less pigment} also small head and eyes} underdeveloped liver/gut} sometimes bent and/or dying. Mendelian recessive.
ZDB-FISH-020430-4,day 2: little/no body pigment} day 3 spotty body pigment} small head} small otoliths} day 5: little no body pigment} small head} eyes} and ears} underdeveloped gut} thin body. Mendelian recessive.
ZDB-FISH-020430-5,cns necrosis} small head and eyes} pericardial edema
ZDB-FISH-020430-6,day 1: hindbrain appears bumpy} day 2: no/less body pigment} head maybe shorter/blockier; day 5: less body pigment} head is a bit small and misshapen} body often bent up a little} underdeveloped liver/gut. Mendelian recessive.
ZDB-FISH-020430-7,Severe brain necrosis at 24h.
ZDB-FISH-020430-8,Small head/eyes.
ZDB-FISH-020430-9,cns necrosis
ZDB-FISH-020514-2,Recessive} fully penetrant.
ZDB-FISH-020726-1,day 5: slightly smaller head and eyes} no tap response (hearing)
ZDB-FISH-020731-1,Mendelian recessive.
ZDB-FISH-020731-2,Mendelian recessive.
ZDB-FISH-020731-8,Mendelian recessive.
ZDB-FISH-021125-1,"day 1/2: small or only 1 otolith; day 5: body slightly thin} maybe bent; jaw ""scooped out"". Mendelian recessive."
ZDB-FISH-030117-1,Mendelian recessive.
ZDB-FISH-030219-2,day 5: a bit rounder head} especially jaw reduced: Alcian blue shows lack of head cartilage. Mendelian recessive.
ZDB-FISH-030313-1,Recessive.
ZDB-FISH-030715-3,day 1: midbrain/hindbrain boundary defects} only one or no otoliths; day 2: begin to see kidney cysts; days 3-5 kidney cyst} pericardial edema} often dead or very rotten by day 5. Mendelian recessive.
ZDB-FISH-030715-4,day 1: midbrain/hindbrain boundary defects} only one or no otoliths; day 2: begin to see kidney cysts; days 3-5 kidney cyst} pericardial edema} often dead or very rotten by day 5. Mendelian recessive.
ZDB-FISH-030812-2,This is a weak allele of the <em>spg</em> locus resulting in a partially formed MHB.
ZDB-FISH-030828-1,Dominant ~50%
ZDB-FISH-030903-1,In crosses between <em>nof</em> heterozygotes} 25% of the larvae showed no eye movements in white light.
ZDB-FISH-030922-3,Mendelian recessive.
ZDB-FISH-040129-1,day 1: abnormal midbrain/hindbrain boundary} day 2: short body; day 3-5: short body} head a bit smaller} ears lack otoliths} odd shaped. Note: all phenotypes less severe than hi349 and hi1940. Mendelian recessive.
ZDB-FISH-040129-2,One otolith; midbrain/hindbrain defects.
ZDB-FISH-040129-3,day 1: U-shaped somites} mildly cyclopic; day 2: smaller eyes} too close together} pc edema denting yolk} which is grey and bloated} body thin and curled ventrally with U-shaped somites. Somewhat less severe than hi229 and hi1640. Phenotype characteristic of a Hh signaling deficiency. Mendelian recessive.
ZDB-FISH-040129-4,day 5: a bit rounder/smaller head; cartilage stains very poorly with Alcian blue. Mendelian recessive.
ZDB-FISH-040129-5,day 3: stubby pectoral fins} day 5: a bit smaller head/jaw} stubby pectoral fins; Alcian blue staining reveals cartilages rough edged and shortened} especially Meckel's cartilage. Mendelian recessive.
ZDB-FISH-040129-6,Smaller head} eyes} and otoliths
ZDB-FISH-040129-7,Split otic vesicle} jaw defects. Reduced hyomandibular and reduced third and fourth branchial arches. Embryos die after 6-7 days.
ZDB-FISH-040130-1,"day 1/2: small or only 1 otolith; day 5: body slightly thin} maybe bent; jaw ""scooped out"". Mendelian recessive."
ZDB-FISH-040130-2,1 dpf bumpy hindbrain; 2 dpf less body pigmentation
ZDB-FISH-040130-3,day 2: less pigment} funny shaped yolk} some pericardial edema} body bent down} slightly smaller head; day 3: enlarged atrium} pericardial edema increases} notochord is widened at anterior end} otoliths are small and close together} small pectoral fins; day 5: small head and eyes} eyes too close together} no jaw} pericardial edema} grey swollen yolk} short trunk} sometimes body is degenerating. Mendelian recessive.
ZDB-FISH-040130-4,Split otic vesicle} jaw defects. Reduced hyomandibular and reduced third and fourth branchial arches. Embryos die after 6-7 days.
ZDB-FISH-040213-1,day 1: short body} somites somewhat U-shaped} wavy notochord; later days - really short trunk} a bit smaller head. Mendelian recessive.
ZDB-FISH-040213-2,slightly smaller head and eyes} reduced touch sensitivity/motility
ZDB-FISH-040213-3,short body; less severe than hi1780b
ZDB-FISH-040213-6,day 1: short body (almost nothing past yolk); later days: short body} also develops cystic kidney. Mendelian recessive.
ZDB-FISH-040217-1,short body} cystic kidney
ZDB-FISH-040217-10,d2} necrotic cells in tectum and eyes. d5} die.
ZDB-FISH-040217-2,Adults have breaks in their stripes (both heterozygotes and homozygotes)
ZDB-FISH-040217-3,Adults have breaks in their stripes (both heterozygotes and homozygotes)
ZDB-FISH-040217-4,small head and eyes} slight pericardial edema} underdeveloped liver/gut.
ZDB-FISH-040217-5,d2} necrotic cells in tectum and eyes. d5} die.
ZDB-FISH-040217-6,d2} necrotic cells in tectum and eyes. d5} die.
ZDB-FISH-040217-7,d2} necrotic cells in tectum and eyes. d5} die.
ZDB-FISH-040217-8,d2} necrotic cells in tectum and eyes. d5} die.
ZDB-FISH-040217-9,d2} necrotic cells in tectum and eyes. d5} die.
ZDB-FISH-040218-1,CNS necrosis; inflated hindbrain ventricle.
ZDB-FISH-040219-1,CNS necrosis} thin/no yolk extension.
ZDB-FISH-040220-1,S-shaped body} narrow head and small eyes
ZDB-FISH-040220-2,Small head/eyes.
ZDB-FISH-040220-3,CNS necrosis} dorsally bent body.
ZDB-FISH-040220-4,mild cns necrosis} small head and eyes} body bent dorsally or S-shaped
ZDB-FISH-040220-5,mild cns necrosis} small head and eyes} pericardial edema
ZDB-FISH-040220-6,mild cns necrosis} small head and eyes} pericardial edema
ZDB-FISH-040220-7,slightly smaller and rounder head} slightly smaller eyes} posterior arches reduced or missing} slightly underdeveloped liver/gut. 
ZDB-FISH-040223-1,cns necrosis} small head and eyes
ZDB-FISH-040223-2,cns necrosis} small head and eyes} pericardial edema
ZDB-FISH-040223-3,cns necrosis} small head and eyes} pericardial edema
ZDB-FISH-040223-4,small head and eyes} pericardial edema
ZDB-FISH-040223-5,small head and eyes} pericardial edema
ZDB-FISH-040223-6,small head and eyes} pericardial edema
ZDB-FISH-040223-8,small head and eyes} pericardial edema
ZDB-FISH-040310-1,mild cns necrosis} small head and eyes; less severe phenotype than hi688
ZDB-FISH-040310-2,CNS necrosis.
ZDB-FISH-040310-3,small head and eyes} pericardial edema
ZDB-FISH-040310-4,small head and eyes} pericardial edema
ZDB-FISH-040310-5,mild cns necrosis} small head and eyes; less severe phenotype than hi821a
ZDB-FISH-040310-6,small head and eyes
ZDB-FISH-040310-7,Severe brain necrosis at 24h.
ZDB-FISH-040310-8,CNS necrosis} thin/no yolk extension.
ZDB-FISH-040310-9,cns necrosis} small head and eyes
ZDB-FISH-040312-1,cns necrosis} small head} very small eyes
ZDB-FISH-040312-2,Recessive lethal.
ZDB-FISH-040312-3,cns necrosis} small head and eyes
ZDB-FISH-040312-4,cns necrosis
ZDB-FISH-040312-5,cns necrosis
ZDB-FISH-040315-1,cns necrosis
ZDB-FISH-040315-2,cns necrosis
ZDB-FISH-040315-3,mild cns necrosis} small head and eyes
ZDB-FISH-040315-4,mild cns necrosis} small head and eyes
ZDB-FISH-040315-5,narrower head
ZDB-FISH-040316-1,cns necrosis} inflated hindbrain ventricle 36 hpf
ZDB-FISH-040316-2,cns necrosis} inflated hindbrain ventricle 36 hpf
ZDB-FISH-040323-1,Recessive lethal} maternal-effect.
ZDB-FISH-040513-3,Mendelian dominant.
ZDB-FISH-040601-1,Mendelian recessive.
ZDB-FISH-040622-1,day 1: cns necrosis and inflated hindbrain ventricle; day 2: smaller head and eyes} inflated hindbrain ventricle} rounder yolk with thin extension} ventrally bent trunk; often dead by day 5} if not: very small head and eyes} thin and possibly curled and/or degrading body
ZDB-FISH-040622-10,day 1/2 slightly pinched midbrain/hindbrain boundary} smaller head; day 3: small head and eyes} round grey yolk with thin extension} thin body; day 5: small head and eyes} underdeveloped liver/gut} sometimes inflate swim bladder (note: this phenotype seems very variable in severity)
ZDB-FISH-040622-11,day 1: slightly pinched midbrain/hindbrain boundary} a little cns necrosis; day 2: slightly smaller head and eyes; day 5: small head and eyes} underdeveloped guts} sometimes a little pericardial edema
ZDB-FISH-040622-12,day 1: pinched midbrain/hindbrain boundary} a bit of cns necrosis; day 2: a bit smaller head and eyes} round grey yolk with thin extension; day 5: small head and eyes} thin body} underdeveloped guts} round grey yolk
ZDB-FISH-040622-2,day 1: slightly pinched midbrain/hindbrain boundary} a little cns necrosis} day 2: small head} some cns necrosis} inflated hindbrain ventricle} thin yolk extension; day 5: very small head and eyes} underdeveloped liver/gut} thin body
ZDB-FISH-040622-3,day 1: a little cns necrosis (flatter and grainy head); day 2: a bit cns necrosis} small head and eyes; day 5: small head and eyes} underdeveloped liver/gut} round unconsumed yolk} thin body
ZDB-FISH-040622-4,day 1: a bit of cns necrosis; day 2: a bit smaller head and eyes} hindbrain ventricle inflated a bit} round grey yolk with thin extension; day 5: small head and eyes} thin body} underdeveloped liver/gut} a bit of pericardial edema} sometimes trunk bent dorsally
ZDB-FISH-040622-5,day 1: pinched midbrain/hindbrain boundary} a little cns necrosis; day 2: somewhat smaller head and eyes} round grey yolk with thin extension; day 5: small head and eyes} thin body} round grey yolk} underdeveloped liver/gut} pericardial edema
ZDB-FISH-040622-6,day 1: pinched midbrain/hindbrain boundary} a bit of cns necrosis; day 2: a bit smaller head and eyes} hindbrain ventricle slightly inflated} round grey yolk with thin extension; day 5: small head and eyes} underdeveloped liver/gut} a bit of pericardial edema} sometimes trunk bent dorsally
ZDB-FISH-040622-7,day 1: pinched midbrain/hindbrain boundary} a little of cns necrosis; day 2: small head and eyes} inflated hindbrain ventricle} thin body} rounder yolk with thin extension; day 5: often dead: if not: small head and eyes} thin or necrotic body} round grey yolk} underdeveloped liver/gut} pericardial edema
ZDB-FISH-040622-9,day 2: small head and eyes} slightly inflated hindbrain ventricle} round yolk with thin extension; day 5: a bit smaller head and eyes} underdeveloped liver/gut} sometimes a little pericardial edema
ZDB-FISH-040701-1,Mendelian recessive.
ZDB-FISH-040709-1,day 4-5: small head and eyes } a little pericardial edema} underdeveloped liver/gut} sometimes bent and/or thin/necrotic body or tail 
ZDB-FISH-040709-2,day 3: slightly smaller head and eyes} spotty pigment in eyes; day 5: slightly narrow head} eye pigment speckled} no xanthophores} sometimes inflate swim bladder
ZDB-FISH-040709-3,day 1: pinched midbrain/hindbrain boundary} a bit of cns necrosis; day 2: small head and eyes} inflated hindbrain ventricle} thin body} rounder yolk with thin extension; day 5: very small head and eyes} thin body with underdeveloped liver/gut
ZDB-FISH-040712-1,day 3: slightly smaller head and eyes; day 5 narrower head} slightly smaller eye} a bit of pc edema} underdeveloped liver/gut
ZDB-FISH-040712-2,day 5: a bit smaller head and eyes} smaller liver} slightly underdeveloped gut
ZDB-FISH-040712-3,day 5: a bit smaller head and eyes} smaller liver} slightly underdeveloped gut
ZDB-FISH-040712-4,day 2: cns necrosis} bit smaller head and eyes; day 5: very small head and eyes} underdeveloped liver/guts and pericardial edema
ZDB-FISH-040713-1,day 1: cns necrosis} flat head; day 2 very bad necrosis; most dead by day 5
ZDB-FISH-040713-10,day 1: a little cyclopic (i.e. eyes closer together and/or partially fused)} body bent ventrally; days 2-5} a little cyclopic with bulging forebrain} ventrally bent body} underdeveloped liver/gut
ZDB-FISH-040713-3,day 3: small head and eyes} round grey yolk; day 5: small head and eyes} underdeveloped liver/gut} often a bit of pericardial edema
ZDB-FISH-040713-4,day 5: slightly smaller and rounder head} looks blockheaded (jaw does not extend anterior to the eyes); Alcian blue does not stain cartilage well} and cartilages are a bit shortened
ZDB-FISH-040713-5,day 2-5: no otoliths
ZDB-FISH-040713-6,day 2: slightly smaller head and eyes; day 3: smaller head and eyes} rounder yolk; day 5: smaller head and eyes} underdeveloped liver and gut
ZDB-FISH-040713-7,day 1: pinched midbrain/hindbrain boundary} a little cns necrosis; day 2: small head and eyes} inflated hindbrain ventricle} thin body} rounder yolk with thin extension; day 5:sometimes dead} if not: very small head and eyes} thin/wasting body} round grey yolk} pericardial edema} underdeveloped liver/gut
ZDB-FISH-040713-8,day 1: pinched midbrain/hindbrain boundary} a little cns necrosis; day 2: small head and eyes} inflated hindbrain ventricle} thin body} rounder yolk with thin extension; day 5:sometimes dead} if not: very small head and eyes} thin/wasting body} round grey yolk} pericardial edema} underdeveloped liver/gut
ZDB-FISH-040713-9,day 2: small head and eye} rounder yolk with thin extension; day 5: small head and eyes} underdeveloped liver/gut} pericardial edema 
ZDB-FISH-040714-1,day 1: cns necrosis} flat head; day 2 very bad necrosis; usually dead by day 5
ZDB-FISH-040714-2,day 5: a bit smaller/narrower head/eyes} slightly underdeveloped guts
ZDB-FISH-040714-3,day 5: a bit smaller/narrower head/eyes} slightly underdeveloped guts
ZDB-FISH-040714-4,day 2: ventrally curved body} may see beginning of kidney cyst; day 5} ventral curved trunk} kidney cyst
ZDB-FISH-040714-5,day 5: slightly smaller head and eyes} body bent ventrally a little
ZDB-FISH-040714-6,day 1: cns necrosis} flat head; day 2 very bad necrosis; usually dead by day 5
ZDB-FISH-040715-1,day 2: a bit cns necrosis and smaller head and eye; day 5: small and necrotic head and eyes} underdeveloped liver/gut and often pericardial edema
ZDB-FISH-040715-4,day 2: mild cns necrosis; day 3: small head and eyes; day 5: small head and eyes} variable pericardial edema} underdeveloped liver/gut
ZDB-FISH-040715-5,d2: mild cns necrosis; day 5: small head and eyes} underdeveloped liver/gut; note: this is a very mild allele} the other three alleles are more severe
ZDB-FISH-040715-6,d2: cns necrosis} small head and eyes} rounder yolk} day 5: small head and eyes} underdeveloped liver/gut} sometimes trunk bent dorsally; note: stronger allele than hi557 
ZDB-FISH-040715-7,d2: cns necrosis} small head and eyes} rounder yolk} day 5: small head and eyes} underdeveloped liver/gut} sometimes trunk bent dorsally; note: stronger allele than hi557 
ZDB-FISH-040715-8,d2: cns necrosis} small head and eyes} rounder yolk} day 5: small head and eyes} underdeveloped liver/gut} sometimes trunk bent dorsally; note: stronger allele than hi557 
ZDB-FISH-040716-1,day 5: smaller head and eyes} thick jaw} underdeveloped liver/gut 
ZDB-FISH-040716-2,day 3-5 body bent dorsally (variable penetrance)
ZDB-FISH-040716-3,day 3-5 body bent dorsally (variable penetrance)
ZDB-FISH-040716-4,day 3-5 body bent dorsally (variable penetrance)
