ZDB-FISH-060608-1,t30230,;Adult: behavior (abnormal); drug resistance (abnormal); ,,"Assay: Amphetamine<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-39"">Laure Bally-Cuif</a> / <a href=""ZFIN_jump?record=ZDB-PERS-020116-15"">Jovica Ninkovic</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-109,t30511,;Day 5: lens round (abnormal); visual behavior (abnormal); ,"7/14 fish -- irregular eye form\"";"" opaque ""ball"" in lens <b>Details:</b>","Assay: Eye move<br>Description: 7/14 fish -- irregular eye form\"";"" opaque ""ball"" in lens<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-11,t30804,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-110,t30858,;Day 5: lymphatic system decreased (abnormal); wound healing (abnormal); ,7/16 -- Deformed/delayed; p63 shows blisters and foci <b>Details:</b>,"Assay: wound healing<br>Description: 7/16 -- Deformed/delayed; p63 shows blisters and foci<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a> / <a href=""ZFIN_jump?record=ZDB-PERS-010515-13"">Tom Carney</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-111,t30509,;Day 5: eye large size (abnormal); visual behavior (abnormal); ,7/17 fish -- irregular shape of eyes (wave-like); eyes flat and unusually big (about twice of normal eye size) <b>Details:</b>,"Assay: Eye move<br>Description: 7/17 fish -- irregular shape of eyes (wave-like); eyes flat and unusually big (about twice of normal eye size)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-112,t30613,;Day 5: eye large size (abnormal); visual behavior (abnormal); ,"7/29 fish -- extremely enlarged eyes (increased IOP?)\"";"" enlarged pupil\"";"" small body size; pupil not completely closed?; glaucoma? <b>Details:</b>","Assay: Eye move<br>Description: 7/29 fish -- extremely enlarged eyes (increased IOP?)\"";"" enlarged pupil\"";"" small body size; pupil not completely closed?; glaucoma?<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-113,t30891,;Day 5: lymphatic system decreased (abnormal); wound healing (abnormal); ,"7/30 -- Broad ventral skin and melanophore patch on yolk\"";"" foci <b>Details:</b>","Assay: wound healing<br>Description: 7/30 -- Broad ventral skin and melanophore patch on yolk\"";"" foci<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a> / <a href=""ZFIN_jump?record=ZDB-PERS-010515-13"">Tom Carney</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-114,t30924,;Day 5: ventral fin fold (abnormal/absent); wound healing (abnormal); ,7/30 -- Variably absent ventral medial fin <b>Details:</b>,"Assay: wound healing<br>Description: 7/30 -- Variably absent ventral medial fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a> / <a href=""ZFIN_jump?record=ZDB-PERS-010515-13"">Tom Carney</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-115,t30444,;Day 5: lens structure (abnormal); visual behavior (abnormal); ,8/14 fish -- cloudy lens  (white dot in middle of cornea) <b>Details:</b>,"Assay: Eye move<br>Description: 8/14 fish -- cloudy lens  (white dot in middle of cornea)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-116,t30360,;Adult: caudal fin thin (abnormal); ,8-10/18 show thinning of caudal fin. One found with altered premaxillae phenotype. <b>Details:</b>,"Assay: Dermal Bone<br>Description: 8-10/18 show thinning of caudal fin. One found with altered premaxillae phenotype.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-117,t30757,;Day 5: lens structure (abnormal); visual behavior (abnormal); ,"9/19 fish small body size\"";"" dark appearance\"";"" cataract (cloudy\"";"" ball-like lens)\"";"" distorted lens <b>Details:</b>","Assay: Eye move<br>Description: 9/19 fish small body size\"";"" dark appearance\"";"" cataract (cloudy\"";"" ball-like lens)\"";"" distorted lens<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-118,t30918,;Day 5: lymphatic system decreased (abnormal); wound healing (abnormal); ,9/25 -- fainter/no p63 nuclei in between somites? <b>Details:</b>,"Assay: wound healing<br>Description: 9/25 -- fainter/no p63 nuclei in between somites?<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a> / <a href=""ZFIN_jump?record=ZDB-PERS-010515-13"">Tom Carney</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-119,t30227,;Long-pec to Pec-fin: brain pattern (abnormal); ,"9/28: expanded tectum (at 34hpf); expanded 3rd ventricle (at 34hpf)\"";"" wider separation of the <em>tph2</em> domain and anterior-posterior compaction of the <em>tph2</em> domain <b>Details:</b>","Assay: Serotonergic system<br>Description: 9/28: expanded tectum (at 34hpf); expanded 3rd ventricle (at 34hpf)\"";"" wider separation of the <em>tph2</em> domain and anterior-posterior compaction of the <em>tph2</em> domain<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-050505-8"">Christian Stigloher</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-12,t30807,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-120,t30926,;Day 5: pectoral fin degenerate (abnormal); wound healing (abnormal); ,9/30 -- posterior and pec fin degeneration. <b>Details:</b>,"Assay: wound healing<br>Description: 9/30 -- posterior and pec fin degeneration.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a> / <a href=""ZFIN_jump?record=ZDB-PERS-010515-13"">Tom Carney</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-121,t30973,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,a lot dead on day 2 <b>Details:</b>,"Assay: heart morphology<br>Description: a lot dead on day 2<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-122,t30502,;cell migration (abnormal); Day 4: macrophages increased number (abnormal); ,Accumulation of macrophages at the borders and in the eye <b>Details:</b>,"Assay: Macrophage migration<br>Description: Accumulation of macrophages at the borders and in the eye<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-123,t30459,;Adult: cranial skeleton thin (abnormal); ,"accumulation of phenotypes by AR. Suture\"";"" metopic suture shape\"";"" 2 with longer and narrow jaws\"";"" 2 with skull shape changes although maybe slight. <b>Details:</b>","Assay: Dermal Bone<br>Description: accumulation of phenotypes by AR. Suture\"";"" metopic suture shape\"";"" 2 with longer and narrow jaws\"";"" 2 with skull shape changes although maybe slight.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-124,t30270,;Day 5: epidermal cell structure (abnormal); ,accumulation of rounded up cells in the fin fold. Pericardial oedema. <b>Details:</b>,"Assay: Skin 1<br>Description: accumulation of rounded up cells in the fin fold. Pericardial oedema.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-125,t30462,;Adult: opercle thin (abnormal); ,additional branchiostegal ray. Problems finding fifth arch. 2 mutants found. <b>Details:</b>,"Assay: Dermal Bone<br>Description: additional branchiostegal ray. Problems finding fifth arch. 2 mutants found.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-126,t30541,;Adult: cranial skeleton pattern (abnormal); ,additional suture or bone in frontal bone. Only one seen. <b>Details:</b>,"Assay: Dermal Bone<br>Description: additional suture or bone in frontal bone. Only one seen.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-127,t30948,;brain development (abnormal); Protruding-mouth: brain pattern (abnormal); ,AGRP and POMC reduced or absent in arcuate nuclei <b>Details:</b>,"Assay: Pituitary screen<br>Description: AGRP and POMC reduced or absent in arcuate nuclei<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-128,t30186,;Day 5: lens structure (abnormal); visual behavior (abnormal); ,"all fish: irregular eye shape\"";"" white lens; 4/8 fish:  black and thin; one normal fish <b>Details:</b>","Assay: Eye move<br>Description: all fish: irregular eye shape\"";"" white lens; 4/8 fish:  black and thin; one normal fish<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-129,t30337,;cell migration (abnormal); Day 4: macrophages (abnormal/absent); ,Almost no microglial cells in the brain. Accumulation of red cells on hatching gland <b>Details:</b>,"Assay: Macrophage migration<br>Description: Almost no microglial cells in the brain. Accumulation of red cells on hatching gland<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-13,t30808,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-130,t30503,;cell migration (abnormal); Day 4: macrophages decreased number (abnormal); ,Almost no red cells. Morphology OK <b>Details:</b>,"Assay: Macrophage migration<br>Description: Almost no red cells. Morphology OK<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-131,t30618,;Adult: fins shape (abnormal); ,Altered fin shape of caudal dorsal and anal fins; sometimes pectoral. <b>Details:</b>,"Assay: Dermal Bone<br>Description: Altered fin shape of caudal dorsal and anal fins; sometimes pectoral.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-132,t30921,;Protruding-mouth: brain asymmetrical (abnormal); brain development (abnormal); ,anterior posterior axis of the pituitary turned by about 45 degrees <b>Details:</b>,"Assay: Pituitary screen<br>Description: anterior posterior axis of the pituitary turned by about 45 degrees<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-133,t30976,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,arrest at gastrulation <b>Details:</b>,"Assay: heart morphology<br>Description: arrest at gastrulation<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-134,t30908,;cell migration (abnormal); Day 4: macrophages relative_quantity (normal); ,"bigger\"";"" normal number cells in the head. Cells around the heart and the pec fins. <b>Details:</b>","Assay: Macrophage migration<br>Description: bigger\"";"" normal number cells in the head. Cells around the heart and the pec fins.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-020719-19"">Francesca Peri</a> / <a href=""ZFIN_jump?record=ZDB-PERS-031117-4"">Muriel Tauzin</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-135,t30464,;Adult: branchiostegal rays malformed (abnormal); ,branchiostegal rays mispatterned. <b>Details:</b>,"Assay: Dermal Bone<br>Description: branchiostegal rays mispatterned.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-136,t30308,;Adult: melanophore stripe wide (abnormal); ,"broad melanophore stripes\"";"" narrow xanthophore stripes <b>Details:</b>","Assay: Pigmentation<br>Description: broad melanophore stripes\"";"" narrow xanthophore stripes<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-9"">Hans Georg Frohnh&ouml;fer</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-137,t30796,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,Cardiac edema and blood accumulation <b>Details:</b>,"Assay: heart morphology<br>Description: Cardiac edema and blood accumulation<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-138,t30974,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,"cardiac edema\"";"" some display space between yolk extension and embryo <b>Details:</b>","Assay: heart morphology<br>Description: cardiac edema\"";"" some display space between yolk extension and embryo<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-139,t30975,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,cardiac edemas <b>Details:</b>,"Assay: heart morphology<br>Description: cardiac edemas<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-14,t30809,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-140,t30746,;Adult: fins degenerate (abnormal); ,caudal fin degeneration <b>Details:</b>,"Assay: Dermal Bone<br>Description: caudal fin degeneration<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-141,t30788,;Adult: caudal fin structure (abnormal); growth (abnormal); ,caudal fin degeneration <b>Details:</b>,"Assay: Regeneration 2<br>Description: caudal fin degeneration<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-142,t30572,;Day 5: epidermis necrotic (abnormal); ,Caudal fin fold and pectoral fin necrotic. Rest of the larva looks fine. <b>Details:</b>,"Assay: Skin 1<br>Description: Caudal fin fold and pectoral fin necrotic. Rest of the larva looks fine.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-143,t30285,;Day 5: epidermis structure (abnormal); ,Cell accumulation over yolk. Pericardial oedema. Skin detached and forms blisters. <b>Details:</b>,"Assay: Skin 1<br>Description: Cell accumulation over yolk. Pericardial oedema. Skin detached and forms blisters.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-144,t30855,;Day 5: epidermis structure (abnormal); wound healing (abnormal); ,chin blister <b>Details:</b>,"Assay: wound healing<br>Description: chin blister<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-226"">Matthias Hammerschmidt</a> / <a href=""ZFIN_jump?record=ZDB-PERS-010515-13"">Tom Carney</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-145,t30423,;High-pec: epidermis structure (abnormal); ,Chorion filled with floating cells. Rounded up cells in the fin folds. Heart dilated. <b>Details:</b>,"Assay: Skin 1<br>Description: Chorion filled with floating cells. Rounded up cells in the fin folds. Heart dilated.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-001110-15"">Mahendra Sonawane</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-146,t30780,;Adult: scales malformed (abnormal); ,"clustered scale mispatterning\"";"" along dorsal side creates a scale ""shelf"". <b>Details:</b>","Assay: Dermal Bone<br>Description: clustered scale mispatterning\"";"" along dorsal side creates a scale ""shelf"".<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030612-10"">Matthew Harris</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-147,t30510,;Day 5: eye degenerate (abnormal); visual behavior (abnormal); ,"completely degenerated eyes\"";"" small\"";"" black <b>Details:</b>","Assay: Eye move<br>Description: completely degenerated eyes\"";"" small\"";"" black<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-060328-1"">Valerie Fleisch</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-148,t30707,;heart development (abnormal); Prim-5: heart tube shape (abnormal); ,"completely depigmented with very compact heart presented by ventricle only? No blood cells\"";"" no peripheral circulation\"";"" pericardial edema. Incross 01 shows a gut phenotype. <b>Details:</b>","Assay: Heart development<br>Description: completely depigmented with very compact heart presented by ventricle only? No blood cells\"";"" no peripheral circulation\"";"" pericardial edema. Incross 01 shows a gut phenotype.<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-14"">Salim Abdelilah-Seyfried</a> / Nana Bit-Avragim\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-149,t30392,;insulin processing (abnormal); Long-pec: pancreas disoriented (abnormal); ,completely disorganised insulin bud in 2 embryos; the head of the two embryos is smaller comparatively <b>Details:</b>,"Assay: Pancreas<br>Description: completely disorganised insulin bud in 2 embryos; the head of the two embryos is smaller comparatively<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-970909-65"">Dirk Meyer</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
ZDB-FISH-060608-15,t30840,;heart development (abnormal); Long-pec: heart tube placement (abnormal); ,,"Assay: heart morphology<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-980519-6"">Jeroen Bakkers</a> / Manon Verhoeven\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
