melanophore shape / size,unspecified,melanophores ,ZDB-ANAT-040708-2,morphology,abnormal
melanophores,unspecified,melanophores ,ZDB-ANAT-040708-2,qualitative,abnormal
melanophores and iridophores,unspecified,melanophores ,ZDB-ANAT-040708-2,qualitative,abnormal
melanophores and iridophores,unspecified,iridophores,ZDB-ANAT-040708-1,qualitative,abnormal
melanophores and xanthophores,unspecified,melanophores ,ZDB-ANAT-040708-2,qualitative,abnormal
melanophores and xanthophores,unspecified,xanthophores ,ZDB-ANAT-040708-3,qualitative,abnormal
midbrain,unspecified,midbrain,ZDB-ANAT-010921-555,qualitative,abnormal
midbrain hindbrain boundary,unspecified,midbrain hindbrain boundary,ZDB-ANAT-010921-455,qualitative,abnormal
motility,unspecified,musculoskeletal movement,GO:0050881,qualitative,abnormal
motility defect,unspecified,musculoskeletal movement,GO:0050881,qualitative,abnormal
motor axons,unspecified,motor axons peripheral,ZDB-ANAT-020309-50,qualitative,abnormal
motor capabilities,unspecified,musculoskeletal movement,GO:0050881,qualitative,abnormal
mouth,unspecified,mouth,ZDB-ANAT-011113-468,qualitative,abnormal
muscle fibers,unspecified,body musculature,ZDB-ANAT-011113-399,qualitative,abnormal
myoseptum,unspecified,myoseptum,ZDB-ANAT-031211-5,qualitative,abnormal
nervous system ,unspecified,nervous system ,ZDB-ANAT-011113-319,qualitative,abnormal
neural tube,unspecified,neural tube,ZDB-ANAT-050228-47,qualitative,abnormal
neurocoel,unspecified,central canal,ZDB-ANAT-020309-300,qualitative,abnormal
neuroretina,unspecified,neural layer,ZDB-ANAT-010921-459,qualitative,abnormal
nonmotile,unspecified,musculoskeletal movement,GO:0050881,quantitative,absent
nonmotile / no muscle striation,unspecified,musculoskeletal movement,GO:0050881,quantitative,absent
notochord,unspecified,notochord,ZDB-ANAT-010921-564,qualitative,abnormal
notochord and somites,unspecified,notochord,ZDB-ANAT-010921-564,qualitative,abnormal
notochord and somites,unspecified,somites,ZDB-ANAT-010921-591 ,qualitative,abnormal
notochord degeneration,unspecified,notochord,ZDB-ANAT-010921-564,structure,degenerate
notochord differentiation,unspecified,notochord development,GO:0030903,qualitative,abnormal
notochord others,unspecified,notochord,ZDB-ANAT-010921-564,qualitative,abnormal
notochord undulating,unspecified,notochord,ZDB-ANAT-010921-564,shape,curved
olfactory placodes,unspecified,olfactory placode,ZDB-ANAT-010921-464,qualitative,abnormal
otoliths,unspecified,immature otoliths,ZDB-ANAT-010921-569,qualitative,abnormal
pectoral fins,unspecified,pectoral fin,ZDB-ANAT-050304-1,qualitative,abnormal
pigment pattern,unspecified,pigment cells,ZDB-ANAT-010921-474,pattern,irregular
pigmentation,unspecified,pigment cells,ZDB-ANAT-010921-474,qualitative,abnormal
primary motor axons,unspecified,primary motoneurons,ZDB-ANAT-011113-498,qualitative,abnormal
quiver,unspecified,musculoskeletal movement,GO:0050881,qualitative,abnormal
reduced blood,unspecified,blood,ZDB-ANAT-010921-414,qualitative,decreased
reduced fins,unspecified,fins,ZDB-ANAT-010921-533,relative_size,small
reduced motility,unspecified,musculoskeletal movement,GO:0050881,qualitative,decreased
reduced or no muscle striation,unspecified,body musculature,ZDB-ANAT-011113-399,qualitative,abnormal
retinal pigmented epithelium,unspecified,pigmented epithelium,ZDB-ANAT-010921-575,qualitative,abnormal
retinal tectal anterior / posterior,unspecified,retinal ganglion cell axon guidance,GO:0031290,qualitative,abnormal
retinal tectal dorsal / ventral,unspecified,retinal ganglion cell axon guidance,GO:0031290,qualitative,abnormal
retinal tectal pathfinding,unspecified,retinal ganglion cell axon guidance,GO:0031290,qualitative,abnormal
retinal tectal projections,unspecified,retinal ganglion cell axon guidance,GO:0031290,qualitative,abnormal
retinal tectal termination,unspecified,retinal ganglion cell axon guidance,GO:0031290,qualitative,abnormal
rohon-beard cells,unspecified,Rohon-Beard neurons,ZDB-ANAT-010921-407,qualitative,abnormal
short body,unspecified,whole organism,ZDB-ANAT-050228-1,relative_length,short_length
sinusoidal body,unspecified,whole organism,ZDB-ANAT-050228-1,shape,curved
situs inversus,unspecified,embryonic structures,ZDB-ANAT-050228-2,placement,inverted
skin,unspecified,integument,ZDB-ANAT-011113-292,qualitative,abnormal
small brain,unspecified,brain,ZDB-ANAT-010921-415,relative_size,small
small eyes,unspecified,eye,ZDB-ANAT-010921-532,relative_size,small
small eyes and small hyoid,unspecified,eye,ZDB-ANAT-010921-532,relative_size,small
small eyes and small hyoid,unspecified,hyoid arch,ZDB-ANAT-050711-86,relative_size,small
somite boundaries,unspecified,somites,ZDB-ANAT-010921-591 ,qualitative,abnormal
somite degeneration,unspecified,somites,ZDB-ANAT-010921-591 ,structure,degenerate
somite size,unspecified,somites,ZDB-ANAT-010921-591 ,relative_size,abnormal
somites,unspecified,somites,ZDB-ANAT-010921-591 ,qualitative,abnormal
swim bladder,unspecified,swim bladder,ZDB-ANAT-010921-495,qualitative,abnormal
symplectics,unspecified,symplectic,ZDB-ANAT-011113-77,qualitative,abnormal
tail,unspecified,tail,ZDB-ANAT-050228-30,qualitative,abnormal
tail curled down,unspecified,tail,ZDB-ANAT-050228-30,shape,curled
tail curled sideways,unspecified,tail,ZDB-ANAT-050228-30,shape,curled
tail curled up,unspecified,tail,ZDB-ANAT-050228-30,shape,curled
tail somites,unspecified,tail,ZDB-ANAT-050228-30,structure,abnormal
tectum necrosis,unspecified,optic tectum,ZDB-ANAT-011113-37,structure,necrotic
touch response,unspecified,response to external stimulus,GO:0009605,qualitative,abnormal
tract of the postoptic commissure,unspecified,tract of the postoptic commissure,ZDB-ANAT-060131-40,qualitative,abnormal
undulated notochord,unspecified,notochord,ZDB-ANAT-010921-564,shape,curved
upper jaw,unspecified,upper jaw,ZDB-ANAT-020309-115,qualitative,abnormal
ventricles,unspecified,brain,ZDB-ANAT-010921-415,qualitative,abnormal
xanthophore,unspecified,xanthophores ,ZDB-ANAT-040708-3,qualitative,abnormal
xanthophores and iridophores,unspecified,xanthophores ,ZDB-ANAT-040708-3,qualitative,abnormal
xanthophores and iridophores,unspecified,iridophores,ZDB-ANAT-040708-1,qualitative,abnormal
xanthophores lethal,unspecified,xanthophores ,ZDB-ANAT-040708-3,qualitative,abnormal
xanthophores viable,unspecified,xanthophores ,ZDB-ANAT-040708-3,qualitative,abnormal
yolk,unspecified,yolk,ZDB-ANAT-010921-503,qualitative,abnormal
