include	disk_filename	view	direction	form	preparation	fig_label	caption	note
N		ventral	anterior to the top	confocal single section	whole mount	mnx2b_cyan_cntn2_magenta_3dpf_251219_emb1_mVI_mVII_ventral_(RGB)	cntn2 HCR (magenta), mnx2b (cyan) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in facial (CN VII) and abducens (CN VI; arrows) motor neurons in hindbrain rhombomeres (r)5 and r6. Mnx2 marks CN VI motor neurons, some of which also express cntn2 at this stage. Cntn2 is also expressed strongly in a subset of CNVII neurons. Single z-section in ventral view with anterior to the top. Ovals: vagus motor neurons (CN X).	SUPERSEDED - resolved 2026-08-11 and loaded via the appended row at the end of this file (stem mnx2b_cyan_cntn2_magenta_3dpf_emb1_251219_mVII_mVI_ventral_annotated_(RGB)). Kept as the record of the original sheet row.
Y	cntn2_magenta_3dpf_20241011_emb1_ventral_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	cntn2_magenta_3dpf_20241011_emb1_ventral_mX_(RGB)	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	cntn2_magenta_6dpf_emb3_20251219_mV r3_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	cntn2_magenta_6dpf_emb3_20251219_mV r3_ventral_(RGB)	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)3 but not r2. Single z-section in ventral view with anterior to the top. Arrows: genu of the facial nerve (CN VII).	exact
Y	cntn2_magenta_6dpf_emb2_20251219_mVII r6_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	cntn2_magenta_6dpf_emb2_20251219_mVII r6_ventral_(RGB)	cntn2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in facial motor neurons (CN VII) in hindbrain rhombomere (r)6. Single z-section in ventral view with anterior to the top.	exact
Y	dgkaa_magenta_48hpf_20251010_emb4_mX_lateral_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	dgkaa_magenta_48hpf_20251010_emb4_mX_lateral_(RGB)	dgkaa HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	dgkaa_magenta_3dpf_20240923_emb2_dorsal_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	dgkaa_magenta_3dpf_20240923_emb2_dorsal_mX_(RGB)	dgkaa HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	dgkaa_magenta_3dpf_20251009_emb4_mX_lateral_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	dgkaa_magenta_3dpf_20251009_emb4_mX_lateral_(RGB)	dgkaa HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	MAX_crabp1b_48h_20250502__emb1_mIX.tif (RGB)-1.tif	lateral	anterior to the left	confocal maximum intensity projection	whole mount	MAX_crabp1b_48h_20250502__emb1_mIX.tif (RGB)-1	crabp1b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in anterior vagus (CN X) and glossopharyngeal (CN IX) motor neurons (circled). Maximum intensity projection in lateral view with anterior to the left. Arrow indicates the root of the vagus nerve after it exits the hindbrain.	exact
N		ventral	anterior to the top	confocal single section	whole mount	crabp1b_magenta_3dpf_20240920_emb2_maybe mIX_(RGB)	crabp1b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in glossopharyngeal (CN IX) and/or anterior-most vagus (CN X) motor neurons (arrows). Single z-section in ventral view with anterior to the top.	SUPERSEDED - curator supplied the image 2026-08-10; loaded via the appended row for crabp1b_magenta_3dpf_20240920_emb3_ventral_mIX_(RGB)
Y	efna2b_magenta_48h_20250623_emb4_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	efna2b_magenta_48h_20250623_emb4_mX_ventral_(RGB)	efna2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	efna2b_48h_20250623_emb1_mX_lateral_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	efna2b_48h_20250623_emb1_mX_lateral_(RGB)	efna2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	efna2b_magenta_3dpf_20250527_emb4_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	efna2b_magenta_3dpf_20250527_emb4_mX_ventral_(RGB)	efna2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	efna2b_magenta_3dpf_20250527_emb5_mX_lateral_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	efna2b_magenta_3dpf_20250527_emb5_mX_lateral_(RGB)	efna2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	exact
Y	efna2b_magenta_6d_20250618_emb4_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	efna2b_magenta_6d_20250618_emb4_mX_ventral_(RGB)	efna2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	erfl1_magenta_48h_20250620_emb2_lateral_mX_mIX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	erfl1_magenta_48h_20250620_emb2_lateral_mX_mIX_(RGB)	erfl1 HCR (magenta) and Tg(isl1: GFP-CAAX) (green) at 48 hpf in glossopharyngeal(CN IX) and vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	esrrga_magenta_48h_251119_emb2_faint mIII_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	esrrga_magenta_48h_251119_emb2_faint mIII_ventral_(RGB)	esrrga HCR (magenta) and Tg(isl1: GFP-CAAX) (green) at 48 hpf in ventral oculomotor (CN III; bracket) and trochlear (CN IV; arrows) motor neurons. Single z-section in ventral view with anterior to the top.	exact
Y	esrrga_magenta_48h_251119_emb3_mIV_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	esrrga_magenta_48h_251119_emb3_mIV_ventral_(RGB)	esrrga HCR (magenta) and Tg(isl1: GFP-CAAX) (green) at 48 hpf in dorsal oculomotor (CN III) and trochlear (CN IV) motor neurons. Single z-section in ventral view with anterior to the top.	exact
Y	esrrga_magenta_3dpf_20251006_emb4_faint mIII_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	esrrga_magenta_3dpf_20251006_emb4_faint mIII_ventral_(RGB)	esrrga HCR (magenta) and Tg(isl1: GFP-CAAX) (green) at 3 dpf in ventral oculomotormotor (CN III) motor neurons. Single z-section in ventral view with anterior to the top.	exact
Y	esrrga_magenta_3dpf_20251006_emb4_mIV_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	esrrga_magenta_3dpf_20251006_emb4_mIV_ventral_(RGB)	esrrga HCR (magenta) and Tg(isl1: GFP-CAAX) (green) at 3 dpf in dorsal oculomotor (CN III) and trochlear (CN IV) motor neurons. Single z-section in ventral view with anterior to the top.	exact
Y	gata2b_magenta_26h_20241119_emb1_ventral_mVII r6_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	gata2b_magenta_26h_20241119_emb1_ventral_mVII r6_(RGB)	gata2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 26 hpf in migrating facial motor neurons (CN VII) in hindbrain rhombomeres (r)6 and r7. Single z-section in ventral view with anterior to the top.	exact
Y	gata2b_magenta_48hpf_20251029_emb1_mVII r6_PMT light_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	gata2b_magenta_48hpf_20251029_emb1_mVII r6_PMT light_(RGB)	gata2b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in facial motor neurons (CN VII) in hindbrain rhombomeres (r)6 and r7. Single z-section in ventral view with anterior is to the top.	exact
Y	gcgra_magenta_48h_20250423_emb3_lateral_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	gcgra_magenta_48h_20250423_emb3_lateral_mX_(RGB)	gcgra HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in a few of the most dorsal vagal motor neurons (CN X). Single z-section in lateral view with anterior is to the left.	auto-map r=1.00
Y	gulp1a_magenta_48h_20250311_emb2_lateral_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	gulp1a_magenta_48h_20250311_emb2_lateral_mX_(RGB)	gulp1a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in the dorsal vagal motor neurons (CN X). Single z-section in lateral view with anterior is to the left.	exact
Y	hoxc6b_48h_20250908_emb4_mX_lateral_single(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	hoxc6b_48h_20250908_emb4_mX_lateral_single(RGB)	hoxc6b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in the dorsal vagal motor neurons (CN X). Single z-section in lateral view with anterior is to the left.	exact
Y	hoxc6b_magenta_3dpf_20241209_lateral_vagus_emb3_side1-1_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	hoxc6b_magenta_3dpf_20241209_lateral_vagus_emb3_side1-1_(RGB)	hoxc6b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in the dorsal vagal motor neurons (CN X). Single z-section in lateral view with anterior is to the left.	exact
Y	kcng1_magenta_48hpf_20251030_emb4_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	kcng1_magenta_48hpf_20251030_emb4_mX_ventral_(RGB)	kcng1 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior to the top.	exact
Y	kcng1_magenta_3dpf_20241004_emb3_lateral_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	kcng1_magenta_3dpf_20241004_emb3_lateral_mX_(RGB)	kcng1 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior to the left.	auto-map r=1.00
Y	otx2a_48hpf_emb6_20251117_mIV_mIII_single.tif (RGB)-1.tif	ventral	anterior to the top	confocal single section	whole mount	otx2a_48hpf_emb6_20251117_mIV_mIII_single.tif (RGB)-1	otx2a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in oculomotor motor neurons (CN III) but not trochlear (CN IV) motor neurons. Single z-section in ventral view with anterior to the top.	auto-map r=0.98
Y	otx2a_magenta_3dpf_emb3_20251117_mIII_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	otx2a_magenta_3dpf_emb3_20251117_mIII_ventral_(RGB)	otx2a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in oculomotor motor neurons (CN III). Single z-section in ventral view with anterior is to the top.	exact
Y	otx2a_magenta_6dpf_20250131_emb2_ventral_mIII_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	otx2a_magenta_6dpf_20250131_emb2_ventral_mIII_(RGB)	otx2a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in oculomotor motor neurons (CN III). Single z-section in ventral view with anterior is to the top.	exact
Y	pax5_magenta_48h_20250507_emb3_mIII_dorsal_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	pax5_magenta_48h_20250507_emb3_mIII_dorsal_(RGB)	pax5 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf around oculomotor (CN III) and trochlear (CN IV) motor neurons. Single z-section in ventral view with anterior to the top.	exact
Y	pcdh15b_magenta_28h_emb5_260420_mV r2_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	pcdh15b_magenta_28h_emb5_260420_mV r2_ventral_(RGB)	pcdh15b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 28 hpf in trigeminal motor neurons (CN V) in hindbrain rhombomere 2. Single z-section in ventral view with anterior is to the top.	exact
Y	pcdh15b_magenta_48h_emb1_260418_mV r2_ventral_PMT Light_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	pcdh15b_magenta_48h_emb1_260418_mV r2_ventral_PMT Light_(RGB)	pcdh15b HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in trigeminal motor neurons (CN V) in hindbrain rhombomeres (r)2 and r3. Single z-section in ventral view with anterior to the top.	auto-map r=0.98
Y	plcb3_magenta_48h_20250312_emb3_lateral_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	plcb3_magenta_48h_20250312_emb3_lateral_mX_(RGB)	plcb3 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in dorsal vagus motor neurons (CN X). Single z-section in lateral view with anterior is to the left.	exact
Y	plcb3_magenta_3dpf_20241018_emb1_ventral_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	plcb3_magenta_3dpf_20241018_emb1_ventral_mX_(RGB)	plcb3 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior is to the top.	exact
Y	plcb3_magenta_3dpf_20241018_emb6_lateral_mX_(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	plcb3_magenta_3dpf_20241018_emb6_lateral_mX_(RGB)	plcb3 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior is to the left.	exact
N		ventral	anterior to the top	confocal single section	whole mount	ptgir_48hpf_20250930_emb2_mV_ventral_(RGB)	ptgir HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)2 but not r3. Single z-section in ventral view with anterior to the top.	SUPERSEDED - curator confirmed the disk image; loaded via the appended row for ptgir_magenta_48hpf_20250930_emb2_mV r2_ventral_PMT Light_(RGB)
Y	ptgir_magenta_3dpf_20241105_emb4_ventral_mV r2_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	ptgir_magenta_3dpf_20241105_emb4_ventral_mV r2_(RGB)	ptgir HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)2 but not r3. Single z-section in ventral view with anterior is to the top. Arrows: genu of the facial nerve (CN VII).	exact
Y	ptgir_magenta_6dpf_20241205_emb4_dorsal_mV r2_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	ptgir_magenta_6dpf_20241205_emb4_dorsal_mV r2_(RGB)	ptgir HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)2 but not r3. Single z-section in ventral view with anterior is to the top.	exact
Y	qrfpr_magenta_26h_20241119_emb1_mV_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	qrfpr_magenta_26h_20241119_emb1_mV_(RGB)	qrfpr4 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 26 hpf iin trigeminal motor neurons (CN V) in hindbrain rhombomere (r)2 but not r3. Single z-section in ventral view with anterior is to the top.	exact
Y	qrfpr4_magenta_48hpf_20251007_emb3_mV r2_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	qrfpr4_magenta_48hpf_20251007_emb3_mV r2_ventral_(RGB)	qrfpr4 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)2 but not r3. Single z-section in ventral view with anterior is to the top.	exact
Y	MAX_qrfpr4_magenta_6dpf_20241126_emb1_ventral_mV r2_(RGB).tif	ventral	anterior to the top	confocal maximum intensity projection	whole mount	MAX_qrfpr4_magenta_6dpf_20241126_emb1_ventral_mV r2_(RGB)	qrfpr4 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 6 dpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)2 but not r3. Maxiumum intensity projection in ventral view with anterior is to the top.	exact
Y	qrfpr4_magenta_3dpf_20250925_emb1_mV r2_ventral_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	qrfpr4_magenta_3dpf_20250925_emb1_mV r2_ventral_(RGB)	qrfpr4 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in trigeminal motor neurons (CN V) in hindbrain rhombomere (r)2 but not r3. Single z-section in ventral view with anterior is to the top.	exact
Y	sall3a_magenta_28h_20250117_emb3_ventral_faint mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	sall3a_magenta_28h_20250117_emb3_ventral_faint mX_(RGB)	sall3a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 28 hpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior is to the top.	exact
Y	sall3a_48h_emb5_260424_mX_lateral_single(RGB).tif	lateral	anterior to the left	confocal single section	whole mount	sall3a_48h_emb5_260424_mX_lateral_single(RGB)	sall3a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Single z-section in lateral view with anterior is to the left.	exact
Y	MAX_sall3a_magenta_48h_emb4_260424_mX_ventral_(RGB).tif	ventral	anterior to the top	confocal maximum intensity projection	whole mount	MAX_sall3a_magenta_48h_emb4_260424_mX_ventral_(RGB)	sall3a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in vagus motor neurons (CN X). Maximum intensity projections in ventral view with anterior is to the top.	exact
Y	sall3a_magenta_3dpf_emb6=emb1_20240823_dorsal_mX_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	sall3a_magenta_3dpf_emb6=emb1_20240823_dorsal_mX_(RGB)	sall3a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in vagus motor neurons (CN X). Single z-section in ventral view with anterior is to the top.	exact
Y	shox2_48h_emb3_260424_mV_single(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	shox2_48h_emb3_260424_mV_single(RGB)	shox2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in trigeminal motor neurons (CN V) in hindbrain rhombomeres (r)3 but not r2. shox2 is also expressed in a medial column throughout the hindbrain. Single z-section in ventral view with anterior to the top. Arrows: genu of the facial nerve (CN VII).	exact
Y	shox2_3dpf_emb3_260427_mV_single(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	shox2_3dpf_emb3_260427_mV_single(RGB)	shox2 HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 3 dpf in trigeminal motor neurons (CN V) in hindbrain rhombomeres (r)3 but not r2 except for a few medial neurons. Single z-section in ventral view with anterior to the top. Arrows: genu of the facial nerve (CN VII).	exact
Y	sim1a_magenta_48h_emb3_251219_mIIId_ventral_PMT Light_(RGB).tif	ventral	anterior to the top	confocal single section	whole mount	sim1a_magenta_48h_emb3_251219_mIIId_ventral_PMT Light_(RGB)	sim1a HCR (magenta) and Tg(isl1:GFP-CAAX) (green) at 48 hpf in dorsal-lateral oculomotor motor neurons (CN III). Single z-section in ventral view with anterior to the top. IV: trochlear motor neurons	exact
