feature_abb,line_num,other_feature_id,construct_id,pub_id
y471Et,471,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,
y472Et,472,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,
y396Et,396,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,ZDB-PUB-151205-4
y397Et,397,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,
y473Et,473,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,
y512Et,512,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,
y320Et,320,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,ZDB-PUB-151205-4
y401Et,401,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,
y405Et,405,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,
y436Et,436,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,
y350Et,350,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,
y325Et,325,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-121114-1,ZDB-PUB-151205-4
y513Et,513,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-2,
y412Et,412,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-2,
y416Et,416,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-2,
y348Et,348,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,
y417Et,417,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,
y514Et,514,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,
y333Et,333,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,ZDB-PUB-151205-4
y334Et,334,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,ZDB-PUB-151205-4
y275Et,275,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,ZDB-PUB-151205-4
y565Et,565,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,
y336Et,336,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-2,ZDB-PUB-151205-4
y476Et,476,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,
y566Et,566,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,
y420Et,420,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,ZDB-PUB-151205-4
y247Et,247,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,
y567Et,567,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,
y421Et,421,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,
y477Et,477,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-151013-1,
y423Et,423,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,
y515Et,515,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,
y425Et,425,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,
y341Et,341,ZDB-ALT-070314-1,ZDB-ETCONSTRCT-130214-1,ZDB-PUB-151205-4
y478Et,478,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-151102-2,
y479Et,479,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-151102-2,
y480Et,480,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-151102-2,
y481Et,481,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-151102-2,
y483Et,483,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-151102-2,
y571Et,571,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-1,
y465Et,465,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-151102-1,
y484Et,484,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-151102-1,
y519Et,519,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-151102-1,
y520Et,520,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-151102-1,
y445Et,445,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y457Et,457,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y458Et,458,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y459Et,459,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y456Et,456,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y495Et,495,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y494Et,494,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y493Et,493,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y492Et,492,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y490Et,490,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y489Et,489,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y488Et,488,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y487Et,487,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y486Et,486,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y485Et,485,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y521Et,521,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y523Et,523,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y524Et,524,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y526Et,526,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y528Et,528,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y541Et,541,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y542Et,542,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y543Et,543,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y544Et,544,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y545Et,545,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y546Et,546,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y551Et,551,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y552Et,552,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y553Et,553,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y554Et,554,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y558Et,558,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y568Et,568,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180518-1,
y547Et,547,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
y548Et,548,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
y549Et,549,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
y550Et,550,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
y555Et,555,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
y556Et,556,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
y557Et,557,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
y559Et,559,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
y569Et,569,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
y570Et,570,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
y574Et,574,ZDB-ALT-150721-8,ZDB-ETCONSTRCT-180514-2,
