zdbid,abregid
ZDB-ATB-100623-1,AB_2113875
ZDB-ATB-100625-1, 
ZDB-ATB-100625-2, 
ZDB-ATB-100625-3,
ZDB-ATB-100629-1,AB_2243952
ZDB-ATB-100630-1, 
ZDB-ATB-100630-2,AB_261544
ZDB-ATB-100702-1, 
ZDB-ATB-100702-2,AB_760352
ZDB-ATB-100707-1,AB_87877
ZDB-ATB-100707-2, 
ZDB-ATB-100707-3, 
ZDB-ATB-100708-1, 
ZDB-ATB-100708-2, 
ZDB-ATB-100714-1, 
ZDB-ATB-100714-2, 
ZDB-ATB-100720-1, 
ZDB-ATB-100720-2, 
ZDB-ATB-100720-3, 
ZDB-ATB-100721-1, 
ZDB-ATB-100722-1, 
ZDB-ATB-100722-2,AB_331158
ZDB-ATB-100723-1,AB_1078473
ZDB-ATB-100723-2,AB_ 10013722
ZDB-ATB-100727-1, 
ZDB-ATB-100727-2, 
ZDB-ATB-100727-3,AB_2261765
ZDB-ATB-100727-4,AB_2093483
ZDB-ATB-100728-1,AB_10013382
ZDB-ATB-100728-10,AB_397581
ZDB-ATB-100728-13,
ZDB-ATB-100728-2,AB_331675
ZDB-ATB-100728-3,AB_2193207
ZDB-ATB-100728-4,
ZDB-ATB-100728-5,
ZDB-ATB-100728-6,
ZDB-ATB-100728-7,AB_1540604
ZDB-ATB-100728-8,
ZDB-ATB-100728-9,AB_760349
ZDB-ATB-100730-1, 
ZDB-ATB-100730-2, 
ZDB-ATB-100730-3, 
ZDB-ATB-100730-4, 
ZDB-ATB-100802-1,AB_305585
ZDB-ATB-100802-2,AB_2277985
ZDB-ATB-100803-1,AB_309678
ZDB-ATB-100804-1, 
ZDB-ATB-100804-2,AB_218182
ZDB-ATB-100809-1,AB_2222916
ZDB-ATB-100809-2,AB_2040144
ZDB-ATB-100809-3,AB_2040146
ZDB-ATB-100809-4, 
ZDB-ATB-100810-1,AB_90765
ZDB-ATB-100810-2,AB_90711
ZDB-ATB-100810-3,AB_2112907
ZDB-ATB-100810-4,AB_2068506
ZDB-ATB-100812-1,AB_2261451
ZDB-ATB-100812-2,AB_2113602
ZDB-ATB-100812-3,AB_90710
ZDB-ATB-100813-1,AB_2068506
ZDB-ATB-100819-1,AB_1541082
ZDB-ATB-100820-1, 
ZDB-ATB-100823-1,AB_95211
ZDB-ATB-100823-2, 
ZDB-ATB-100825-1,AB_10000325
ZDB-ATB-100827-1, 
ZDB-ATB-100903-1,AB_90767
ZDB-ATB-100903-2,AB_88401
ZDB-ATB-100903-3,AB_2109815
ZDB-ATB-100903-3,AB_477010
ZDB-ATB-100903-4, 
ZDB-ATB-100903-5,AB_2039862
ZDB-ATB-100903-6, 
ZDB-ATB-100903-7, 
ZDB-ATB-100903-8, 
ZDB-ATB-100903-9,AB_2091610
ZDB-ATB-100907-1,AB_2096304
ZDB-ATB-100910-1,AB_2235587
ZDB-ATB-100915-1, 
ZDB-ATB-100916-1,AB_2222886
ZDB-ATB-100916-1,AB_476692
ZDB-ATB-100916-2,AB_2301998
ZDB-ATB-100916-3, 
ZDB-ATB-100916-4, 
ZDB-ATB-100916-5, 
ZDB-ATB-100916-6,AB_90949
ZDB-ATB-100916-7,AB_2114162
ZDB-ATB-100916-8,AB_631539
ZDB-ATB-101001-1,AB_945102
ZDB-ATB-101004-1,AB_2109419
ZDB-ATB-101004-3,AB_309747
ZDB-ATB-101005-1, 
ZDB-ATB-101005-2,AB_887723
ZDB-ATB-101005-3,AB_887717
ZDB-ATB-101005-4, 
ZDB-ATB-101005-5,AB_90748
ZDB-ATB-101005-6,AB_632557
ZDB-ATB-101005-7,AB_831028
ZDB-ATB-101005-8,AB_2195944
ZDB-ATB-101005-9, 
ZDB-ATB-101006-1,AB_528399
ZDB-ATB-101006-2, 
ZDB-ATB-101006-3, 
ZDB-ATB-101006-4,AB_632556
ZDB-ATB-101007-1,AB_2193779
ZDB-ATB-101007-2, 
ZDB-ATB-101011-1, 
ZDB-ATB-101011-2,AB_143392
ZDB-ATB-101011-3, 
ZDB-ATB-101012-1, 
ZDB-ATB-101012-2, 
ZDB-ATB-101013-1,AB_310100
ZDB-ATB-101013-2, 
ZDB-ATB-101015-1, 
ZDB-ATB-101015-2,AB_443298
ZDB-ATB-101015-3,AB_2141922
ZDB-ATB-101019-1,AB_1106753
ZDB-ATB-101019-2,AB_1106756
ZDB-ATB-101025-1, 
ZDB-ATB-101026-1,AB_725993
ZDB-ATB-101029-1, 
ZDB-ATB-101029-2,AB_10003146
ZDB-ATB-101104-1, 
ZDB-ATB-101105-1,AB_887804
ZDB-ATB-101105-2, 
ZDB-ATB-101109-1, 
ZDB-ATB-101109-2,AB_2196872
ZDB-ATB-101110-1,AB_592752
ZDB-ATB-101110-2, 
ZDB-ATB-101111-1,AB_451007
ZDB-ATB-101112-1,AB_2062645
ZDB-ATB-101112-2,AB_302612
ZDB-ATB-101112-3,AB_2192755
ZDB-ATB-101112-4,AB_2243443
ZDB-ATB-101112-5,AB_632295
ZDB-ATB-101112-6,AB_882241
ZDB-ATB-101112-7,AB_2069610
ZDB-ATB-101117-1,AB_397742
ZDB-ATB-101117-2, 
ZDB-ATB-101118-1,AB_1140113
ZDB-ATB-101121-1,AB_2110298
ZDB-ATB-101122-1,AB_869739
ZDB-ATB-101122-2,AB_86804
ZDB-ATB-101122-3,AB_2274338
ZDB-ATB-101123-1, 
ZDB-ATB-101124-2,AB_331682
ZDB-ATB-101124-3,AB_2157611
ZDB-ATB-101127-1, 
ZDB-ATB-101127-2, 
ZDB-ATB-101127-3, 
ZDB-ATB-101128-1,AB_615042
ZDB-ATB-101129-1,AB_2212992
ZDB-ATB-101129-2,AB_2174357
ZDB-ATB-101130-1, 
ZDB-ATB-101130-2, 
ZDB-ATB-101203-1,
ZDB-ATB-101203-2,AB_ 10013604
ZDB-ATB-101209-2, 
ZDB-ATB-101210-1, 
ZDB-ATB-101216-1,AB_94865
ZDB-ATB-101217-1,AB_2293564
ZDB-ATB-101217-2,AB_2095805
ZDB-ATB-101230-1,AB_ 10013634
ZDB-ATB-101230-3,AB_631528
ZDB-ATB-110103-1, 
ZDB-ATB-110106-1, 
ZDB-ATB-110106-2, 
ZDB-ATB-110114-1,AB_87321
ZDB-ATB-110114-2,AB_304874
ZDB-ATB-110114-2,AB_2178961
ZDB-ATB-110114-2,AB_785511
ZDB-ATB-110114-2,AB_477464
ZDB-ATB-110119-1,AB_310282
ZDB-ATB-110119-2,AB_398818
ZDB-ATB-110121-1,AB_398139
ZDB-ATB-110128-1, 
ZDB-ATB-110131-1,AB_2162058
ZDB-ATB-110131-2,AB_397929
ZDB-ATB-110201-1, 
ZDB-ATB-110201-2, 
ZDB-ATB-110201-3,AB_764528
ZDB-ATB-110202-1,AB_1079009
ZDB-ATB-110202-2,AB_2042832
ZDB-ATB-110203-1,AB_331440
ZDB-ATB-110203-2,AB_177366
ZDB-ATB-110204-1,AB_631224
ZDB-ATB-110204-2, 
ZDB-ATB-110207-1, 
ZDB-ATB-110207-2,AB_2039129
ZDB-ATB-110216-1, 
ZDB-ATB-110217-1, 
ZDB-ATB-110217-2, 
ZDB-ATB-110217-3, 
ZDB-ATB-110307-1,AB_794291
ZDB-ATB-110307-2, 
ZDB-ATB-110307-3, 
ZDB-ATB-110314-1,AB_86542
ZDB-ATB-110317-1,AB_632385
ZDB-ATB-110330-1, 
ZDB-ATB-110407-1,AB_2099162
ZDB-ATB-110411-1,AB_2158689
ZDB-ATB-110414-1,AB_2207796
ZDB-ATB-110420-1,AB_2281741
ZDB-ATB-110422-1,AB_88410
ZDB-ATB-110427-1, 
ZDB-ATB-110429-1, 
ZDB-ATB-110429-2, 
ZDB-ATB-110502-1, 
ZDB-ATB-110503-1, 
ZDB-ATB-110511-1,AB_1125374
ZDB-ATB-110520-2, 
ZDB-ATB-110523-1,AB_ 10013821
