sanger_preinput_feature_abbrev|sanger_preinput_gene_zdb_id|sanger_preinput_test
sa20773|ZDB-GENE-030131-2427|-030131-2427
sa20778|ZDB-GENE-051009-1|-051009-1
sa20792|ZDB-GENE-071218-2|-071218-2
sa20800|ZDB-GENE-060929-776|-060929-776
sa20830|ZDB-GENE-120927-3|-120927-3
sa20840|ZDB-GENE-070206-7|-070206-7
sa20855|ZDB-GENE-070604-1|-070604-1
sa20883|ZDB-GENE-001031-1|-001031-1
sa20900|ZDB-GENE-050107-3|-050107-3
sa20918|ZDB-GENE-110407-11|-110407-11
sa20929|ZDB-GENE-040718-352|-040718-352
sa20936|ZDB-GENE-050522-518|-050522-518
sa20947|ZDB-GENE-030131-7427|-030131-7427
sa20960|ZDB-GENE-070620-16|-070620-16
sa20973|ZDB-GENE-030131-4716|-030131-4716
sa20980|ZDB-GENE-030131-5127|-030131-5127
sa20993|ZDB-GENE-030131-1517|-030131-1517
sa21002|ZDB-GENE-030131-1171|-030131-1171
sa21019|ZDB-GENE-080116-1|-080116-1
sa21083|ZDB-GENE-980526-176|-980526-176
sa21106|ZDB-GENE-040426-1133|-040426-1133
sa21130|ZDB-GENE-040426-1182|-040426-1182
sa21131|ZDB-GENE-040426-1182|-040426-1182
sa21138|ZDB-GENE-030131-3187|-030131-3187
sa21170|ZDB-GENE-080125-1|-080125-1
sa21176|ZDB-GENE-061201-8|-061201-8
sa21178|ZDB-GENE-060610-1|-060610-1
sa21179|ZDB-GENE-051220-1|-051220-1
sa21190|ZDB-GENE-040513-2|-040513-2
sa21191|ZDB-GENE-081104-1|-081104-1
sa21206|ZDB-GENE-040912-141|-040912-141
sa21207|ZDB-GENE-041111-225|-041111-225
sa21219|ZDB-GENE-081104-362|-081104-362
sa21247|ZDB-GENE-070209-295|-070209-295
sa21273|ZDB-GENE-070605-1|-070605-1
sa21282|ZDB-GENE-030219-204|-030219-204
sa21286|ZDB-GENE-030131-2399|-030131-2399
sa21324|ZDB-GENE-070410-115|-070410-115
sa21332|ZDB-GENE-041008-119|-041008-119
sa21334|ZDB-GENE-081105-93|-081105-93
sa21340|ZDB-GENE-080522-1|-080522-1
sa21347|ZDB-GENE-080327-28|-080327-28
sa21388|ZDB-GENE-081105-157|-081105-157
sa21456|ZDB-GENE-030616-15|-030616-15
sa21500|ZDB-GENE-070912-324|-070912-324
sa21522|ZDB-GENE-050522-147|-050522-147
sa21529|ZDB-GENE-031001-10|-031001-10
sa21538|ZDB-GENE-990706-8|-990706-8
sa21542|ZDB-GENE-070912-187|-070912-187
sa21553|ZDB-GENE-030616-5|-030616-5
sa21591|ZDB-GENE-081104-382|-081104-382
sa21600|ZDB-GENE-050119-2|-050119-2
sa21631|ZDB-GENE-080723-69|-080723-69
sa21665|ZDB-GENE-031002-48|-031002-48
sa21680|ZDB-GENE-070615-16|-070615-16
sa21691|ZDB-GENE-041010-81|-041010-81
sa21704|ZDB-GENE-040426-1139|-040426-1139
sa21715|ZDB-GENE-091116-12|-091116-12
sa21808|ZDB-GENE-091116-16|-091116-16
sa21822|ZDB-GENE-001229-2|-001229-2
sa21825|ZDB-GENE-070531-3|-070531-3
sa21856|ZDB-GENE-041114-127|-041114-127
sa21861|ZDB-GENE-061027-116|-061027-116
sa21922|ZDB-GENE-050417-286|-050417-286
sa21923|ZDB-GENE-040426-989|-040426-989
sa21945|ZDB-GENE-070501-6|-070501-6
sa21956|ZDB-GENE-040625-96|-040625-96
sa21959|ZDB-GENE-030616-133|-030616-133
sa22007|ZDB-GENE-041008-189|-041008-189
sa22019|ZDB-GENE-121214-241|-121214-241
sa22039|ZDB-GENE-991123-12|-991123-12
sa22084|ZDB-GENE-101028-1|-101028-1
sa22104|ZDB-GENE-080415-3|-080415-3
sa22119|ZDB-GENE-041010-212|-041010-212
sa22126|ZDB-GENE-100302-1|-100302-1
sa22157|ZDB-GENE-130603-2|-130603-2
sa22171|ZDB-GENE-130613-2|-130613-2
sa22194|ZDB-GENE-100212-2|-100212-2
sa22207|ZDB-GENE-050517-37|-050517-37
sa22209|ZDB-GENE-121101-1|-121101-1
sa22240|ZDB-GENE-050517-40|-050517-40
sa22283|ZDB-GENE-030131-6701|-030131-6701
sa22295|ZDB-GENE-030616-622|-030616-622
sa22313|ZDB-GENE-090312-185|-090312-185
sa22314|ZDB-GENE-061207-32|-061207-32
sa22317|ZDB-GENE-050208-36|-050208-36
sa22319|ZDB-GENE-040426-1495|-040426-1495
sa22326|ZDB-GENE-080220-27|-080220-27
sa22331|ZDB-GENE-070228-1|-070228-1
sa22349|ZDB-GENE-090312-114|-090312-114
sa22367|ZDB-GENE-030616-3|-030616-3
sa22383|ZDB-GENE-040801-200|-040801-200
sa22441|ZDB-GENE-040704-19|-040704-19
sa22444|ZDB-GENE-990415-161|-990415-161
sa22452|ZDB-GENE-091204-115|-091204-115
sa22458|ZDB-GENE-030131-5286|-030131-5286
sa22553|ZDB-GENE-070112-1502|-070112-1502
sa22556|ZDB-GENE-071004-97|-071004-97
sa22561|ZDB-GENE-131122-12|-131122-12
sa22566|ZDB-GENE-130530-713|-130530-713
sa22569|ZDB-GENE-131120-194|-131120-194
sa22592|ZDB-GENE-120516-2|-120516-2
sa22637|ZDB-GENE-070821-5|-070821-5
sa22650|ZDB-GENE-070112-2282|-070112-2282
sa22654|ZDB-GENE-030131-3389|-030131-3389
sa22665|ZDB-GENE-131121-20|-131121-20
sa22685|ZDB-GENE-030131-5697|-030131-5697
sa22689|ZDB-GENE-120329-1|-120329-1
sa22719|ZDB-GENE-990415-61|-990415-61
sa22764|ZDB-GENE-050913-123|-050913-123
sa22765|ZDB-GENE-040426-1196|-040426-1196
sa22770|ZDB-GENE-010724-14|-010724-14
sa22772|ZDB-GENE-040426-2584|-040426-2584
sa22836|ZDB-GENE-030131-3143|-030131-3143
sa22837|ZDB-GENE-030131-3143|-030131-3143
sa22845|ZDB-GENE-050522-465|-050522-465
sa22860|ZDB-GENE-041010-53|-041010-53
sa22865|ZDB-GENE-070820-16|-070820-16
sa22869|ZDB-GENE-100922-13|-100922-13
sa22870|ZDB-GENE-991019-9|-991019-9
sa22930|ZDB-GENE-020708-3|-020708-3
sa22941|ZDB-GENE-030131-4678|-030131-4678
sa22950|ZDB-GENE-050419-118|-050419-118
sa22963|ZDB-GENE-070112-542|-070112-542
sa22982|ZDB-GENE-980526-389|-980526-389
sa23004|ZDB-GENE-131121-620|-131121-620
sa23009|ZDB-GENE-040623-3|-040623-3
sa23010|ZDB-GENE-040623-3|-040623-3
sa23013|ZDB-GENE-040718-51|-040718-51
sa23047|ZDB-GENE-101220-1|-101220-1
sa23096|ZDB-GENE-030616-405|-030616-405
sa23106|ZDB-GENE-060503-794|-060503-794
sa23107|ZDB-GENE-060503-794|-060503-794
sa23110|ZDB-GENE-080722-2|-080722-2
sa23125|ZDB-GENE-070719-9|-070719-9
sa23131|ZDB-GENE-041014-170|-041014-170
sa23145|ZDB-GENE-050417-291|-050417-291
sa23148|ZDB-GENE-040312-2|-040312-2
sa23155|ZDB-GENE-080521-2|-080521-2
sa23216|ZDB-GENE-080723-47|-080723-47
sa23238|ZDB-GENE-030131-8100|-030131-8100
sa23244|ZDB-GENE-031125-4|-031125-4
sa23273|ZDB-GENE-041114-54|-041114-54
sa23274|ZDB-GENE-120709-103|-120709-103
sa23292|ZDB-GENE-030131-4781|-030131-4781
sa23317|ZDB-GENE-050419-75|-050419-75
sa23376|ZDB-GENE-050522-114|-050522-114
sa23451|ZDB-GENE-110131-3|-110131-3
sa23499|ZDB-GENE-050522-556|-050522-556
sa23500|ZDB-GENE-050522-556|-050522-556
sa23513|ZDB-GENE-060503-382|-060503-382
sa23516|ZDB-GENE-060503-475|-060503-475
sa23562|ZDB-GENE-040426-2069|-040426-2069
sa23567|ZDB-GENE-060503-281|-060503-281
sa23568|ZDB-GENE-041114-111|-041114-111
sa23585|ZDB-GENE-030131-2214|-030131-2214
sa23586|ZDB-GENE-060503-334|-060503-334
sa23601|ZDB-GENE-070424-54|-070424-54
sa23604|ZDB-GENE-030131-5357|-030131-5357
sa23605|ZDB-GENE-040426-2575|-040426-2575
sa23629|ZDB-GENE-060929-172|-060929-172
sa23633|ZDB-GENE-050523-4|-050523-4
sa23658|ZDB-GENE-040724-247|-040724-247
sa23671|ZDB-GENE-061106-2|-061106-2
sa23688|ZDB-GENE-040914-58|-040914-58
sa23693|ZDB-GENE-041001-138|-041001-138
sa23698|ZDB-GENE-041001-139|-041001-139
sa23715|ZDB-GENE-030131-4172|-030131-4172
sa23737|ZDB-GENE-040426-1242|-040426-1242
sa23738|ZDB-GENE-041001-166|-041001-166
sa23745|ZDB-GENE-041014-367|-041014-367
sa23746|ZDB-GENE-041014-367|-041014-367
sa23776|ZDB-GENE-041014-347|-041014-347
sa23777|ZDB-GENE-041014-342|-041014-342
sa23796|ZDB-GENE-030131-3955|-030131-3955
sa23820|ZDB-GENE-030131-283|-030131-283
sa23847|ZDB-GENE-120215-245|-120215-245
sa23848|ZDB-GENE-030131-6392|-030131-6392
sa23849|ZDB-GENE-030131-6392|-030131-6392
sa23892|ZDB-GENE-040426-1491|-040426-1491
sa23893|ZDB-GENE-020107-1|-020107-1
sa23901|ZDB-GENE-060503-421|-060503-421
sa23948|ZDB-GENE-090421-1|-090421-1
sa23956|ZDB-GENE-050211-2|-050211-2
sa23968|ZDB-GENE-050309-179|-050309-179
sa23989|ZDB-GENE-050327-48|-050327-48
sa24013|ZDB-GENE-060929-436|-060929-436
sa24019|ZDB-GENE-990415-189|-990415-189
sa24028|ZDB-GENE-091118-65|-091118-65
sa24033|ZDB-GENE-120215-109|-120215-109
sa24048|ZDB-GENE-040426-886|-040426-886
sa24058|ZDB-GENE-050208-466|-050208-466
sa24060|ZDB-GENE-050208-707|-050208-707
sa24086|ZDB-GENE-050208-492|-050208-492
sa24118|ZDB-GENE-050208-740|-050208-740
sa24141|ZDB-GENE-050208-457|-050208-457
sa24169|ZDB-GENE-050208-620|-050208-620
sa24198|ZDB-GENE-040718-285|-040718-285
sa24245|ZDB-GENE-031107-1|-031107-1
sa24267|ZDB-GENE-090312-163|-090312-163
sa24278|ZDB-GENE-030131-5606|-030131-5606
sa24280|ZDB-GENE-090313-372|-090313-372
sa24289|ZDB-GENE-060810-38|-060810-38
sa24293|ZDB-GENE-050327-68|-050327-68
sa24313|ZDB-GENE-081104-352|-081104-352
sa24319|ZDB-GENE-030131-6048|-030131-6048
sa24342|ZDB-GENE-030131-7126|-030131-7126
sa24344|ZDB-GENE-050522-504|-050522-504
sa24347|ZDB-GENE-060503-458|-060503-458
sa24350|ZDB-GENE-080807-4|-080807-4
sa24352|ZDB-GENE-030131-9359|-030131-9359
sa24357|ZDB-GENE-081104-387|-081104-387
sa24364|ZDB-GENE-070410-81|-070410-81
sa24374|ZDB-GENE-030131-2860|-030131-2860
sa24379|ZDB-GENE-080723-8|-080723-8
sa24383|ZDB-GENE-040426-696|-040426-696
sa24399|ZDB-GENE-030131-6370|-030131-6370
sa24400|ZDB-GENE-030131-6370|-030131-6370
sa24427|ZDB-GENE-060803-2|-060803-2
sa24430|ZDB-GENE-030519-2|-030519-2
sa24431|ZDB-GENE-030131-8032|-030131-8032
sa24444|ZDB-GENE-060810-147|-060810-147
sa24489|ZDB-GENE-040808-13|-040808-13
sa24515|ZDB-GENE-091118-73|-091118-73
sa24524|ZDB-GENE-050320-141|-050320-141
sa24531|ZDB-GENE-040513-3|-040513-3
sa24596|ZDB-GENE-120406-10|-120406-10
sa24597|ZDB-GENE-120406-10|-120406-10
sa24637|ZDB-GENE-061110-34|-061110-34
sa24639|ZDB-GENE-060312-25|-060312-25
sa24690|ZDB-GENE-030131-5142|-030131-5142
sa24693|ZDB-GENE-131122-68|-131122-68
sa24708|ZDB-GENE-050522-54|-050522-54
sa24745|ZDB-GENE-040426-1191|-040426-1191
sa24765|ZDB-GENE-030530-1|-030530-1
sa24772|ZDB-GENE-070424-78|-070424-78
sa24773|ZDB-GENE-050522-501|-050522-501
sa24791|ZDB-GENE-090826-1|-090826-1
sa27385|ZDB-GENE-030219-74|-030219-74
sa29014|ZDB-GENE-041212-1|-041212-1
sa29186|ZDB-GENE-060503-273|-060503-273
sa29437|ZDB-GENE-050913-77|-050913-77
sa31186|ZDB-GENE-001212-2|-001212-2
sa31187|ZDB-GENE-001212-2|-001212-2
sa31188|ZDB-GENE-001212-3|-001212-3
sa31189|ZDB-GENE-030131-4806|-030131-4806
sa31194|ZDB-GENE-010426-1|-010426-1
sa31195|ZDB-GENE-060421-6989|-060421-6989
sa31196|ZDB-GENE-090312-217|-090312-217
sa31197|ZDB-GENE-040426-1848|-040426-1848
sa31199|ZDB-GENE-050720-1|-050720-1
sa31201|ZDB-GENE-090312-153|-090312-153
sa31204|ZDB-GENE-080219-12|-080219-12
sa31205|ZDB-GENE-030131-6110|-030131-6110
sa31206|ZDB-GENE-121214-28|-121214-28
sa31208|ZDB-GENE-040426-1619|-040426-1619
sa31210|ZDB-GENE-030321-1|-030321-1
sa31211|ZDB-GENE-090313-408|-090313-408
sa31213|ZDB-GENE-030131-1423|-030131-1423
sa31214|ZDB-GENE-060825-242|-060825-242
sa31216|ZDB-GENE-090313-131|-090313-131
sa31217|ZDB-GENE-030131-5871|-030131-5871
sa31218|ZDB-GENE-031006-13|-031006-13
sa31221|ZDB-GENE-090313-350|-090313-350
sa31222|ZDB-GENE-110208-9|-110208-9
sa31223|ZDB-GENE-130424-1|-130424-1
sa31224|ZDB-GENE-040310-4|-040310-4
sa31225|ZDB-GENE-070209-173|-070209-173
sa31226|ZDB-GENE-030319-3|-030319-3
sa31227|ZDB-GENE-030319-3|-030319-3
sa31229|ZDB-GENE-061207-26|-061207-26
sa31230|ZDB-GENE-041212-49|-041212-49
sa31231|ZDB-GENE-090311-52|-090311-52
sa31232|ZDB-GENE-090312-122|-090312-122
sa31233|ZDB-GENE-060503-271|-060503-271
sa31234|ZDB-GENE-061013-482|-061013-482
sa31235|ZDB-GENE-090312-97|-090312-97
sa31237|ZDB-GENE-090313-74|-090313-74
sa31239|ZDB-GENE-121214-154|-121214-154
sa31240|ZDB-GENE-121214-140|-121214-140
sa31241|ZDB-GENE-990415-35|-990415-35
sa31243|ZDB-GENE-050516-2|-050516-2
sa31245|ZDB-GENE-121214-103|-121214-103
sa31250|ZDB-GENE-070912-162|-070912-162
sa31251|ZDB-GENE-061009-22|-061009-22
sa31252|ZDB-GENE-040924-3|-040924-3
sa31253|ZDB-GENE-061013-722|-061013-722
sa31254|ZDB-GENE-060503-266|-060503-266
sa31258|ZDB-GENE-030327-6|-030327-6
sa31259|ZDB-GENE-010319-1|-010319-1
sa31262|ZDB-GENE-051127-23|-051127-23
sa31263|ZDB-GENE-070705-88|-070705-88
sa31264|ZDB-GENE-131121-110|-131121-110
sa31265|ZDB-GENE-090501-4|-090501-4
sa31268|ZDB-GENE-990415-167|-990415-167
sa31269|ZDB-GENE-040426-1203|-040426-1203
sa31270|ZDB-GENE-070112-702|-070112-702
sa31274|ZDB-GENE-060929-488|-060929-488
sa31277|ZDB-GENE-070912-699|-070912-699
sa31278|ZDB-GENE-070912-696|-070912-696
sa31279|ZDB-GENE-070912-238|-070912-238
sa31280|ZDB-GENE-040718-245|-040718-245
sa31282|ZDB-GENE-031118-123|-031118-123
sa31284|ZDB-GENE-070705-16|-070705-16
sa31285|ZDB-GENE-040426-947|-040426-947
sa31286|ZDB-GENE-030804-1|-030804-1
sa31287|ZDB-GENE-040426-2607|-040426-2607
sa31290|ZDB-GENE-031118-203|-031118-203
sa31296|ZDB-GENE-070912-176|-070912-176
sa31297|ZDB-GENE-070912-174|-070912-174
sa31298|ZDB-GENE-040426-2876|-040426-2876
sa31299|ZDB-GENE-030131-5383|-030131-5383
sa31301|ZDB-GENE-131127-165|-131127-165
sa31307|ZDB-GENE-060929-816|-060929-816
sa31308|ZDB-GENE-060929-816|-060929-816
sa31310|ZDB-GENE-091118-67|-091118-67
sa31311|ZDB-GENE-030131-2784|-030131-2784
sa31312|ZDB-GENE-091113-2|-091113-2
sa31313|ZDB-GENE-040718-428|-040718-428
sa31314|ZDB-GENE-091204-25|-091204-25
sa31316|ZDB-GENE-080403-11|-080403-11
sa31319|ZDB-GENE-070822-3|-070822-3
sa31320|ZDB-GENE-070822-3|-070822-3
sa31321|ZDB-GENE-050522-144|-050522-144
sa31322|ZDB-GENE-060130-180|-060130-180
sa31324|ZDB-GENE-131121-404|-131121-404
sa31325|ZDB-GENE-990415-109|-990415-109
sa31327|ZDB-GENE-080403-15|-080403-15
sa31328|ZDB-GENE-080403-15|-080403-15
sa31330|ZDB-GENE-040718-318|-040718-318
sa31332|ZDB-GENE-131121-384|-131121-384
sa31333|ZDB-GENE-030131-6093|-030131-6093
sa31336|ZDB-GENE-060901-1|-060901-1
sa31339|ZDB-GENE-040426-1581|-040426-1581
sa31340|ZDB-GENE-050320-8|-050320-8
sa31341|ZDB-GENE-990415-263|-990415-263
sa31342|ZDB-GENE-990415-263|-990415-263
sa31343|ZDB-GENE-061009-16|-061009-16
sa31344|ZDB-GENE-030131-1435|-030131-1435
sa31345|ZDB-GENE-030131-8277|-030131-8277
sa31348|ZDB-GENE-061110-141|-061110-141
sa31349|ZDB-GENE-060825-69|-060825-69
sa31350|ZDB-GENE-071212-4|-071212-4
sa31351|ZDB-GENE-040426-2757|-040426-2757
sa31353|ZDB-GENE-080108-7|-080108-7
sa31355|ZDB-GENE-131120-196|-131120-196
sa31356|ZDB-GENE-071116-4|-071116-4
sa31359|ZDB-GENE-131121-346|-131121-346
sa31360|ZDB-GENE-040426-2804|-040426-2804
sa31361|ZDB-GENE-110401-3|-110401-3
sa31364|ZDB-GENE-080303-25|-080303-25
sa31368|ZDB-GENE-041010-14|-041010-14
sa31371|ZDB-GENE-060503-62|-060503-62
sa31374|ZDB-GENE-041210-42|-041210-42
sa31375|ZDB-GENE-080402-7|-080402-7
sa31376|ZDB-GENE-041210-51|-041210-51
sa31378|ZDB-GENE-100426-6|-100426-6
sa31379|ZDB-GENE-041008-175|-041008-175
sa31380|ZDB-GENE-041210-336|-041210-336
sa31382|ZDB-GENE-041210-102|-041210-102
sa31383|ZDB-GENE-030131-3942|-030131-3942
sa31391|ZDB-GENE-030131-2248|-030131-2248
sa31394|ZDB-GENE-041210-178|-041210-178
sa31395|ZDB-GENE-030131-9662|-030131-9662
sa31396|ZDB-GENE-041210-213|-041210-213
sa31401|ZDB-GENE-041210-296|-041210-296
sa31402|ZDB-GENE-030616-78|-030616-78
sa31403|ZDB-GENE-081103-49|-081103-49
sa31404|ZDB-GENE-110913-15|-110913-15
sa31405|ZDB-GENE-081103-17|-081103-17
sa31407|ZDB-GENE-080220-38|-080220-38
sa31411|ZDB-GENE-050417-408|-050417-408
sa31412|ZDB-GENE-030131-1096|-030131-1096
sa31414|ZDB-GENE-060130-2|-060130-2
sa31416|ZDB-GENE-070705-557|-070705-557
sa31418|ZDB-GENE-080718-4|-080718-4
sa31421|ZDB-GENE-040426-1223|-040426-1223
sa31423|ZDB-GENE-041114-37|-041114-37
sa31425|ZDB-GENE-040724-10|-040724-10
sa31426|ZDB-GENE-030717-4|-030717-4
sa31427|ZDB-GENE-060526-210|-060526-210
sa31428|ZDB-GENE-060531-26|-060531-26
sa31430|ZDB-GENE-060526-199|-060526-199
sa31431|ZDB-GENE-060526-199|-060526-199
sa31434|ZDB-GENE-060526-38|-060526-38
sa31440|ZDB-GENE-040718-387|-040718-387
sa31441|ZDB-GENE-060531-162|-060531-162
sa31443|ZDB-GENE-060526-185|-060526-185
sa31445|ZDB-GENE-050913-32|-050913-32
sa31446|ZDB-GENE-060531-44|-060531-44
sa31449|ZDB-GENE-050522-275|-050522-275
sa31450|ZDB-GENE-060526-203|-060526-203
sa31451|ZDB-GENE-060526-205|-060526-205
sa31452|ZDB-GENE-040426-1375|-040426-1375
sa31453|ZDB-GENE-050417-332|-050417-332
sa31454|ZDB-GENE-050417-332|-050417-332
sa31455|ZDB-GENE-030131-418|-030131-418
sa31456|ZDB-GENE-070705-355|-070705-355
sa31459|ZDB-GENE-060531-50|-060531-50
sa31460|ZDB-GENE-070705-73|-070705-73
sa31461|ZDB-GENE-050302-79|-050302-79
sa31467|ZDB-GENE-060526-174|-060526-174
sa31468|ZDB-GENE-040426-2913|-040426-2913
sa31469|ZDB-GENE-060526-79|-060526-79
sa31470|ZDB-GENE-980526-171|-980526-171
sa31471|ZDB-GENE-041010-218|-041010-218
sa31472|ZDB-GENE-050511-1|-050511-1
sa31477|ZDB-GENE-060504-1|-060504-1
sa31480|ZDB-GENE-030131-8453|-030131-8453
sa31482|ZDB-GENE-030131-7437|-030131-7437
sa31486|ZDB-GENE-980526-123|-980526-123
sa31487|ZDB-GENE-050208-92|-050208-92
sa31488|ZDB-GENE-080917-11|-080917-11
sa31491|ZDB-GENE-030131-3936|-030131-3936
sa31492|ZDB-GENE-040822-37|-040822-37
sa31494|ZDB-GENE-001030-3|-001030-3
sa31495|ZDB-GENE-040426-1485|-040426-1485
sa31496|ZDB-GENE-050706-50|-050706-50
sa31499|ZDB-GENE-120214-39|-120214-39
sa31500|ZDB-GENE-110815-1|-110815-1
sa31501|ZDB-GENE-021210-2|-021210-2
sa31502|ZDB-GENE-050517-18|-050517-18
sa31503|ZDB-GENE-130530-819|-130530-819
sa31506|ZDB-GENE-080610-1|-080610-1
sa31507|ZDB-GENE-070424-227|-070424-227
sa31509|ZDB-GENE-010724-11|-010724-11
sa31511|ZDB-GENE-050309-40|-050309-40
sa31512|ZDB-GENE-050309-40|-050309-40
sa31516|ZDB-GENE-040426-1245|-040426-1245
sa31517|ZDB-GENE-050309-150|-050309-150
sa31518|ZDB-GENE-040801-159|-040801-159
sa31520|ZDB-GENE-080218-16|-080218-16
sa31521|ZDB-GENE-030131-7570|-030131-7570
sa31522|ZDB-GENE-030131-9839|-030131-9839
sa31526|ZDB-GENE-070928-33|-070928-33
sa31527|ZDB-GENE-131119-7|-131119-7
sa31528|ZDB-GENE-100729-2|-100729-2
sa31530|ZDB-GENE-081114-1|-081114-1
sa31531|ZDB-GENE-060421-3113|-060421-3113
sa31533|ZDB-GENE-030131-2427|-030131-2427
sa31536|ZDB-GENE-040426-808|-040426-808
sa31537|ZDB-GENE-060503-301|-060503-301
sa31540|ZDB-GENE-041010-139|-041010-139
sa31542|ZDB-GENE-040426-795|-040426-795
sa31543|ZDB-GENE-081105-141|-081105-141
sa31545|ZDB-GENE-120927-3|-120927-3
sa31547|ZDB-GENE-130530-945|-130530-945
sa31548|ZDB-GENE-040426-2444|-040426-2444
sa31551|ZDB-GENE-040426-784|-040426-784
sa31552|ZDB-GENE-040901-1|-040901-1
sa31553|ZDB-GENE-020503-2|-020503-2
sa31557|ZDB-GENE-030131-4803|-030131-4803
sa31559|ZDB-GENE-050417-356|-050417-356
sa31564|ZDB-GENE-030131-6199|-030131-6199
sa31565|ZDB-GENE-000831-4|-000831-4
sa31567|ZDB-GENE-081104-24|-081104-24
sa31568|ZDB-GENE-030131-9341|-030131-9341
sa31572|ZDB-GENE-010906-1|-010906-1
sa31573|ZDB-GENE-091014-2|-091014-2
sa31579|ZDB-GENE-030616-554|-030616-554
sa31580|ZDB-GENE-030521-32|-030521-32
sa31583|ZDB-GENE-070112-272|-070112-272
sa31587|ZDB-GENE-060503-321|-060503-321
sa31589|ZDB-GENE-980526-170|-980526-170
sa31591|ZDB-GENE-050208-221|-050208-221
sa31592|ZDB-GENE-030131-1346|-030131-1346
sa31593|ZDB-GENE-050327-73|-050327-73
sa31594|ZDB-GENE-040419-1|-040419-1
sa31597|ZDB-GENE-040426-2772|-040426-2772
sa31599|ZDB-GENE-090128-3|-090128-3
sa31600|ZDB-GENE-040516-11|-040516-11
sa31602|ZDB-GENE-070112-1152|-070112-1152
sa31604|ZDB-GENE-030131-3932|-030131-3932
sa31605|ZDB-GENE-030131-3932|-030131-3932
