zdbid,ftr,ftrnote,ftrstring
ZDB-ALT-100729-1,t26480,5/26/2020,5/26/2020
ZDB-ALT-980203-1827,t3,5/26/2020,5/26/2020
ZDB-ALT-061101-360,t31169,5/26/2020,5/26/2020
ZDB-ALT-061101-142,t31533,5/26/2020,5/26/2020
ZDB-ALT-110909-1,t31556,5/26/2020,5/26/2020
ZDB-ALT-110909-2,t32228,5/26/2020,5/26/2020
ZDB-ALT-121114-1,t32232,5/26/2020,5/26/2020
ZDB-ALT-121114-2,t32233,5/26/2020,5/26/2020
ZDB-ALT-121114-3,t32234,5/26/2020,5/26/2020
ZDB-ALT-121114-4,t32235,5/26/2020,5/26/2020
ZDB-ALT-121114-5,t32236,5/26/2020,5/26/2020
ZDB-ALT-121114-6,t32237,5/26/2020,5/26/2020
ZDB-ALT-150316-2,t32241,5/26/2020,5/26/2020
ZDB-ALT-980203-1589,ta229f,5/26/2020,5/26/2020
ZDB-ALT-140818-4,tan17X,5/26/2020,5/26/2020
ZDB-ALT-980203-1593,tb21,5/26/2020,5/26/2020
ZDB-ALT-050216-14,tbb72,5/26/2020,5/26/2020
ZDB-ALT-020114-2,tbr307,5/26/2020,5/26/2020
ZDB-ALT-980203-1757,tc240,5/26/2020,5/26/2020
ZDB-ALT-980413-458,tc242b,5/26/2020,5/26/2020
ZDB-ALT-980413-542,tc317e,5/26/2020,5/26/2020
ZDB-ALT-980413-442,tc320b,5/26/2020,5/26/2020
ZDB-ALT-980413-403,tc323d,5/26/2020,5/26/2020
ZDB-ALT-980203-1268,te1c,5/26/2020,5/26/2020
ZDB-ALT-980203-1058,te250,5/26/2020,5/26/2020
ZDB-ALT-980203-921,te275,5/26/2020,5/26/2020
ZDB-ALT-980203-1501,te296f,5/26/2020,5/26/2020
ZDB-ALT-980203-387,te314b,5/26/2020,5/26/2020
ZDB-ALT-980413-577,te370e,5/26/2020,5/26/2020
ZDB-ALT-130718-1,te382a,5/26/2020,5/26/2020
ZDB-ALT-130718-2,te382b,5/26/2020,5/26/2020
ZDB-ALT-980203-1170,tf5,5/26/2020,5/26/2020
ZDB-ALT-060208-4,tfi91,5/26/2020,5/26/2020
ZDB-ALT-120123-20,tft100,5/26/2020,5/26/2020
ZDB-ALT-120123-29,tft102,5/26/2020,5/26/2020
ZDB-ALT-120123-5,tft11,5/26/2020,5/26/2020
ZDB-ALT-120123-6,tft12,5/26/2020,5/26/2020
ZDB-ALT-120123-21,tft130,5/26/2020,5/26/2020
ZDB-ALT-120123-22,tft131,5/26/2020,5/26/2020
ZDB-ALT-120123-23,tft17,5/26/2020,5/26/2020
ZDB-ALT-120123-7,tft18,5/26/2020,5/26/2020
ZDB-ALT-120123-1,tft3,5/26/2020,5/26/2020
ZDB-ALT-120123-8,tft30,5/26/2020,5/26/2020
ZDB-ALT-120123-9,tft32,5/26/2020,5/26/2020
ZDB-ALT-120123-24,tft38,5/26/2020,5/26/2020
ZDB-ALT-120123-10,tft48,5/26/2020,5/26/2020
ZDB-ALT-120123-11,tft56,5/26/2020,5/26/2020
ZDB-ALT-120123-12,tft60,5/26/2020,5/26/2020
ZDB-ALT-120123-13,tft69,5/26/2020,5/26/2020
ZDB-ALT-120123-2,tft7,5/26/2020,5/26/2020
ZDB-ALT-120123-25,tft72,5/26/2020,5/26/2020
ZDB-ALT-120123-26,tft74,5/26/2020,5/26/2020
ZDB-ALT-120123-14,tft75,5/26/2020,5/26/2020
ZDB-ALT-120123-15,tft78,5/26/2020,5/26/2020
ZDB-ALT-120123-3,tft8,5/26/2020,5/26/2020
ZDB-ALT-120123-16,tft83,5/26/2020,5/26/2020
ZDB-ALT-120123-17,tft85,5/26/2020,5/26/2020
ZDB-ALT-120123-4,tft9,5/26/2020,5/26/2020
ZDB-ALT-120123-18,tft91,5/26/2020,5/26/2020
ZDB-ALT-120123-27,tft92,5/26/2020,5/26/2020
ZDB-ALT-120123-19,tft93,5/26/2020,5/26/2020
ZDB-ALT-120123-28,tft99,5/26/2020,5/26/2020
ZDB-ALT-080519-1,tg06a,5/26/2020,5/26/2020
ZDB-ALT-980203-790,tg221,5/26/2020,5/26/2020
ZDB-ALT-980203-803,tg280a,5/26/2020,5/26/2020
ZDB-ALT-980203-1222,tg414b,5/26/2020,5/26/2020
ZDB-ALT-980203-1633,th278,5/26/2020,5/26/2020
ZDB-ALT-980203-1465,th35b,5/26/2020,5/26/2020
ZDB-ALT-980203-1632,ti265,5/26/2020,5/26/2020
ZDB-ALT-980413-433,tj264,5/26/2020,5/26/2020
ZDB-ALT-980203-1664,tk20,5/26/2020,5/26/2020
ZDB-ALT-110410-1,tku3,5/26/2020,5/26/2020
ZDB-ALT-980203-1214,tl240a,5/26/2020,5/26/2020
ZDB-ALT-980203-1662,tl241,5/26/2020,5/26/2020
ZDB-ALT-140818-5,tlf802,5/26/2020,5/26/2020
ZDB-ALT-980203-546,tm130d,5/26/2020,5/26/2020
ZDB-ALT-980203-1467,tm145,5/26/2020,5/26/2020
ZDB-ALT-980203-1613,tm236b,5/26/2020,5/26/2020
ZDB-ALT-010411-10,tm290d,5/26/2020,5/26/2020
ZDB-ALT-980203-1524,tm317a,5/26/2020,5/26/2020
ZDB-ALT-980203-1436,tm70g,5/26/2020,5/26/2020
ZDB-ALT-980203-1667,tm90c,5/26/2020,5/26/2020
ZDB-ALT-980203-1197,tn213,5/26/2020,5/26/2020
ZDB-ALT-980203-810,tn217b,5/26/2020,5/26/2020
ZDB-ALT-040820-6,tn3216,5/26/2020,5/26/2020
ZDB-ALT-020715-2,tn3540,5/26/2020,5/26/2020
ZDB-ALT-020715-4,tn4503,5/26/2020,5/26/2020
ZDB-ALT-120201-1,tnnt2a_unspecified,5/26/2020,5/26/2020
ZDB-ALT-070131-2,to14mx,5/26/2020,5/26/2020
ZDB-ALT-980203-1267,to216z,5/26/2020,5/26/2020
ZDB-ALT-980203-1825,to273a,5/26/2020,5/26/2020
ZDB-ALT-980203-1464,tp37,5/26/2020,5/26/2020
ZDB-ALT-980203-1356,tp39,5/26/2020,5/26/2020
ZDB-ALT-100510-1,tQ296X,5/26/2020,5/26/2020
ZDB-ALT-980413-444,tr202,5/26/2020,5/26/2020
ZDB-ALT-980203-1245,tr230b,5/26/2020,5/26/2020
ZDB-ALT-040107-6,tr6722,5/26/2020,5/26/2020
ZDB-ALT-980203-766,ts25,5/26/2020,5/26/2020
ZDB-ALT-980203-1357,tu24,5/26/2020,5/26/2020
ZDB-ALT-980203-1395,tv205c,5/26/2020,5/26/2020
ZDB-ALT-980203-1241,tv53a,5/26/2020,5/26/2020
ZDB-ALT-180314-3,tVBU1,5/26/2020,5/26/2020
ZDB-ALT-180314-1,tVE1,5/26/2020,5/26/2020
ZDB-ALT-101008-24,tW1752X,5/26/2020,5/26/2020
ZDB-ALT-980203-1424,tw212b,5/26/2020,5/26/2020
ZDB-ALT-980203-1443,tw24,5/26/2020,5/26/2020
ZDB-ALT-151209-5,twc2,5/26/2020,5/26/2020
ZDB-ALT-151209-4,twl4,5/26/2020,5/26/2020
ZDB-ALT-131004-1,two19,5/26/2020,5/26/2020
ZDB-ALT-131004-2,two21,5/26/2020,5/26/2020
ZDB-ALT-131004-3,two22,5/26/2020,5/26/2020
ZDB-ALT-980203-1076,tx201,5/26/2020,5/26/2020
ZDB-ALT-160825-1,txg6,5/26/2020,5/26/2020
ZDB-ALT-180314-2,tXGU1,5/26/2020,5/26/2020
ZDB-ALT-980413-473,ty220,5/26/2020,5/26/2020
ZDB-ALT-980413-408,tz300,5/26/2020,5/26/2020
ZDB-ALT-170522-14,u4017,5/26/2020,5/26/2020
ZDB-ALT-150212-1,u766,5/26/2020,5/26/2020
ZDB-ALT-160602-18,u768,5/26/2020,5/26/2020
ZDB-ALT-160602-19,u900,5/26/2020,5/26/2020
ZDB-ALT-180823-1,ua1006,5/26/2020,5/26/2020
ZDB-ALT-180820-1,ua1014,5/26/2020,5/26/2020
ZDB-ALT-130809-1,ubs8,5/26/2020,5/26/2020
ZDB-ALT-110126-6,uc1Tg,5/26/2020,5/26/2020
ZDB-ALT-171204-1,uc47,5/26/2020,5/26/2020
ZDB-ALT-180530-1,ulg0030,5/26/2020,5/26/2020
ZDB-ALT-180125-1,ulg029,5/26/2020,5/26/2020
ZDB-ALT-170119-23,um200,5/26/2020,5/26/2020
ZDB-ALT-090603-3,um6,5/26/2020,5/26/2020
ZDB-ALT-190103-2,uq20ks,5/26/2020,5/26/2020
ZDB-ALT-031126-8,utr4e174A,5/26/2020,5/26/2020
ZDB-ALT-091109-1,uw3,5/26/2020,5/26/2020
ZDB-ALT-080630-1,vo1,5/26/2020,5/26/2020
ZDB-ALT-140411-1,vu105,5/26/2020,5/26/2020
ZDB-ALT-070514-3,vu125,5/26/2020,5/26/2020
ZDB-ALT-120330-1,vu166,5/26/2020,5/26/2020
ZDB-ALT-140411-2,vu41,5/26/2020,5/26/2020
ZDB-ALT-140728-1,vu57,5/26/2020,5/26/2020
ZDB-ALT-080401-2,vu59,5/26/2020,5/26/2020
ZDB-ALT-180813-9,vu66,5/26/2020,5/26/2020
ZDB-ALT-131003-3,vu67,5/26/2020,5/26/2020
ZDB-ALT-070306-1,vu7,5/26/2020,5/26/2020
ZDB-ALT-071211-1,vu87,5/26/2020,5/26/2020
ZDB-ALT-150807-1,vu99,5/26/2020,5/26/2020
ZDB-ALT-160901-12,w123,5/26/2020,5/26/2020
ZDB-ALT-160901-9,w150,5/26/2020,5/26/2020
ZDB-ALT-160901-13,w152,5/26/2020,5/26/2020
ZDB-ALT-190404-11,w234,5/26/2020,5/26/2020
ZDB-ALT-080903-10,w41,5/26/2020,5/26/2020
ZDB-ALT-080903-11,w42,5/26/2020,5/26/2020
ZDB-ALT-160901-8,w46,5/26/2020,5/26/2020
ZDB-ALT-140619-1,w77,5/26/2020,5/26/2020
ZDB-ALT-020130-2,w8,5/26/2020,5/26/2020
ZDB-ALT-180228-1,wi720,5/26/2020,5/26/2020
ZDB-ALT-180228-2,wi721,5/26/2020,5/26/2020
ZDB-ALT-070907-1,wnt5b_unspecified,5/26/2020,5/26/2020
ZDB-ALT-120928-1,wp15e2,5/26/2020,5/26/2020
ZDB-ALT-080218-1,wpr21e1,5/26/2020,5/26/2020
ZDB-ALT-141222-2,wpr23e1,5/26/2020,5/26/2020
ZDB-ALT-120301-1,wsu1,5/26/2020,5/26/2020
ZDB-ALT-171116-1,wsu2,5/26/2020,5/26/2020
ZDB-ALT-130618-1,x1,5/26/2020,5/26/2020
ZDB-ALT-101119-1,x15,5/26/2020,5/26/2020
ZDB-ALT-070112-4,x8,5/26/2020,5/26/2020
ZDB-ALT-170221-5,xu068,5/26/2020,5/26/2020
ZDB-ALT-170221-6,xu069,5/26/2020,5/26/2020
ZDB-ALT-170221-7,xu070,5/26/2020,5/26/2020
ZDB-ALT-170221-8,xu071,5/26/2020,5/26/2020
ZDB-ALT-090603-4,y13,5/26/2020,5/26/2020
ZDB-ALT-111221-1,y135,5/26/2020,5/26/2020
ZDB-ALT-100526-6,y14,5/26/2020,5/26/2020
ZDB-ALT-090603-7,y16,5/26/2020,5/26/2020
ZDB-ALT-130829-1,y54,5/26/2020,5/26/2020
ZDB-ALT-060710-2,y56,5/26/2020,5/26/2020
ZDB-ALT-980203-986,tm342,5/26/2020,5/26/2020
ZDB-ALT-080718-6,s466,5/27/2020,5/27/2020
ZDB-ALT-080313-6,s479,5/27/2020,5/27/2020
ZDB-ALT-110315-8,s481,5/27/2020,5/27/2020
ZDB-ALT-040720-44,s510,5/27/2020,5/27/2020
ZDB-ALT-040720-46,s530,5/27/2020,5/27/2020
ZDB-ALT-080110-6,s553,5/27/2020,5/27/2020
ZDB-ALT-990423-12,s6,5/27/2020,5/27/2020
ZDB-ALT-080313-15,s631,5/27/2020,5/27/2020
ZDB-ALT-081211-1,s633,5/27/2020,5/27/2020
ZDB-ALT-080313-5,s634,5/27/2020,5/27/2020
ZDB-ALT-080718-1,s645,5/27/2020,5/27/2020
ZDB-ALT-080718-3,s646,5/27/2020,5/27/2020
ZDB-ALT-080118-1,s805,5/27/2020,5/27/2020
ZDB-ALT-090707-2,rk10,6/10/2020,6/10/2020
ZDB-ALT-090707-3,rk11,6/10/2020,6/10/2020
ZDB-ALT-090707-4,rk12,6/10/2020,6/10/2020
ZDB-ALT-090707-5,rk13,6/10/2020,6/10/2020
ZDB-ALT-090707-6,rk14,6/10/2020,6/10/2020
ZDB-ALT-090707-7,rk15,6/10/2020,6/10/2020
ZDB-ALT-090707-8,rk16,6/10/2020,6/10/2020
ZDB-ALT-090707-9,rk17,6/10/2020,6/10/2020
ZDB-ALT-080229-5,rk9,6/10/2020,6/10/2020
ZDB-ALT-040915-2,ru920,6/10/2020,6/10/2020
ZDB-ALT-090416-4,rw10,6/10/2020,6/10/2020
ZDB-ALT-090416-7,rw117,6/10/2020,6/10/2020
ZDB-ALT-090416-8,rw151,6/10/2020,6/10/2020
ZDB-ALT-071019-11,rw161,6/10/2020,6/10/2020
ZDB-ALT-071019-12,rw170,6/10/2020,6/10/2020
ZDB-ALT-090416-1,rw18,6/10/2020,6/10/2020
ZDB-ALT-071019-13,rw267,6/10/2020,6/10/2020
ZDB-ALT-071023-2,rw310,6/10/2020,6/10/2020
ZDB-ALT-190207-3,rw341,6/10/2020,6/10/2020
ZDB-ALT-071023-4,rw464,6/10/2020,6/10/2020
ZDB-ALT-090416-6,rw54,6/10/2020,6/10/2020
ZDB-ALT-080212-1,rw616,6/10/2020,6/10/2020
ZDB-ALT-170622-15,pc25,6/12/2020,6/12/2020
ZDB-ALT-150617-6,pd1092,6/12/2020,6/12/2020
ZDB-ALT-150618-2,pd1093,6/12/2020,6/12/2020
ZDB-ALT-170907-1,pd1149,6/12/2020,6/12/2020
ZDB-ALT-171010-2,pd249,6/12/2020,6/12/2020
ZDB-ALT-100629-1,plxnd1_unspecified,6/12/2020,6/12/2020
ZDB-ALT-111207-7,pr1,6/12/2020,6/12/2020
ZDB-ALT-090603-2,pt11,6/12/2020,6/12/2020
ZDB-ALT-180627-7,pt661,6/12/2020,6/12/2020
ZDB-ALT-030221-2,r210,6/12/2020,6/12/2020
ZDB-ALT-170921-1,rdu14,6/12/2020,6/12/2020
ZDB-ALT-170921-2,rdu15,6/12/2020,6/12/2020
ZDB-ALT-170822-1,rj828,6/12/2020,6/12/2020
ZDB-ALT-180305-9,p400,6/15/2020,6/15/2020
ZDB-ALT-180305-10,p401,6/15/2020,6/15/2020
ZDB-ALT-180305-11,p402,6/15/2020,6/15/2020
ZDB-ALT-180305-12,p403,6/15/2020,6/15/2020
ZDB-ALT-180305-13,p404,6/15/2020,6/15/2020
ZDB-ALT-180305-14,p405,6/15/2020,6/15/2020
ZDB-ALT-180305-15,p406,6/15/2020,6/15/2020
ZDB-ALT-131003-1,p4anua,6/15/2020,6/15/2020
ZDB-ALT-120511-20,p5THBD,6/15/2020,6/15/2020
ZDB-ALT-050408-22,p79emcf,6/15/2020,6/15/2020
ZDB-ALT-050216-10,p31cd,6/16/2020,6/16/2020
ZDB-ALT-111219-7,p34thbd,6/16/2020,6/16/2020
ZDB-ALT-151130-1,p317,6/17/2020,6/17/2020
ZDB-ALT-150624-6,p170,6/18/2020,6/18/2020
ZDB-ALT-150624-5,p171,6/18/2020,6/18/2020
ZDB-ALT-150701-3,p173,6/18/2020,6/18/2020
ZDB-ALT-150701-4,p174,6/18/2020,6/18/2020
ZDB-ALT-150701-5,p175,6/18/2020,6/18/2020
ZDB-ALT-150701-6,p176,6/18/2020,6/18/2020
ZDB-ALT-150701-7,p177,6/18/2020,6/18/2020
ZDB-ALT-150701-8,p178,6/18/2020,6/18/2020
ZDB-ALT-150701-9,p179,6/18/2020,6/18/2020
ZDB-ALT-150701-10,p180,6/18/2020,6/18/2020
ZDB-ALT-150701-11,p181,6/18/2020,6/18/2020
ZDB-ALT-150701-12,p182,6/18/2020,6/18/2020
ZDB-ALT-150701-13,p183,6/18/2020,6/18/2020
ZDB-ALT-171122-4,p191,6/18/2020,6/18/2020
ZDB-ALT-171122-5,p192,6/18/2020,6/18/2020
ZDB-ALT-171122-6,p193,6/18/2020,6/18/2020
ZDB-ALT-171122-7,p194,6/18/2020,6/18/2020
ZDB-ALT-180117-2,p195,6/18/2020,6/18/2020
ZDB-ALT-171122-8,p196,6/18/2020,6/18/2020
ZDB-ALT-160713-1,p24bdth,6/18/2020,6/18/2020
ZDB-ALT-120209-62,p251,6/18/2020,6/18/2020
ZDB-ALT-120209-63,p252,6/18/2020,6/18/2020
ZDB-ALT-080920-1,p25bbtl,6/18/2020,6/18/2020
ZDB-ALT-080313-3,s406,6/2/2020,6/2/2020
ZDB-ALT-080313-14,s413,6/2/2020,6/2/2020
ZDB-ALT-130925-6,s421,6/2/2020,6/2/2020
ZDB-ALT-080718-2,s425,6/2/2020,6/2/2020
ZDB-ALT-071022-1,p08aiue,6/23/2020,6/23/2020
ZDB-ALT-071126-1,p13umal,6/23/2020,6/23/2020
ZDB-ALT-090127-2,os7,6/24/2020,6/24/2020
ZDB-ALT-160425-6,ou2025,6/24/2020,6/24/2020
ZDB-ALT-100623-1,nv122,6/25/2020,6/25/2020
ZDB-ALT-090127-4,os15,6/25/2020,6/25/2020
ZDB-ALT-090127-3,os18,6/25/2020,6/25/2020
ZDB-ALT-180430-16,os55,6/25/2020,6/25/2020
ZDB-ALT-031030-8,nt1,6/29/20,6/29/2020
ZDB-ALT-170630-1,nub13,6/29/20,6/29/2020
ZDB-ALT-080110-3,s333,6/3/2020,6/3/2020
ZDB-ALT-000412-4,s3555,6/3/2020,6/3/2020
ZDB-ALT-090828-2,s364,6/3/2020,6/3/2020
ZDB-ALT-080110-5,s387,6/3/2020,6/3/2020
ZDB-ALT-080313-10,s258,6/4/2020,6/4/2020
ZDB-ALT-050919-72,s277,6/4/2020,6/4/2020
ZDB-ALT-100512-1,s294,6/4/2020,6/4/2020
ZDB-ALT-050802-2,s309,6/4/2020,6/4/2020
ZDB-ALT-040720-66,s315,6/4/2020,6/4/2020
ZDB-ALT-090416-5,rw92,6/8/2020,6/8/2020
ZDB-ALT-040520-2,s11,6/8/2020,6/8/2020
ZDB-ALT-040720-62,s129,6/8/2020,6/8/2020
ZDB-ALT-080110-1,s139,6/8/2020,6/8/2020
ZDB-ALT-080110-2,s198,6/8/2020,6/8/2020
ZDB-ALT-080313-1,s234,6/8/2020,6/8/2020
ZDB-ALT-080313-8,s236,6/8/2020,6/8/2020
ZDB-ALT-071205-7,rw218,6/9/2020,6/9/2020
ZDB-ALT-071205-1,rw260,6/9/2020,6/9/2020
ZDB-ALT-071205-4,rw309,6/9/2020,6/9/2020
ZDB-ALT-071205-2,rw314,6/9/2020,6/9/2020
ZDB-ALT-071205-10,rw357,6/9/2020,6/9/2020
ZDB-ALT-071205-8,rw395,6/9/2020,6/9/2020
ZDB-ALT-071205-3,rw413,6/9/2020,6/9/2020
ZDB-ALT-071205-11,rw453,6/9/2020,6/9/2020
ZDB-ALT-071205-9,rw520,6/9/2020,6/9/2020
ZDB-ALT-071205-6,rw646,6/9/2020,6/9/2020
ZDB-ALT-071205-5,rw656,6/9/2020,6/9/2020
ZDB-ALT-071023-7,rw707,6/9/2020,6/9/2020
ZDB-ALT-160622-2,nn2001,7/1/2020,7/1/2020
ZDB-ALT-170811-1,mh5,7/16/2020,7/16/2020
ZDB-ALT-161103-8,mi1007,7/16/2020,7/16/2020
ZDB-ALT-100726-4,mi173,7/16/2020,7/16/2020
ZDB-ALT-111011-1,mi174,7/16/2020,7/16/2020
ZDB-ALT-070809-1,mi234,7/16/2020,7/16/2020
ZDB-ALT-180416-6,a160,7/17/2020,7/17/2020
ZDB-ALT-180515-6,a164,7/17/2020,7/17/2020
ZDB-ALT-180515-7,a165,7/17/2020,7/17/2020
ZDB-ALT-180601-1,a166,7/17/2020,7/17/2020
ZDB-ALT-180417-7,a169,7/17/2020,7/17/2020
ZDB-ALT-001219-2,a50,7/17/2020,7/17/2020
ZDB-ALT-070514-5,a64,7/17/2020,7/17/2020
ZDB-ALT-130903-1,mde291,7/17/2020,7/17/2020
ZDB-ALT-160122-7,mw69,7/2/2020,7/2/2020
ZDB-ALT-160427-7,mw705,7/2/2020,7/2/2020
ZDB-ALT-160427-8,mw706,7/2/2020,7/2/2020
ZDB-ALT-170329-2,mw80,7/2/2020,7/2/2020
ZDB-ALT-181129-4,mz0d6d7,7/2/2020,7/2/2020
ZDB-ALT-190211-4,nce18b,7/2/2020,7/2/2020
ZDB-ALT-141113-7,nia06,7/2/2020,7/2/2020
ZDB-ALT-170117-10,nim26,7/2/2020,7/2/2020
ZDB-ALT-151222-1,nl13,7/2/2020,7/2/2020
ZDB-ALT-170628-4,nl17,7/2/2020,7/2/2020
ZDB-ALT-110523-5,nl3,7/2/2020,7/2/2020
ZDB-ALT-110720-3,nl7,7/2/2020,7/2/2020
ZDB-ALT-181112-2,mbg2,7/31/2020,7/31/2020
ZDB-ALT-150723-7,muz100,7/7/2020,7/7/2020
ZDB-ALT-150723-8,muz101,7/7/2020,7/7/2020
ZDB-ALT-150723-9,muz102,7/7/2020,7/7/2020
ZDB-ALT-150723-6,muz103,7/7/2020,7/7/2020
ZDB-ALT-150723-10,muz104,7/7/2020,7/7/2020
ZDB-ALT-150723-11,muz105,7/7/2020,7/7/2020
ZDB-ALT-150723-17,muz109,7/7/2020,7/7/2020
ZDB-ALT-150723-19,muz111,7/7/2020,7/7/2020
ZDB-ALT-150723-20,muz112,7/7/2020,7/7/2020
ZDB-ALT-150723-21,muz113,7/7/2020,7/7/2020
ZDB-ALT-150723-22,muz114,7/7/2020,7/7/2020
ZDB-ALT-150723-23,muz115,7/7/2020,7/7/2020
ZDB-ALT-150723-24,muz116,7/7/2020,7/7/2020
ZDB-ALT-150723-25,muz117,7/7/2020,7/7/2020
ZDB-ALT-150723-26,muz118,7/7/2020,7/7/2020
ZDB-ALT-160122-5,mw48,7/7/2020,7/7/2020
ZDB-ALT-160122-6,mw49,7/7/2020,7/7/2020
ZDB-ALT-100726-3,mi130,7/8/2020,7/8/2020
ZDB-ALT-100726-2,mi89,7/8/2020,7/8/2020
ZDB-ALT-170425-3,mk203,7/8/2020,7/8/2020
ZDB-ALT-170425-4,mk204,7/8/2020,7/8/2020
ZDB-ALT-070928-1,mi340,7/9/2020,7/9/2020
ZDB-ALT-080319-1,mi36,7/9/2020,7/9/2020
ZDB-ALT-181115-1,mi4004,7/9/2020,7/9/2020
